Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-04-22_14-42-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-04-22
Date Created,22 April 2018 13:42:26
Date Last Modified,22 April 2018 14:22:51
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.1344147
32.05,0.1344147
32.1,0.1344147
32.15,0.1344147
32.2,0.1344147
32.25,0.1344147
32.3,0.1344147
32.35,0.1344147
32.4,0.1344147
32.45,0.1344147
32.5,0.1344147
32.55,0.1344147
32.6,0.1344147
32.65,0.1344147
32.7,0.1344147
32.75,0.1344147
32.8,0.1344147
32.85,0.1344147
32.9,1.177712E-02
32.95,-3.325043E-02
33,-4.755763E-02
33.05,-7.151609E-02
33.1,-5.908795E-02
33.15,-5.190538E-02
33.2,-4.325761E-02
33.25,-2.489242E-02
33.3,4.441075E-03
33.35,1.792018E-02
33.4,-0.0448908
33.45,-1.010857E-02
33.5,1.580056E-02
33.55,-0.0865666
33.6,-5.103183E-02
33.65,0.0212537
33.7,0.1563579
33.75,0.1599612
33.8,0.147334
33.85,0.1476017
33.9,4.502556E-02
33.95,3.617679E-02
34,2.942636E-02
34.05,4.090085E-02
34.1,6.501485E-02
34.15,0.1186723
34.2,0.2013155
34.25,0.1965714
34.3,0.1908027
34.35,0.2499518
34.4,0.3455833
34.45,0.3876429
34.5,0.2772285
34.55,0.1810631
34.6,0.1717681
34.65,0.2117612
34.7,0.287329
34.75,0.326986
34.8,0.2932223
34.85,0.2270891
34.9,0.1961844
34.95,0.2104134
35,0.1830528
35.05,0.1165391
35.1,0.103569
35.15,0.1073943
35.2,0.1078964
35.25,0.1449631
35.3,0.1822208
35.35,0.1480095
35.4,0.1087445
35.45,3.815249E-02
35.5,-8.034126E-02
35.55,-0.1550957
35.6,-0.106696
35.65,2.244163E-02
35.7,9.152181E-02
35.75,0.1063395
35.8,0.1040944
35.85,0.1066291
35.9,0.1163298
35.95,0.110283
36,9.758646E-02
36.05,4.350713E-02
36.1,1.939046E-02
36.15,-9.950295E-03
36.2,-5.381236E-03
36.25,0.2009867
36.3,0.3103874
36.35,0.3711421
36.4,0.362166
36.45,0.300983
36.5,0.1936666
36.55,7.968407E-02
36.6,7.812753E-02
