Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-04-22_14-42-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-04-22
Date Created,22 April 2018 13:42:26
Date Last Modified,22 April 2018 14:22:51
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,rep6
Number of Events,2121
 
Time,Value
32,5.880737E-02
32.05,5.880737E-02
32.1,5.880737E-02
32.15,5.880737E-02
32.2,5.880737E-02
32.25,5.880737E-02
32.3,5.880737E-02
32.35,5.880737E-02
32.4,5.880737E-02
32.45,5.880737E-02
32.5,5.880737E-02
32.55,5.880737E-02
32.6,5.880737E-02
32.65,5.880737E-02
32.7,5.880737E-02
32.75,5.880737E-02
32.8,5.880737E-02
32.85,5.880737E-02
32.9,5.880737E-02
32.95,5.880737E-02
33,5.880737E-02
33.05,5.880737E-02
33.1,5.880737E-02
33.15,5.880737E-02
33.2,5.880737E-02
33.25,-1.678749E-02
33.3,-4.194522E-02
33.35,-0.0250924
33.4,8.498118E-02
33.45,0.1932998
33.5,0.241279
33.55,0.2353293
33.6,0.1172658
33.65,1.534369E-02
33.7,-4.949723E-02
33.75,-4.427734E-02
33.8,-0.1180806
33.85,-0.16153
33.9,-0.131675
33.95,-0.1122549
34,-9.174506E-02
34.05,3.556284E-02
34.1,3.711474E-02
34.15,2.290163E-02
34.2,-0.1444651
34.25,-7.666779E-02
34.3,-3.242147E-02
34.35,-3.758689E-02
34.4,-8.614703E-02
34.45,-0.1682969
34.5,-0.2594489
34.55,-0.2684758
34.6,-0.2513538
34.65,-0.2005583
34.7,-0.1680155
34.75,-0.2022253
34.8,-0.2277514
34.85,-0.2597309
34.9,-0.209535
34.95,-0.1053524
35,-3.822424E-02
35.05,-1.604418E-02
35.1,-1.447328E-02
35.15,-9.500664E-02
35.2,-0.1692104
35.25,-0.2743484
35.3,-0.2266495
35.35,-0.200272
35.4,-0.1403362
35.45,-0.1373729
35.5,-0.1062949
35.55,-0.1331867
35.6,-0.1599394
35.65,-0.2334463
35.7,-0.2165178
35.75,-0.2572715
35.8,-0.2811656
35.85,-0.2695019
35.9,-0.2858973
35.95,-0.3369839
36,-0.3586426
36.05,-0.3331041
36.1,-0.2572877
36.15,-0.2315063
36.2,-0.2924439
36.25,-0.3261648
