Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-0.2015991
32.05,-0.2015991
32.1,-0.2015991
32.15,-0.2015991
32.2,-0.2015991
32.25,-0.2015991
32.3,-0.2015991
32.35,-0.2015991
32.4,-0.2015991
32.45,-0.1079595
32.5,-2.037554E-02
32.55,0.1167821
32.6,0.1655229
32.65,0.0829673
32.7,9.119929E-02
32.75,1.021109E-02
32.8,-8.476423E-02
32.85,-0.0178493
32.9,0.1383693
32.95,0.2447659
33,6.906654E-02
33.05,3.071906E-02
33.1,-1.098587E-02
33.15,-0.1159681
33.2,-0.2194678
33.25,-0.3649975
33.3,-0.3878539
33.35,-0.2785615
33.4,0.1305157
33.45,0.2964746
33.5,0.1767147
33.55,6.560096E-02
33.6,0.1530479
33.65,5.826406E-02
33.7,6.041669E-02
33.75,0.1293751
33.8,0.1716842
33.85,0.1817945
33.9,0.1927499
33.95,0.1327938
34,-0.0515554
34.05,-0.0574977
34.1,-0.1074011
34.15,2.415648E-02
34.2,0.1276836
34.25,0.1212627
34.3,7.777223E-02
34.35,-0.1053626
34.4,-0.1992796
34.45,-0.1179362
34.5,0.0420644
34.55,1.224885E-02
34.6,-0.1042252
34.65,-8.018748E-02
34.7,-8.690165E-02
34.75,-5.914234E-02
34.8,-9.763639E-02
34.85,-0.1535411
34.9,-0.2804094
34.95,-0.3529528
35,-0.3592657
35.05,-0.3911171
35.1,-0.4247667
35.15,-0.3716666
35.2,-0.2917531
35.25,-0.2881058
35.3,-0.3850673
35.35,-0.4002417
35.4,-0.42084
35.45,-0.4537459
35.5,-0.4569986
35.55,-0.2939009
35.6,-0.1875241
35.65,-0.3253383
35.7,-0.4871353
35.75,-0.5512844
35.8,-0.4854445
35.85,-0.3085906
35.9,-0.1042047
35.95,-0.1346532
36,-0.17783
36.05,-1.878979E-02
36.1,0.1743592
36.15,0.2232288
36.2,0.1686315
36.25,6.359502E-02
36.3,-0.1513779
36.35,-0.2812979
36.4,-0.2735178
36.45,-0.107692
36.5,-0.111431
36.55,-0.3030811
36.6,-0.4033329
36.65,-0.3592859
36.7,-0.1995613
36.75,-0.1554529
36.8,-0.235561
36.85,-0.3534181
36.9,-0.4554244
36.95,-0.3926543
37,-0.3877507
37.05,-0.4756538
37.1,-0.5315598
37.15,-0.4638743
37.2,-0.4075751
37.25,-0.3919763
37.3,-0.4313278
37.35,-0.3875402
37.4,-0.4601165
37.45,-0.5381588
37.5,-0.5131584
37.55,-0.382735
37.6,-0.3703895
37.65,-0.4759126
37.7,-0.6243145
37.75,-0.6859657
37.8,-0.5766346
37.85,-0.4011781
37.9,-0.3206206
37.95,-0.4925568
38,-0.5984575
38.05,-0.6046882
38.1,-0.6069058
38.15,-0.5535636
