Data File Name,mSp_scATAC_High Sensitivity DNA Assay_DEDAE00427_2018-02-21_18-47-26.xad
Data File Path,C:\Users\AgilentP302\Documents\Xi\2018-02-21
Date Created,21 February 2018 18:47:25
Date Last Modified,21 February 2018 19:20:12
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,N1_1_in_5
Number of Events,2121
 
Time,Value
32,-0.2870483
32.05,-0.2870483
32.1,-0.2870483
32.15,-0.2870483
32.2,-0.2870483
32.25,-0.2870483
32.3,-0.2485908
32.35,-9.701552E-02
32.4,-5.653151E-03
32.45,5.292863E-03
32.5,-0.0239939
32.55,-6.603728E-02
32.6,-0.1866231
32.65,-9.167097E-02
32.7,-4.433325E-03
32.75,9.401409E-02
32.8,0.1106669
32.85,3.266647E-02
32.9,6.560061E-02
32.95,0.1706993
33,0.2271118
33.05,7.075472E-02
33.1,-6.818565E-03
33.15,-4.375838E-02
33.2,5.274553E-02
33.25,8.901424E-02
33.3,1.300006E-02
33.35,-0.1762492
33.4,-0.1529935
33.45,-0.1031035
33.5,-9.462891E-02
33.55,8.746558E-03
33.6,-5.187748E-03
33.65,-9.767853E-02
33.7,-0.2638394
33.75,-0.3998843
33.8,-0.4642252
33.85,-0.3588721
33.9,-0.1214319
33.95,-5.164652E-02
34,6.286497E-03
34.05,-4.223353E-02
34.1,2.820077E-02
34.15,0.1244403
34.2,0.1464403
34.25,8.512842E-02
34.3,-0.1375545
34.35,-0.3360674
34.4,-0.4398442
34.45,-0.3204476
34.5,-5.312531E-02
34.55,3.348796E-02
34.6,-3.850864E-02
34.65,-0.2241554
34.7,-0.4327322
34.75,-0.5505142
34.8,-0.5436005
34.85,-0.4960395
34.9,-0.4444456
34.95,-0.2533886
35,-0.191449
35.05,-0.2384314
35.1,-0.3069264
35.15,-0.4187429
35.2,-0.4107242
35.25,-0.3899688
35.3,-0.2215201
35.35,-0.1639813
35.4,-0.2246199
35.45,-0.415783
35.5,-0.5334702
35.55,-0.6141229
35.6,-0.6553872
35.65,-0.5171651
35.7,-0.356973
35.75,-0.4408732
35.8,-0.4612753
35.85,-0.4832933
35.9,-0.4720922
35.95,-0.4639016
36,-0.4106523
36.05,-0.325816
36.1,-0.3377888
36.15,-0.3195738
36.2,-0.3449052
36.25,-0.2948987
36.3,-0.4071588
36.35,-0.3683915
36.4,-0.2451443
36.45,-0.1293156
36.5,-3.676722E-02
36.55,-2.053817E-02
36.6,-0.1696459
36.65,-0.4071407
36.7,-0.5022866
36.75,-0.6919219
36.8,-0.6817275
36.85,-0.6858907
36.9,-0.7056257
36.95,-0.6913895
37,-0.6861444
37.05,-0.7086312
37.1,-0.6338336
37.15,-0.4376948
37.2,-0.3779235
37.25,-0.3582873
37.3,-0.4745804
37.35,-0.593127
37.4,-0.5609536
37.45,-0.4511107
37.5,-0.4641395
37.55,-0.4918619
37.6,-0.4330891
37.65,-0.334672
37.7,-0.2594206
37.75,-0.3136254
37.8,-0.4837061
37.85,-0.4759458
37.9,-0.480334
37.95,-0.3606557
38,-0.1488647
