study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA299657	SAMN04211052	SRS1130584	SRX1371460	SRR2775638	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-1
PRJNA299657	SAMN04211053	SRS1130583	SRX1371461	SRR2775639	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-2
PRJNA299657	SAMN04211054	SRS1130582	SRX1371462	SRR2775641	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-3
PRJNA299657	SAMN04211055	SRS1130581	SRX1371463	SRR2775643	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-4
PRJNA299657	SAMN04211056	SRS1130579	SRX1371464	SRR2775645	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-5
PRJNA299657	SAMN04211057	SRS1130580	SRX1371465	SRR2775647	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-6
PRJNA299657	SAMN04211058	SRS1130578	SRX1371466	SRR2775649	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-7
PRJNA299657	SAMN04211059	SRS1130577	SRX1371467	SRR2775651	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-8
PRJNA299657	SAMN04211060	SRS1130576	SRX1371468	SRR2775653	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-9
PRJNA299657	SAMN04211061	SRS1130574	SRX1371469	SRR2775654	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-10
PRJNA299657	SAMN04211062	SRS1130575	SRX1371470	SRR2775656	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-11
PRJNA299657	SAMN04211063	SRS1130573	SRX1371471	SRR2775658	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-12
PRJNA299657	SAMN04211064	SRS1130572	SRX1371472	SRR2775660	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-13
PRJNA299657	SAMN04211065	SRS1130571	SRX1371473	SRR2775662	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-14
PRJNA299657	SAMN04211066	SRS1130570	SRX1371474	SRR2775664	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-15
PRJNA299657	SAMN04211067	SRS1130569	SRX1371475	SRR2775666	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-16
PRJNA299657	SAMN04211068	SRS1130568	SRX1371476	SRR2775668	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-17
PRJNA299657	SAMN04211069	SRS1130567	SRX1371477	SRR2775670	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-18
PRJNA299657	SAMN04211070	SRS1130566	SRX1371478	SRR2775672	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-19
PRJNA299657	SAMN04211071	SRS1130565	SRX1371479	SRR2775673	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-20
PRJNA299657	SAMN04211072	SRS1130564	SRX1371480	SRR2775675	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-21
PRJNA299657	SAMN04211073	SRS1130563	SRX1371481	SRR2775677	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-22
PRJNA299657	SAMN04211074	SRS1130562	SRX1371482	SRR2775679	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-23
PRJNA299657	SAMN04211075	SRS1130560	SRX1371483	SRR2775681	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-24
PRJNA299657	SAMN04211076	SRS1130561	SRX1371484	SRR2775683	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-25
PRJNA299657	SAMN04211077	SRS1130559	SRX1371485	SRR2775685	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-26
PRJNA299657	SAMN04211082	SRS1130558	SRX1371486	SRR2775687	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-27
PRJNA299657	SAMN04211083	SRS1130557	SRX1371487	SRR2775689	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-28
PRJNA299657	SAMN04211084	SRS1130555	SRX1371488	SRR2775691	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-29
PRJNA299657	SAMN04211085	SRS1130556	SRX1371489	SRR2775692	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-30
PRJNA299657	SAMN04211078	SRS1130554	SRX1371490	SRR2775693	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-31
PRJNA299657	SAMN04211079	SRS1130553	SRX1371491	SRR2775694	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-32
PRJNA299657	SAMN04211080	SRS1130552	SRX1371492	SRR2775695	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-33
PRJNA299657	SAMN04211081	SRS1130551	SRX1371493	SRR2775696	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-34
PRJNA299657	SAMN04211086	SRS1130550	SRX1371494	SRR2775697	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-35
PRJNA299657	SAMN04211087	SRS1130548	SRX1371495	SRR2775698	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-36
PRJNA299657	SAMN04211088	SRS1130549	SRX1371496	SRR2775699	9606	Homo sapiens	NextSeq 500	PAIRED	singles-SU070-Leuk-37
