cell	dup_level
SRR1781219	0.649139
SRR1781220	0.573447
SRR1781221	0.529296
SRR1781222	0.612508
SRR1781223	0.5054
SRR1781224	0.560287
SRR1781225	0.369413
SRR1781226	0.592417
SRR1781227	0.561905
SRR1781228	0.582691
SRR1781229	0.525899
SRR1781230	0.191235
SRR1781231	0.676702
SRR1781232	0.488339
SRR1781233	0.667596
SRR1781234	0.690245
SRR1781235	0.600819
SRR1781236	0.222222
SRR1781237	0.629392
SRR1781238	0.638666
SRR1781239	0.651965
SRR1781240	0.157258
SRR1781241	0.648339
SRR1781242	0.165884
SRR1781243	0.705708
SRR1781244	0.616826
SRR1781245	0.707136
SRR1781246	0.686954
SRR1781247	0.167982
SRR1781248	0.136855
SRR1781249	0.702748
SRR1781250	0.691643
SRR1781251	0.172529
SRR1781252	0.133705
SRR1781253	0.670877
SRR1781254	0.694255
SRR1781255	0.701123
SRR1781256	0.66735
SRR1781257	0.683604
SRR1781258	0.085057
SRR1781259	0.629123
SRR1781260	0.651996
SRR1781261	0.658408
SRR1781262	0.11949
SRR1781263	0.65761
SRR1781264	0.662207
SRR1781265	0.572491
SRR1781266	0.688655
SRR1781267	0.195918
SRR1781268	0.170854
SRR1781269	0.653787
SRR1781270	0.69853
SRR1781271	0.645709
SRR1781272	0.644928
SRR1781273	0.677493
SRR1781274	0.6675
SRR1781275	0.169137
SRR1781276	0.667971
SRR1781277	0.607856
SRR1781278	0.659965
SRR1781279	0.594139
SRR1781280	0.547249
SRR1781281	0.57232
SRR1781282	0.574413
SRR1781283	0.175709
SRR1781284	0.569528
SRR1781285	0.539428
SRR1781286	0.568203
SRR1781287	0.572028
SRR1781288	0.562697
SRR1781289	0.113244
SRR1781290	0.590015
SRR1781291	0.729653
SRR1781292	0.687982
SRR1781293	0.706596
SRR1781294	0.728809
SRR1781295	0.683223
SRR1781296	0.698301
SRR1781297	0.701508
SRR1781298	0.700901
SRR1781299	0.688551
SRR1781300	0.682908
SRR1781301	0.687241
SRR1781302	0.139653
SRR1781303	0.594971
SRR1781304	0.37946
SRR1781305	0.58717
SRR1781306	0.592932
SRR1781307	0.424677
SRR1781308	0.524456
SRR1781309	0.104564
SRR1781310	0.548377
SRR1781311	0.569444
SRR1781312	0.572373
SRR1781313	0.509825
SRR1781314	0.587881
SRR1779683	0.34534
SRR1779684	0.040921
SRR1779685	0.177371
SRR1779686	0.266452
SRR1779687	0.173608
SRR1779688	0.172283
SRR1779689	0.217058
SRR1779690	0.234468
SRR1779691	0.138128
SRR1779692	0.187032
SRR1779693	0.169331
SRR1779694	0.226034
SRR1779695	0.10744
SRR1779696	0.158754
SRR1779697	0.085409
SRR1779698	0.16584
SRR1779699	0.096019
SRR1779700	0.104822
SRR1779701	0.123442
SRR1779702	0.159622
SRR1779703	0.140332
SRR1779704	0.096047
SRR1779705	0.144035
SRR1779706	0.14048
SRR1779707	0.381497
SRR1779708	0.318101
SRR1779709	0.398846
SRR1779710	0.424354
SRR1779711	0.245717
SRR1779712	0.372793
SRR1779713	0.327084
SRR1779714	0.319799
SRR1779715	0.324647
SRR1779716	0.312958
SRR1779717	0.380311
SRR1779718	0.381341
SRR1779719	0.435577
SRR1779720	0.120292
SRR1779721	0.331796
SRR1779722	0.426346
SRR1779723	0.338859
SRR1779724	0.36272
SRR1779725	0.064362
SRR1779726	0.073359
SRR1779727	0.053922
SRR1779728	0.33082
SRR1779729	0.381591
SRR1779730	0.22913
SRR1779731	0.227879
SRR1779732	0.295966
SRR1779733	0.280972
SRR1779734	0.331072
SRR1779735	0.255461
SRR1779736	0.381176
SRR1779737	0.309129
SRR1779738	0.274518
SRR1779739	0.133333
SRR1779740	0.223437
SRR1779741	0.212592
SRR1779742	0.30789
SRR1779743	0.444469
SRR1779744	0.373573
SRR1779745	0.38667
SRR1779746	0.416477
SRR1779747	0.317934
SRR1779748	0.108538
SRR1779749	0.396393
SRR1779750	0.370392
SRR1779751	0.335306
SRR1779752	0.38068
SRR1779753	0.428456
SRR1779754	0.388977
SRR1779755	0.296063
SRR1779756	0.174623
SRR1779757	0.158234
SRR1779758	0.169611
SRR1779759	0.151057
SRR1779760	0.115251
SRR1779761	0.162509
SRR1779762	0.202509
SRR1779763	0.138929
SRR1779764	0.171682
SRR1779765	0.140716
SRR1779766	0.192505
SRR1779767	0.410006
SRR1779768	0.403082
SRR1779769	0.36284
SRR1779770	0.406416
SRR1779771	0.408832
SRR1779772	0.409406
SRR1779773	0.155224
SRR1779774	0.416337
SRR1779775	0.316479
SRR1779776	0.316887
SRR1779777	0.326191
SRR1779778	0.21659
SRR1779779	0.707194
SRR1779780	0.608525
SRR1779781	0.482348
SRR1779782	0.623239
SRR1779783	0.593615
SRR1779784	0.194486
SRR1779785	0.626322
SRR1779786	0.394546
SRR1779787	0.486829
SRR1779788	0.377396
SRR1779789	0.555385
SRR1779790	0.529139
SRR1779791	0.500677
SRR1779792	0.634226
SRR1779793	0.613288
SRR1779794	0.645215
SRR1779795	0.668375
SRR1779796	0.634273
SRR1779797	0.581448
SRR1779798	0.587515
SRR1779799	0.587559
SRR1779800	0.607269
SRR1779801	0.615573
SRR1779802	0.641846
SRR1779803	0.584356
SRR1779804	0.689498
SRR1779805	0.642698
SRR1779806	0.6789
SRR1779807	0.592384
SRR1779808	0.629606
SRR1779809	0.643267
SRR1779810	0.658112
SRR1779811	0.672801
SRR1779812	0.60284
SRR1779813	0.652122
SRR1779814	0.672645
SRR1779815	0.660836
SRR1779816	0.554932
SRR1779817	0.570428
SRR1779818	0.700084
SRR1779819	0.434472
SRR1779820	0.669104
SRR1779821	0.704808
SRR1779822	0.501205
SRR1779823	0.613093
SRR1779824	0.520735
SRR1779825	0.645045
SRR1779826	0.713121
SRR1779827	0.733087
SRR1779828	0.684228
SRR1779829	0.545905
SRR1779830	0.717031
SRR1779831	0.540854
SRR1779832	0.603101
SRR1779833	0.708893
SRR1779834	0.630019
SRR1779835	0.567281
SRR1779836	0.540141
SRR1779837	0.702759
SRR1779838	0.658655
SRR1779839	0.719468
SRR1779840	0.728111
SRR1779841	0.63327
SRR1779842	0.703317
SRR1779843	0.621279
SRR1779844	0.642601
SRR1779845	0.688943
SRR1779846	0.644146
SRR1779847	0.654138
SRR1779848	0.543028
SRR1779849	0.6736
SRR1779850	0.622426
SRR1779851	0.714949
SRR1779852	0.616985
SRR1779853	0.645602
SRR1779854	0.70484
SRR1779855	0.615972
SRR1779856	0.29105
SRR1779857	0.726965
SRR1779858	0.665146
SRR1779859	0.619363
SRR1779860	0.622039
SRR1779861	0.713561
SRR1779862	0.630331
SRR1779863	0.740473
SRR1779864	0.688438
SRR1779865	0.365805
SRR1779866	0.712162
SRR1779867	0.557633
SRR1779868	0.583156
SRR1779869	0.651982
SRR1779870	0.64425
SRR1779871	0.580981
SRR1779872	0.603163
SRR1779873	0.290206
SRR1779874	0.630883
SRR1779875	0.681343
SRR1779876	0.648067
SRR1779877	0.66505
SRR1779878	0.555888
SRR1779879	0.653873
SRR1779880	0.601651
SRR1779881	0.522905
SRR1779882	0.576331
SRR1779883	0.601491
SRR1779884	0.22095
SRR1779885	0.677844
SRR1779886	0.607657
SRR1779887	0.650292
SRR1779888	0.661388
SRR1779889	0.682867
SRR1779890	0.630628
SRR1779891	0.684943
SRR1779892	0.640154
SRR1779893	0.677761
SRR1779894	0.585824
SRR1779895	0.601735
SRR1779896	0.618679
SRR1779897	0.60268
SRR1779898	0.690674
SRR1779899	0.736083
SRR1779900	0.665876
SRR1779901	0.669484
SRR1779902	0.701483
SRR1779903	0.667531
SRR1779904	0.652151
SRR1779905	0.673834
SRR1779906	0.65066
SRR1779907	0.655532
SRR1779908	0.672518
SRR1779909	0.687239
SRR1779910	0.719413
SRR1779911	0.481179
SRR1779912	0.70699
SRR1779913	0.736057
SRR1779914	0.697303
SRR1779915	0.6834
SRR1779916	0.64881
SRR1779917	0.657382
SRR1779918	0.627412
SRR1779919	0.676161
SRR1779920	0.685805
SRR1779921	0.695553
SRR1779922	0.709946
SRR1779923	0.683841
SRR1779924	0.631649
SRR1779925	0.68118
SRR1779926	0.663649
SRR1779927	0.634263
SRR1779928	0.66544
SRR1779929	0.648475
SRR1779930	0.612071
SRR1779931	0.665624
SRR1779932	0.615283
SRR1779933	0.628981
SRR1779934	0.671911
SRR1779935	0.652604
SRR1779936	0.64382
SRR1779937	0.622359
SRR1779938	0.624988
SRR1779939	0.596959
SRR1779940	0.63643
SRR1779941	0.63872
SRR1779942	0.606033
SRR1779943	0.345288
SRR1779944	0.606706
SRR1779945	0.613789
SRR1779946	0.626836
SRR1779947	0.740671
SRR1779948	0.601135
SRR1779949	0.666985
SRR1779950	0.660844
SRR1779951	0.645755
SRR1779952	0.545048
SRR1779953	0.655682
SRR1779954	0.649884
SRR1779955	0.616888
SRR1779956	0.661603
SRR1779957	0.653514
SRR1779958	0.596759
SRR1779959	0.680719
SRR1779960	0.692323
SRR1779961	0.713977
SRR1779962	0.639901
SRR1779963	0.655896
SRR1779964	0.640476
SRR1779965	0.701222
SRR1779966	0.659444
SRR1779967	0.600837
SRR1779968	0.595632
SRR1779969	0.6712
SRR1779970	0.701328
SRR1779971	0.782338
SRR1779972	0.079566
SRR1779973	0.797622
SRR1779974	0.717901
SRR1779975	0.75455
SRR1779976	0.706399
SRR1779977	0.757458
SRR1779978	0.786218
SRR1779979	0.817812
SRR1779980	0.586667
SRR1779981	0.603989
SRR1779982	0.701479
SRR1779983	0.779085
SRR1779984	0.743003
SRR1779985	0.818222
SRR1779986	0.711475
SRR1779987	0.776106
SRR1779988	0.784782
SRR1779989	0.747215
SRR1779990	0.784889
SRR1779991	0.746144
SRR1779992	0.73972
SRR1779993	0.710112
SRR1779994	0.761735
SRR1779995	0.799713
SRR1779996	0.765547
SRR1779997	0.820935
SRR1779998	0.805486
SRR1779999	0.799964
SRR1780000	0.832874
SRR1780001	0.791269
SRR1780002	0.799625
SRR1780003	0.753312
SRR1780004	0.794224
SRR1780005	0.795295
SRR1780006	0.76364
SRR1780007	0.799254
SRR1780008	0.761419
SRR1780009	0.843956
SRR1780010	0.820437
SRR1780011	0.829708
SRR1780012	0.825099
SRR1780013	0.719738
SRR1780014	0.814987
SRR1780015	0.649373
SRR1780016	0.731824
SRR1780017	0.799572
SRR1780018	0.622859
SRR1780019	0.789953
SRR1780020	0.745489
SRR1780021	0.545102
SRR1780022	0.643443
SRR1780023	0.664851
SRR1780024	0.796308
SRR1780025	0.786766
SRR1780026	0.80957
SRR1780027	0.770825
SRR1780028	0.777668
SRR1780029	0.75425
SRR1780030	0.678431
SRR1780031	0.804812
SRR1780032	0.747208
SRR1780033	0.80899
SRR1780034	0.766799
SRR1780035	0.779279
SRR1780036	0.804527
SRR1780037	0.792424
SRR1780038	0.801137
SRR1780039	0.817043
SRR1780040	0.786586
SRR1780041	0.777498
SRR1780042	0.761485
SRR1780043	0.500934
SRR1780044	0.595178
SRR1780045	0.7874
SRR1780046	0.765525
SRR1780047	0.766856
SRR1780048	0.5656
SRR1780049	0.729295
SRR1780050	0.781885
SRR1780051	0.82318
SRR1780052	0.787045
SRR1780053	0.767462
SRR1780054	0.736529
SRR1780055	0.779921
SRR1780056	0.770277
SRR1780057	0.825421
SRR1780058	0.783045
SRR1780059	0.773406
SRR1780060	0.81433
SRR1780061	0.70987
SRR1780062	0.801593
SRR1780063	0.765569
SRR1780064	0.034483
SRR1780065	0.771229
SRR1780066	0.691671
SRR1780067	0.648241
SRR1780068	0.570622
SRR1780069	0.621464
SRR1780070	0.274021
SRR1780071	0.596734
SRR1780072	0.630291
SRR1780073	0.599336
SRR1780074	0.63915
SRR1780075	0.580756
SRR1780076	0.598246
SRR1780077	0.608273
SRR1780078	0.269652
