cell	frac_open
SRR1781219	0.221567
SRR1781220	0.152755
SRR1781221	0.183164
SRR1781222	0.121697
SRR1781223	0.123437
SRR1781224	0.034421
SRR1781225	0.007492
SRR1781226	0.123584
SRR1781227	0.164051
SRR1781228	0.260618
SRR1781229	0.173195
SRR1781230	0.003716
SRR1781231	0.169626
SRR1781232	0.019939
SRR1781233	0.176469
SRR1781234	0.228911
SRR1781235	0.146384
SRR1781236	0.003982
SRR1781237	0.060966
SRR1781238	0.209592
SRR1781239	0.121992
SRR1781240	0.003805
SRR1781241	0.262063
SRR1781242	0.005162
SRR1781243	0.214812
SRR1781244	0.098779
SRR1781245	0.213220
SRR1781246	0.140131
SRR1781247	0.007049
SRR1781248	0.007079
SRR1781249	0.143287
SRR1781250	0.258141
SRR1781251	0.014600
SRR1781252	0.006076
SRR1781253	0.143287
SRR1781254	0.215255
SRR1781255	0.238733
SRR1781256	0.139512
SRR1781257	0.181896
SRR1781258	0.007728
SRR1781259	0.159863
SRR1781260	0.145912
SRR1781261	0.111609
SRR1781262	0.006843
SRR1781263	0.115060
SRR1781264	0.243305
SRR1781265	0.053740
SRR1781266	0.205433
SRR1781267	0.009674
SRR1781268	0.010530
SRR1781269	0.166853
SRR1781270	0.251711
SRR1781271	0.124263
SRR1781272	0.190833
SRR1781273	0.149864
SRR1781274	0.244248
SRR1781275	0.009615
SRR1781276	0.230032
SRR1781277	0.028256
SRR1781278	0.191010
SRR1781279	0.182663
SRR1781280	0.174670
SRR1781281	0.185170
SRR1781282	0.093411
SRR1781283	0.017166
SRR1781284	0.076363
SRR1781285	0.082173
SRR1781286	0.217555
SRR1781287	0.106271
SRR1781288	0.144732
SRR1781289	0.004778
SRR1781290	0.122847
SRR1781291	0.223661
SRR1781292	0.137093
SRR1781293	0.250944
SRR1781294	0.282769
SRR1781295	0.211833
SRR1781296	0.141488
SRR1781297	0.128156
SRR1781298	0.198059
SRR1781299	0.128952
SRR1781300	0.156943
SRR1781301	0.088367
SRR1781302	0.008495
SRR1781303	0.170098
SRR1781304	0.006902
SRR1781305	0.338190
