cell	dup_level
SRR1781219	31085
SRR1781220	16520
SRR1781221	28789
SRR1781222	20928
SRR1781223	16774
SRR1781224	3502
SRR1781225	1423
SRR1781226	21151
SRR1781227	19553
SRR1781228	44564
SRR1781229	28162
SRR1781230	1139
SRR1781231	23054
SRR1781232	2266
SRR1781233	32310
SRR1781234	34095
SRR1781235	24997
SRR1781236	1113
SRR1781237	11614
SRR1781238	35464
SRR1781239	17746
SRR1781240	1406
SRR1781241	40998
SRR1781242	1706
SRR1781243	41101
SRR1781244	10516
SRR1781245	34748
SRR1781246	16339
SRR1781247	2335
SRR1781248	2758
SRR1781249	20025
SRR1781250	35972
SRR1781251	4574
SRR1781252	2439
SRR1781253	19012
SRR1781254	29803
SRR1781255	36838
SRR1781256	19820
SRR1781257	29601
SRR1781258	4819
SRR1781259	23627
SRR1781260	22061
SRR1781261	12648
SRR1781262	3313
SRR1781263	17847
SRR1781264	42458
SRR1781265	7739
SRR1781266	35721
SRR1781267	2703
SRR1781268	3083
SRR1781269	24843
SRR1781270	43111
SRR1781271	29059
SRR1781272	26494
SRR1781273	20448
SRR1781274	35882
SRR1781275	2996
SRR1781276	34784
SRR1781277	7051
SRR1781278	26662
SRR1781279	20187
SRR1781280	26554
SRR1781281	24682
SRR1781282	14670
SRR1781283	6178
SRR1781284	13931
SRR1781285	10589
SRR1781286	27185
SRR1781287	15144
SRR1781288	24015
SRR1781289	2123
SRR1781290	18415
SRR1781291	36600
SRR1781292	19542
SRR1781293	33542
SRR1781294	47668
SRR1781295	28949
SRR1781296	22715
SRR1781297	15134
SRR1781298	25909
SRR1781299	21500
SRR1781300	24824
SRR1781301	11954
SRR1781302	3177
SRR1781303	21446
SRR1781304	1100
SRR1781305	61721
SRR1781306	27769
SRR1781307	1133
SRR1781308	15149
SRR1781309	5352
SRR1781310	24442
SRR1781311	22176
SRR1781312	14001
SRR1781313	11616
SRR1781314	20091
SRR1779683	42725
SRR1779684	4646
SRR1779685	22462
SRR1779686	34570
SRR1779687	10839
SRR1779688	39024
SRR1779689	364668
SRR1779690	59590
SRR1779691	13765
SRR1779692	30812
SRR1779693	32973
SRR1779694	61572
SRR1779695	21803
SRR1779696	18385
SRR1779697	1549
SRR1779698	25307
SRR1779699	2078
