cell	mapping_rate
SRR1781219	42.29
SRR1781220	32.46
SRR1781221	37.83
SRR1781222	37.97
SRR1781223	40.25
SRR1781224	19.35
SRR1781225	13.93
SRR1781226	45.84
SRR1781227	43.89
SRR1781228	54.18
SRR1781229	48.40
SRR1781230	24.22
SRR1781231	45.07
SRR1781232	17.12
SRR1781233	57.85
SRR1781234	57.58
SRR1781235	46.42
SRR1781236	21.20
SRR1781237	36.43
SRR1781238	60.86
SRR1781239	46.44
SRR1781240	20.13
SRR1781241	58.44
SRR1781242	12.48
SRR1781243	56.04
SRR1781244	22.18
SRR1781245	50.58
SRR1781246	34.43
SRR1781247	23.55
SRR1781248	22.47
SRR1781249	28.13
SRR1781250	52.71
SRR1781251	26.68
SRR1781252	23.07
SRR1781253	44.13
SRR1781254	48.87
SRR1781255	54.18
SRR1781256	40.66
SRR1781257	49.70
SRR1781258	29.96
SRR1781259	45.10
SRR1781260	40.72
SRR1781261	30.93
SRR1781262	23.59
SRR1781263	23.03
SRR1781264	57.11
SRR1781265	29.05
SRR1781266	24.69
SRR1781267	22.34
SRR1781268	30.94
SRR1781269	44.59
SRR1781270	54.32
SRR1781271	45.75
SRR1781272	43.62
SRR1781273	43.67
SRR1781274	48.37
SRR1781275	23.53
SRR1781276	53.49
SRR1781277	30.24
SRR1781278	47.00
SRR1781279	39.98
SRR1781280	44.09
SRR1781281	40.79
SRR1781282	36.68
SRR1781283	31.65
SRR1781284	38.73
SRR1781285	28.72
SRR1781286	41.17
SRR1781287	39.67
SRR1781288	45.63
SRR1781289	26.49
SRR1781290	35.29
SRR1781291	43.62
SRR1781292	40.73
SRR1781293	53.56
SRR1781294	56.36
SRR1781295	49.43
SRR1781296	46.69
SRR1781297	37.36
SRR1781298	45.31
SRR1781299	36.35
SRR1781300	48.47
SRR1781301	29.57
SRR1781302	19.09
SRR1781303	40.90
SRR1781304	20.48
SRR1781305	57.42
SRR1781306	45.06
SRR1781307	18.54
SRR1781308	31.99
SRR1781309	28.70
SRR1781310	45.25
SRR1781311	36.00
SRR1781312	39.57
SRR1781313	27.46
SRR1781314	42.04
SRR1779683	49.12
SRR1779684	10.56
SRR1779685	57.49
SRR1779686	63.02
SRR1779687	38.88
SRR1779688	65.28
SRR1779689	75.64
SRR1779690	55.45
SRR1779691	55.84
SRR1779692	46.43
SRR1779693	58.90
SRR1779694	64.54
SRR1779695	64.37
SRR1779696	74.58
SRR1779697	25.39
SRR1779698	74.43
SRR1779699	35.52
SRR1779700	51.50
SRR1779701	74.95
SRR1779702	71.90
SRR1779703	70.79
SRR1779704	69.64
SRR1779705	73.69
SRR1779706	61.21
SRR1779707	46.57
SRR1779708	20.57
SRR1779709	62.51
SRR1779710	62.00
SRR1779711	24.76
SRR1779712	65.37
SRR1779713	23.33
SRR1779714	59.42
SRR1779715	62.41
SRR1779716	37.81
SRR1779717	64.41
SRR1779718	65.57
SRR1779719	64.95
SRR1779720	4.71
SRR1779721	39.23
SRR1779722	65.95
SRR1779723	34.89
SRR1779724	51.90
SRR1779725	7.09
SRR1779726	4.83
SRR1779727	6.47
SRR1779728	22.26
SRR1779729	62.90
SRR1779730	2.90
SRR1779731	50.30
SRR1779732	61.31
SRR1779733	64.73
SRR1779734	61.81
SRR1779735	45.56
SRR1779736	69.10
SRR1779737	51.26
SRR1779738	68.61
SRR1779739	2.57
SRR1779740	62.18
SRR1779741	71.29
SRR1779742	62.86
SRR1779743	62.73
SRR1779744	39.44
SRR1779745	52.98
SRR1779746	58.45
SRR1779747	24.95
SRR1779748	8.34
SRR1779749	55.68
SRR1779750	47.15
SRR1779751	39.10
SRR1779752	58.22
SRR1779753	56.29
SRR1779754	41.90
SRR1779755	61.89
SRR1779756	59.46
SRR1779757	70.37
SRR1779758	4.61
SRR1779759	23.12
SRR1779760	62.47
SRR1779761	13.36
SRR1779762	50.65
SRR1779763	46.99
SRR1779764	41.55
SRR1779765	56.91
SRR1779766	49.05
SRR1779767	55.27
SRR1779768	43.29
SRR1779769	67.46
SRR1779770	64.45
SRR1779771	62.71
SRR1779772	64.88
SRR1779773	1.20
SRR1779774	70.57
SRR1779775	9.16
SRR1779776	27.51
SRR1779777	16.36
SRR1779778	3.87
SRR1779779	92.14
SRR1779780	91.62
SRR1779781	84.44
SRR1779782	90.82
SRR1779783	89.60
SRR1779784	54.36
SRR1779785	91.52
SRR1779786	33.29
SRR1779787	82.35
SRR1779788	63.98
SRR1779789	92.45
SRR1779790	72.24
SRR1779791	36.63
SRR1779792	53.84
SRR1779793	88.49
SRR1779794	89.78
SRR1779795	91.38
SRR1779796	86.41
SRR1779797	73.54
SRR1779798	89.16
SRR1779799	80.21
SRR1779800	90.57
SRR1779801	90.02
SRR1779802	75.47
SRR1779803	70.67
SRR1779804	90.82
SRR1779805	90.96
SRR1779806	87.93
SRR1779807	77.83
SRR1779808	89.26
SRR1779809	89.81
SRR1779810	90.22
SRR1779811	89.78
SRR1779812	88.29
SRR1779813	88.98
SRR1779814	91.17
SRR1779815	86.65
SRR1779816	67.08
SRR1779817	81.29
SRR1779818	88.14
SRR1779819	54.62
SRR1779820	86.84
SRR1779821	88.94
SRR1779822	39.22
SRR1779823	81.75
SRR1779824	56.63
SRR1779825	87.91
SRR1779826	91.30
SRR1779827	87.88
SRR1779828	91.76
SRR1779829	62.36
SRR1779830	90.26
SRR1779831	50.33
SRR1779832	81.73
SRR1779833	83.02
SRR1779834	81.77
SRR1779835	80.11
SRR1779836	71.98
SRR1779837	91.66
SRR1779838	84.68
SRR1779839	85.55
SRR1779840	89.09
SRR1779841	68.17
SRR1779842	90.32
SRR1779843	85.57
SRR1779844	90.72
SRR1779845	75.51
SRR1779846	89.86
SRR1779847	91.37
SRR1779848	27.54
SRR1779849	86.70
SRR1779850	74.15
SRR1779851	90.66
SRR1779852	86.47
SRR1779853	88.88
SRR1779854	87.82
SRR1779855	80.99
SRR1779856	27.62
SRR1779857	83.91
SRR1779858	90.85
SRR1779859	86.94
SRR1779860	88.41
SRR1779861	88.37
SRR1779862	75.13
SRR1779863	92.00
SRR1779864	91.45
SRR1779865	36.24
SRR1779866	91.50
SRR1779867	56.53
SRR1779868	86.04
SRR1779869	89.99
SRR1779870	88.86
SRR1779871	92.37
SRR1779872	89.26
SRR1779873	27.81
SRR1779874	84.78
SRR1779875	80.15
SRR1779876	79.86
SRR1779877	83.85
SRR1779878	81.27
SRR1779879	84.01
SRR1779880	82.29
SRR1779881	76.14
SRR1779882	78.14
SRR1779883	69.89
SRR1779884	82.23
SRR1779885	86.10
SRR1779886	65.87
SRR1779887	48.34
SRR1779888	86.07
SRR1779889	83.94
SRR1779890	81.23
SRR1779891	85.58
SRR1779892	86.02
SRR1779893	86.86
SRR1779894	75.37
SRR1779895	76.45
SRR1779896	85.40
SRR1779897	70.18
SRR1779898	86.78
SRR1779899	86.47
SRR1779900	84.43
SRR1779901	83.58
SRR1779902	86.90
SRR1779903	84.76
SRR1779904	68.10
SRR1779905	88.60
SRR1779906	77.15
SRR1779907	84.38
SRR1779908	86.64
SRR1779909	86.49
SRR1779910	88.42
SRR1779911	44.27
SRR1779912	89.26
SRR1779913	86.77
SRR1779914	87.50
SRR1779915	86.83
SRR1779916	87.11
SRR1779917	82.44
SRR1779918	76.27
SRR1779919	84.36
SRR1779920	85.06
SRR1779921	82.84
SRR1779922	85.08
SRR1779923	80.73
SRR1779924	85.71
SRR1779925	84.41
SRR1779926	86.20
SRR1779927	76.39
SRR1779928	86.72
SRR1779929	87.38
SRR1779930	77.61
SRR1779931	83.16
SRR1779932	74.39
SRR1779933	85.63
