cell	mt_content
SRR1781219	0.234023
SRR1781220	0.159836
SRR1781221	0.243369
SRR1781222	0.272458
SRR1781223	0.066548
SRR1781224	0.018303
SRR1781225	0.067553
SRR1781226	0.338543
SRR1781227	0.189479
SRR1781228	0.190115
SRR1781229	0.146605
SRR1781230	0.076355
SRR1781231	0.333593
SRR1781232	0.079347
SRR1781233	0.355357
SRR1781234	0.185471
SRR1781235	0.284224
SRR1781236	0.070330
SRR1781237	0.460497
SRR1781238	0.294985
SRR1781239	0.314875
SRR1781240	0.059809
SRR1781241	0.157846
SRR1781242	0.058161
SRR1781243	0.419759
SRR1781244	0.146725
SRR1781245	0.268789
SRR1781246	0.121216
SRR1781247	0.069106
SRR1781248	0.073713
SRR1781249	0.219403
SRR1781250	0.238980
SRR1781251	0.072874
SRR1781252	0.069132
SRR1781253	0.136148
SRR1781254	0.147068
SRR1781255	0.277996
SRR1781256	0.198402
SRR1781257	0.334874
SRR1781258	0.066583
SRR1781259	0.290696
SRR1781260	0.173790
SRR1781261	0.119527
SRR1781262	0.119895
SRR1781263	0.266962
SRR1781264	0.304290
SRR1781265	0.057092
SRR1781266	0.376164
SRR1781267	0.105584
SRR1781268	0.090909
SRR1781269	0.236508
SRR1781270	0.288840
SRR1781271	0.511435
SRR1781272	0.266623
SRR1781273	0.218923
SRR1781274	0.218214
SRR1781275	0.077650
SRR1781276	0.175157
SRR1781277	0.577536
SRR1781278	0.203173
SRR1781279	0.013168
SRR1781280	0.193800
SRR1781281	0.117085
SRR1781282	0.187334
SRR1781283	0.031925
SRR1781284	0.297266
SRR1781285	0.014540
SRR1781286	0.184736
SRR1781287	0.180768
SRR1781288	0.321263
SRR1781289	0.060606
SRR1781290	0.235923
SRR1781291	0.240772
SRR1781292	0.137433
SRR1781293	0.129833
SRR1781294	0.174596
SRR1781295	0.224117
SRR1781296	0.251619
SRR1781297	0.149721
SRR1781298	0.241976
SRR1781299	0.300151
SRR1781300	0.365502
SRR1781301	0.306165
SRR1781302	0.081754
SRR1781303	0.209971
SRR1781304	0.056101
SRR1781305	0.287074
SRR1781306	0.184155
SRR1781307	0.447631
SRR1781308	0.162709
SRR1781309	0.057461
SRR1781310	0.008651
SRR1781311	0.276456
SRR1781312	0.257110
SRR1781313	0.307815
SRR1781314	0.343917
SRR1779683	0.644297
SRR1779684	0.338667
SRR1779685	0.619660
SRR1779686	0.553610
SRR1779687	0.275198
SRR1779688	0.306748
SRR1779689	0.043884
SRR1779690	0.563478
SRR1779691	0.604311
SRR1779692	0.774122
SRR1779693	0.719185
SRR1779694	0.017370
SRR1779695	0.618710
SRR1779696	0.742696
SRR1779697	0.766537
SRR1779698	0.722982
SRR1779699	0.349741
SRR1779700	0.449649
SRR1779701	0.657966
SRR1779702	0.686218
SRR1779703	0.775391
SRR1779704	0.677991
SRR1779705	0.599637
SRR1779706	0.568663
SRR1779707	0.604427
SRR1779708	0.495826
SRR1779709	0.645313
SRR1779710	0.638214
SRR1779711	0.121860
SRR1779712	0.582395
SRR1779713	0.335642
SRR1779714	0.114090
SRR1779715	0.032787
SRR1779716	0.225889
SRR1779717	0.577808
SRR1779718	0.724134
SRR1779719	0.556421
SRR1779720	0.279006
SRR1779721	0.462552
SRR1779722	0.724074
SRR1779723	0.637838
SRR1779724	0.697140
SRR1779725	0.414013
SRR1779726	0.386111
SRR1779727	0.319516
SRR1779728	0.570170
SRR1779729	0.757510
SRR1779730	0.343318
SRR1779731	0.723514
SRR1779732	0.652011
SRR1779733	0.091732
SRR1779734	0.629772
SRR1779735	0.407706
SRR1779736	0.811234
SRR1779737	0.790565
SRR1779738	0.603205
SRR1779739	0.391026
SRR1779740	0.165731
SRR1779741	0.194362
SRR1779742	0.617949
SRR1779743	0.599581
SRR1779744	0.417874
SRR1779745	0.628800
SRR1779746	0.646745
SRR1779747	0.340368
SRR1779748	0.311688
SRR1779749	0.556138
SRR1779750	0.551487
SRR1779751	0.247153
SRR1779752	0.741790
SRR1779753	0.621174
SRR1779754	0.853162
SRR1779755	0.656794
SRR1779756	0.789702
SRR1779757	0.492721
SRR1779758	0.153191
SRR1779759	0.688256
SRR1779760	0.616351
SRR1779761	0.226383
SRR1779762	0.556896
SRR1779763	0.383227
SRR1779764	0.558824
SRR1779765	0.712887
SRR1779766	0.805033
SRR1779767	0.613758
SRR1779768	0.747804
SRR1779769	0.473731
SRR1779770	0.606334
SRR1779771	0.859330
SRR1779772	0.713403
SRR1779773	0.420495
SRR1779774	0.783695
SRR1779775	0.110959
SRR1779776	0.352669
SRR1779777	0.025219
SRR1779778	0.126471
SRR1779779	0.612785
SRR1779780	0.626031
SRR1779781	0.698144
SRR1779782	0.670339
SRR1779783	0.563420
SRR1779784	0.424298
SRR1779785	0.487545
SRR1779786	0.124081
SRR1779787	0.145502
SRR1779788	0.311828
SRR1779789	0.590690
SRR1779790	0.140840
SRR1779791	0.234496
SRR1779792	0.200875
SRR1779793	0.408152
SRR1779794	0.117522
SRR1779795	0.430671
SRR1779796	0.429071
SRR1779797	0.383872
SRR1779798	0.449084
SRR1779799	0.303889
SRR1779800	0.095687
SRR1779801	0.299504
SRR1779802	0.228877
SRR1779803	0.544706
SRR1779804	0.129943
SRR1779805	0.453725
SRR1779806	0.479889
SRR1779807	0.396752
SRR1779808	0.345712
SRR1779809	0.011601
SRR1779810	0.576813
SRR1779811	0.907001
SRR1779812	0.495043
SRR1779813	0.457600
SRR1779814	0.122720
SRR1779815	0.438998
SRR1779816	0.078305
SRR1779817	0.308716
SRR1779818	0.475786
SRR1779819	0.394749
SRR1779820	0.456079
SRR1779821	0.453953
SRR1779822	0.157005
SRR1779823	0.051148
SRR1779824	0.474781
SRR1779825	0.442580
SRR1779826	0.854842
SRR1779827	0.457450
SRR1779828	0.556203
SRR1779829	0.551790
SRR1779830	0.461779
SRR1779831	0.082606
SRR1779832	0.262025
SRR1779833	0.658848
SRR1779834	0.379009
SRR1779835	0.104929
SRR1779836	0.293450
SRR1779837	0.326246
SRR1779838	0.474978
SRR1779839	0.558780
SRR1779840	0.475668
SRR1779841	0.124125
SRR1779842	0.471111
SRR1779843	0.623384
SRR1779844	0.397826
SRR1779845	0.484451
SRR1779846	0.206883
SRR1779847	0.416380
SRR1779848	0.060201
SRR1779849	0.266640
SRR1779850	0.303828
SRR1779851	0.213066
SRR1779852	0.480499
SRR1779853	0.380334
SRR1779854	0.651931
SRR1779855	0.499603
SRR1779856	0.136240
SRR1779857	0.869659
SRR1779858	0.447114
SRR1779859	0.155094
SRR1779860	0.399176
SRR1779861	0.538528
SRR1779862	0.110661
SRR1779863	0.266889
SRR1779864	0.472414
SRR1779865	0.229343
SRR1779866	0.497704
SRR1779867	0.341951
SRR1779868	0.293082
SRR1779869	0.491387
SRR1779870	0.429969
SRR1779871	0.184900
SRR1779872	0.222886
SRR1779873	0.188900
SRR1779874	0.026220
SRR1779875	0.693123
SRR1779876	0.624341
SRR1779877	0.578932
SRR1779878	0.646610
SRR1779879	0.718073
SRR1779880	0.609244
