cell	sequencing_depth
SRR1781219	288429
SRR1781220	169538
SRR1781221	204030
SRR1781222	205348
SRR1781223	98936
SRR1781224	90874
SRR1781225	124110
SRR1781226	146734
SRR1781227	125429
SRR1781228	230842
SRR1781229	138966
SRR1781230	52561
SRR1781231	227891
SRR1781232	104332
SRR1781233	216028
SRR1781234	256104
SRR1781235	180869
SRR1781236	50584
SRR1781237	140226
SRR1781238	193302
SRR1781239	146763
SRR1781240	39227
SRR1781241	244320
SRR1781242	88457
SRR1781243	336881
SRR1781244	209715
SRR1781245	312986
SRR1781246	234514
SRR1781247	122753
SRR1781248	73666
SRR1781249	353613
SRR1781250	282147
SRR1781251	70293
SRR1781252	35662
SRR1781253	184695
SRR1781254	266858
SRR1781255	319309
SRR1781256	217981
SRR1781257	264195
SRR1781258	95459
SRR1781259	216803
SRR1781260	221992
SRR1781261	209278
SRR1781262	69942
SRR1781263	333207
SRR1781264	281182
SRR1781265	109228
SRR1781266	631962
SRR1781267	190825
SRR1781268	121275
SRR1781269	266047
SRR1781270	394822
SRR1781271	300953
SRR1781272	267398
SRR1781273	262018
SRR1781274	322770
SRR1781275	141843
SRR1781276	278807
SRR1781277	159594
SRR1781278	263701
SRR1781279	187079
SRR1781280	191955
SRR1781281	197585
SRR1781282	164158
SRR1781283	19545
SRR1781284	134619
SRR1781285	156653
SRR1781286	203941
SRR1781287	138982
SRR1781288	158073
SRR1781289	60195
SRR1781290	199485
SRR1781291	417377
SRR1781292	213631
SRR1781293	273505
SRR1781294	399192
SRR1781295	271863
SRR1781296	215876
SRR1781297	199837
SRR1781298	243073
SRR1781299	257242
SRR1781300	212440
SRR1781301	200950
SRR1781302	81782
SRR1781303	206709
SRR1781304	113379
SRR1781305	329237
SRR1781306	225201
SRR1781307	109563
SRR1781308	151767
SRR1781309	99832
SRR1781310	158296
SRR1781311	208334
SRR1781312	137803
SRR1781313	146296
SRR1781314	182837
SRR1779683	123660
SRR1779684	5425
SRR1779685	22856
SRR1779686	52763
SRR1779687	15358
SRR1779688	32241
SRR1779689	342572
SRR1779690	87611
SRR1779691	10431
SRR1779692	42934
SRR1779693	31346
SRR1779694	70840
SRR1779695	14181
SRR1779696	11736
SRR1779697	1721
SRR1779698	17905
SRR1779699	1664
SRR1779700	2500
SRR1779701	10798
SRR1779702	12484
SRR1779703	7216
SRR1779704	6893
SRR1779705	15623
SRR1779706	5649
SRR1779707	77818
SRR1779708	43709
SRR1779709	144120
SRR1779710	166050
SRR1779711	29126
SRR1779712	141663
SRR1779713	118676
SRR1779714	167649
SRR1779715	139039
SRR1779716	62054
SRR1779717	125609
SRR1779718	148035
SRR1779719	193527
SRR1779720	25985
SRR1779721	53915
SRR1779722	159026
SRR1779723	124173
SRR1779724	104248
SRR1779725	18143
SRR1779726	24085
SRR1779727	14416
SRR1779728	48815
SRR1779729	119378
SRR1779730	29421
SRR1779731	126775
SRR1779732	88096
SRR1779733	137437
SRR1779734	95394
SRR1779735	34623
SRR1779736	150983
SRR1779737	49633
SRR1779738	87858
SRR1779739	11109
SRR1779740	51311
SRR1779741	122109
SRR1779742	106740
SRR1779743	174912
SRR1779744	68287
SRR1779745	293517
SRR1779746	179923
SRR1779747	51194
SRR1779748	12758
SRR1779749	109705
SRR1779750	81034
SRR1779751	53837
SRR1779752	98486
SRR1779753	203045
SRR1779754	91032
SRR1779755	117012
SRR1779756	28328
SRR1779757	59795
SRR1779758	9547
SRR1779759	21614
SRR1779760	10500
SRR1779761	15405
SRR1779762	50045
SRR1779763	12732
SRR1779764	12552
SRR1779765	24177
SRR1779766	27939
SRR1779767	152883
SRR1779768	84164
SRR1779769	221563
SRR1779770	185254
SRR1779771	143627
SRR1779772	145261
SRR1779773	47416
SRR1779774	228395
SRR1779775	17647
SRR1779776	49175
SRR1779777	27122
SRR1779778	18478
SRR1779779	296669
SRR1779780	121704
SRR1779781	27196
