cell	frip
SRR1781219	0.495828
SRR1781220	0.528321
SRR1781221	0.492152
SRR1781222	0.443571
SRR1781223	0.378639
SRR1781224	0.397837
SRR1781225	0.306755
SRR1781226	0.496000
SRR1781227	0.522346
SRR1781228	0.417657
SRR1781229	0.393740
SRR1781230	0.343596
SRR1781231	0.554995
SRR1781232	0.430501
SRR1781233	0.496349
SRR1781234	0.430429
SRR1781235	0.462205
SRR1781236	0.308791
SRR1781237	0.554976
SRR1781238	0.482110
SRR1781239	0.515523
SRR1781240	0.305024
SRR1781241	0.404662
SRR1781242	0.338649
SRR1781243	0.545704
SRR1781244	0.464736
SRR1781245	0.457100
SRR1781246	0.422746
SRR1781247	0.334688
SRR1781248	0.352573
SRR1781249	0.501170
SRR1781250	0.496652
SRR1781251	0.355601
SRR1781252	0.344855
SRR1781253	0.401919
SRR1781254	0.409113
SRR1781255	0.484938
SRR1781256	0.435385
SRR1781257	0.509793
SRR1781258	0.347990
SRR1781259	0.502613
SRR1781260	0.392075
SRR1781261	0.432798
SRR1781262	0.365613
SRR1781263	0.453848
SRR1781264	0.484855
SRR1781265	0.318094
SRR1781266	0.527710
SRR1781267	0.371066
SRR1781268	0.388889
SRR1781269	0.455487
SRR1781270	0.471985
SRR1781271	0.564096
SRR1781272	0.504217
SRR1781273	0.459691
SRR1781274	0.464283
SRR1781275	0.353095
SRR1781276	0.415369
SRR1781277	0.595441
SRR1781278	0.445281
SRR1781279	0.392116
SRR1781280	0.439179
SRR1781281	0.417817
SRR1781282	0.399796
SRR1781283	0.278978
SRR1781284	0.443703
SRR1781285	0.320334
SRR1781286	0.511182
SRR1781287	0.422121
SRR1781288	0.506753
SRR1781289	0.363636
SRR1781290	0.454621
SRR1781291	0.441275
SRR1781292	0.370542
SRR1781293	0.410254
SRR1781294	0.384815
SRR1781295	0.489276
SRR1781296	0.429411
SRR1781297	0.426344
SRR1781298	0.493705
SRR1781299	0.455619
SRR1781300	0.528706
SRR1781301	0.518180
SRR1781302	0.374408
SRR1781303	0.505799
SRR1781304	0.333801
SRR1781305	0.503426
SRR1781306	0.440855
SRR1781307	0.485037
SRR1781308	0.461088
SRR1781309	0.347081
SRR1781310	0.350353
SRR1781311	0.523398
SRR1781312	0.438435
SRR1781313	0.442478
SRR1781314	0.535616
SRR1779683	0.651764
SRR1779684	0.448000
SRR1779685	0.629704
SRR1779686	0.568592
SRR1779687	0.478199
SRR1779688	0.316213
SRR1779689	0.060683
SRR1779690	0.573393
SRR1779691	0.624620
SRR1779692	0.676613
SRR1779693	0.644742
SRR1779694	0.087770
SRR1779695	0.614498
SRR1779696	0.655507
SRR1779697	0.630350
SRR1779698	0.638003
SRR1779699	0.295337
SRR1779700	0.459602
SRR1779701	0.607129
SRR1779702	0.617578
SRR1779703	0.678889
SRR1779704	0.610950
SRR1779705	0.609482
SRR1779706	0.563710
SRR1779707	0.661116
SRR1779708	0.559504
