cell	uniq_frags
SRR1781219	22126.000000
SRR1781220	12074.000000
SRR1781221	18029.000000
SRR1781222	13744.000000
SRR1781223	12568.000000
SRR1781224	2950.000000
SRR1781225	842.000000
SRR1781226	12401.000000
SRR1781227	13620.000000
SRR1781228	31690.000000
SRR1781229	19809.000000
SRR1781230	375.000000
SRR1781231	14541.000000
SRR1781232	1636.000000
SRR1781233	19601.000000
SRR1781234	26495.000000
SRR1781235	15984.000000
SRR1781236	423.000000
SRR1781237	5736.000000
SRR1781238	23054.000000
SRR1781239	11321.000000
SRR1781240	393.000000
SRR1781241	32065.000000
SRR1781242	502.000000
SRR1781243	22941.000000
SRR1781244	8130.000000
SRR1781245	24459.000000
SRR1781246	13673.000000
SRR1781247	687.000000
SRR1781248	666.000000
SRR1781249	15014.000000
SRR1781250	26138.000000
SRR1781251	1374.000000
SRR1781252	579.000000
SRR1781253	15488.000000
SRR1781254	24306.000000
SRR1781255	25525.000000
SRR1781256	14949.000000
SRR1781257	18712.000000
SRR1781258	743.000000
SRR1781259	15338.000000
SRR1781260	16972.000000
SRR1781261	10416.000000
SRR1781262	668.000000
SRR1781263	12230.000000
SRR1781264	27699.000000
SRR1781265	6342.000000
SRR1781266	21241.000000
SRR1781267	881.000000
SRR1781268	900.000000
SRR1781269	17684.000000
SRR1781270	29383.000000
SRR1781271	13160.000000
SRR1781272	18000.000000
SRR1781273	15124.000000
SRR1781274	26397.000000
SRR1781275	879.000000
SRR1781276	27007.000000
SRR1781277	2678.000000
SRR1781278	19892.000000
SRR1781279	17686.000000
SRR1781280	18100.000000
SRR1781281	18935.000000
SRR1781282	10381.000000
SRR1781283	1971.000000
SRR1781284	8482.000000
SRR1781285	8743.000000
SRR1781286	19175.000000
SRR1781287	10777.000000
SRR1781288	14020.000000
SRR1781289	434.000000
SRR1781290	12443.000000
SRR1781291	27027.000000
SRR1781292	16061.000000
SRR1781293	28089.000000
SRR1781294	38255.000000
SRR1781295	21343.000000
SRR1781296	16290.000000
SRR1781297	12352.000000
SRR1781298	18846.000000
SRR1781299	14342.000000
SRR1781300	14964.000000
SRR1781301	7900.000000
SRR1781302	775.000000
SRR1781303	15054.000000
SRR1781304	673.000000
SRR1781305	38806.000000
SRR1781306	20091.000000
SRR1781307	443.000000
SRR1781308	10436.000000
SRR1781309	1017.000000
SRR1781310	20513.000000
SRR1781311	13900.000000
SRR1781312	9038.000000
SRR1781313	6492.000000
SRR1781314	11633.000000
SRR1779683	9122.000000
SRR1779684	248.000000
SRR1779685	2840.000000
SRR1779686	7419.000000
SRR1779687	2560.000000
SRR1779688	8753.000000
SRR1779689	139527.000000
SRR1779690	11161.000000
SRR1779691	1432.000000
SRR1779692	2430.000000
SRR1779693	2948.000000
SRR1779694	25117.000000
SRR1779695	1720.000000
SRR1779696	1418.000000
SRR1779697	60.000000
SRR1779698	2189.000000
SRR1779699	251.000000
SRR1779700	470.000000
SRR1779701	1756.000000
SRR1779702	1728.000000
SRR1779703	732.000000
SRR1779704	891.000000
SRR1779705	2867.000000
SRR1779706	958.000000
SRR1779707	5879.000000
SRR1779708	2114.000000
SRR1779709	12347.000000
SRR1779710	13614.000000
SRR1779711	3286.000000
SRR1779712	15727.000000
