cell	dup_level
mSp_rep10_001	0.77463
mSp_rep10_002	0.784939
mSp_rep10_003	0.784875
mSp_rep10_004	0.781131
mSp_rep10_005	0.771743
mSp_rep10_006	0.779807
mSp_rep10_007	0.792091
mSp_rep10_008	0.776577
mSp_rep10_009	0.778935
mSp_rep10_010	0.784866
mSp_rep10_011	0.790249
mSp_rep10_012	0.777173
mSp_rep10_013	0.775851
mSp_rep10_014	0.76839
mSp_rep10_015	0.783362
mSp_rep10_016	0.777259
mSp_rep10_017	0.772372
mSp_rep10_018	0.764484
mSp_rep10_019	0.773789
mSp_rep10_020	0.768428
mSp_rep10_021	0.784682
mSp_rep10_022	0.806351
mSp_rep10_023	0.783598
mSp_rep10_024	0.778339
mSp_rep10_025	0.780383
mSp_rep10_026	0.784714
mSp_rep10_027	0.792526
mSp_rep10_028	0.767105
mSp_rep10_029	0.770717
mSp_rep10_030	0.775587
mSp_rep10_031	0.786655
mSp_rep10_032	0.781268
mSp_rep10_033	0.748323
mSp_rep10_034	0.780171
mSp_rep10_035	0.768574
mSp_rep10_036	0.775575
mSp_rep10_037	0.772305
mSp_rep10_038	0.74572
mSp_rep10_039	0.782313
mSp_rep10_040	0.767965
mSp_rep10_041	0.764996
mSp_rep10_042	0.750221
mSp_rep10_043	0.772068
mSp_rep10_044	0.774741
mSp_rep10_045	0.792948
mSp_rep10_046	0.809277
mSp_rep10_047	0.77994
mSp_rep10_048	0.777153
mSp_rep10_049	0.766109
mSp_rep10_050	0.778988
mSp_rep10_051	0.78353
mSp_rep10_052	0.76918
mSp_rep10_053	0.774322
mSp_rep10_054	0.761149
mSp_rep10_055	0.780049
mSp_rep10_056	0.770871
mSp_rep10_057	0.748255
mSp_rep10_058	0.781909
mSp_rep10_059	0.773571
mSp_rep10_060	0.764307
mSp_rep10_061	0.771964
mSp_rep10_062	0.751909
mSp_rep10_063	0.789158
mSp_rep10_064	0.756513
mSp_rep10_065	0.772885
mSp_rep10_066	0.757279
mSp_rep10_067	0.767779
mSp_rep10_068	0.765347
mSp_rep10_069	0.786981
mSp_rep10_070	0.798922
mSp_rep10_071	0.773988
mSp_rep10_072	0.77284
mSp_rep10_073	0.766155
mSp_rep10_074	0.756628
mSp_rep10_075	0.775892
mSp_rep10_076	0.744127
mSp_rep10_077	0.756283
mSp_rep10_078	0.750503
mSp_rep10_079	0.771831
mSp_rep10_080	0.756097
mSp_rep10_081	0.735253
mSp_rep10_082	0.766538
mSp_rep10_083	0.751968
mSp_rep10_084	0.755238
mSp_rep10_085	0.751503
mSp_rep10_086	0.748016
mSp_rep10_087	0.770398
mSp_rep10_088	0.758288
mSp_rep10_089	0.748232
mSp_rep10_090	0.732413
mSp_rep10_091	0.745427
mSp_rep10_092	0.757671
mSp_rep10_093	0.767986
mSp_rep10_094	0.776966
mSp_rep10_095	0.754789
mSp_rep10_096	0.754178
mSp_rep10_097	0.763985
mSp_rep10_098	0.770096
mSp_rep10_099	0.780819
mSp_rep10_100	0.68507
mSp_rep10_101	0.761541
mSp_rep10_102	0.759308
mSp_rep10_103	0.781586
mSp_rep10_104	0.763352
mSp_rep10_105	0.742197
mSp_rep10_106	0.77425
mSp_rep10_107	0.759356
mSp_rep10_108	0.739772
mSp_rep10_109	0.761336
mSp_rep10_110	0.751303
mSp_rep10_111	0.776243
mSp_rep10_112	0.752365
mSp_rep10_113	0.736692
mSp_rep10_114	0.75337
mSp_rep10_115	0.762067
mSp_rep10_116	0.761494
mSp_rep10_117	0.778075
mSp_rep10_118	0.802968
mSp_rep10_119	0.766852
mSp_rep10_120	0.748023
mSp_rep10_121	0.760882
mSp_rep10_122	0.777337
mSp_rep10_123	0.788867
mSp_rep10_124	0.77333
mSp_rep10_125	0.767434
mSp_rep10_126	0.763575
mSp_rep10_127	0.787854
mSp_rep10_128	0.757696
mSp_rep10_129	0.7056
mSp_rep10_130	0.756794
mSp_rep10_131	0.770893
mSp_rep10_132	0.768542
mSp_rep10_133	0.770985
mSp_rep10_134	0.7596
mSp_rep10_135	0.782518
mSp_rep10_136	0.769965
mSp_rep10_137	0.762701
mSp_rep10_138	0.761087
mSp_rep10_139	0.76646
mSp_rep10_140	0.777075
mSp_rep10_141	0.786708
mSp_rep10_142	0.791051
mSp_rep10_143	0.777899
mSp_rep10_144	0.775094
mSp_rep10_145	0.76259
mSp_rep10_146	0.767841
mSp_rep10_147	0.7777
mSp_rep10_148	0.72528
mSp_rep10_149	0.759746
mSp_rep10_150	0.758586
mSp_rep10_151	0.776953
mSp_rep10_152	0.743167
mSp_rep10_153	0.731311
