cell	frac_open
mSp_rep10_001	0.165933
mSp_rep10_002	0.202622
mSp_rep10_003	0.115195
mSp_rep10_004	0.163462
mSp_rep10_005	0.189564
mSp_rep10_006	0.160884
mSp_rep10_007	0.156933
mSp_rep10_008	0.096639
mSp_rep10_009	0.063016
mSp_rep10_010	0.152941
mSp_rep10_011	0.166303
mSp_rep10_012	0.154845
mSp_rep10_013	0.086211
mSp_rep10_014	0.177088
mSp_rep10_015	0.184833
mSp_rep10_016	0.143544
mSp_rep10_017	0.141681
mSp_rep10_018	0.050751
mSp_rep10_019	0.156417
mSp_rep10_020	0.128768
mSp_rep10_021	0.157831
mSp_rep10_022	0.025561
mSp_rep10_023	0.070299
mSp_rep10_024	0.167374
mSp_rep10_025	0.193754
mSp_rep10_026	0.170123
mSp_rep10_027	0.173493
mSp_rep10_028	0.139461
mSp_rep10_029	0.175687
mSp_rep10_030	0.160964
mSp_rep10_031	0.169105
mSp_rep10_032	0.177339
mSp_rep10_033	0.130183
mSp_rep10_034	0.147998
mSp_rep10_035	0.157924
mSp_rep10_036	0.175449
mSp_rep10_037	0.138099
mSp_rep10_038	0.001599
mSp_rep10_039	0.060043
mSp_rep10_040	0.146769
mSp_rep10_041	0.167057
mSp_rep10_042	0.162695
mSp_rep10_043	0.112869
mSp_rep10_044	0.143782
mSp_rep10_045	0.176572
mSp_rep10_046	0.068303
mSp_rep10_047	0.176625
mSp_rep10_048	0.150880
mSp_rep10_049	0.152849
mSp_rep10_050	0.131147
mSp_rep10_051	0.106472
mSp_rep10_052	0.090203
mSp_rep10_053	0.183894
mSp_rep10_054	0.153880
mSp_rep10_055	0.073775
mSp_rep10_056	0.074171
mSp_rep10_057	0.157157
mSp_rep10_058	0.153430
mSp_rep10_059	0.168167
mSp_rep10_060	0.045848
mSp_rep10_061	0.164215
mSp_rep10_062	0.149280
mSp_rep10_063	0.182903
mSp_rep10_064	0.156391
mSp_rep10_065	0.164255
mSp_rep10_066	0.151302
mSp_rep10_067	0.179335
mSp_rep10_068	0.099084
mSp_rep10_069	0.201803
mSp_rep10_070	0.184344
mSp_rep10_071	0.177022
mSp_rep10_072	0.178753
mSp_rep10_073	0.122451
mSp_rep10_074	0.176361
mSp_rep10_075	0.165286
mSp_rep10_076	0.157025
mSp_rep10_077	0.206759
mSp_rep10_078	0.124499
mSp_rep10_079	0.166607
mSp_rep10_080	0.090533
mSp_rep10_081	0.172145
mSp_rep10_082	0.156774
mSp_rep10_083	0.176150
mSp_rep10_084	0.154329
mSp_rep10_085	0.169356
mSp_rep10_086	0.061866
mSp_rep10_087	0.160937
mSp_rep10_088	0.070418
mSp_rep10_089	0.202675
mSp_rep10_090	0.153034
mSp_rep10_091	0.170678
mSp_rep10_092	0.119305
mSp_rep10_093	0.164122
mSp_rep10_094	0.186075
mSp_rep10_095	0.166277
mSp_rep10_096	0.099256
mSp_rep10_097	0.163263
mSp_rep10_098	0.114561
mSp_rep10_099	0.164744
mSp_rep10_100	0.145448
mSp_rep10_101	0.067748
mSp_rep10_102	0.170784
mSp_rep10_103	0.183987
mSp_rep10_104	0.131213
mSp_rep10_105	0.144007
mSp_rep10_106	0.130394
mSp_rep10_107	0.150192
mSp_rep10_108	0.130103
mSp_rep10_109	0.167797
mSp_rep10_110	0.121512
mSp_rep10_111	0.197098
mSp_rep10_112	0.077435
mSp_rep10_113	0.159748
mSp_rep10_114	0.081956
mSp_rep10_115	0.166092
mSp_rep10_116	0.142368
mSp_rep10_117	0.213129
mSp_rep10_118	0.096203
mSp_rep10_119	0.160752
mSp_rep10_120	0.051016
mSp_rep10_121	0.159986
mSp_rep10_122	0.062950
mSp_rep10_123	0.166250
mSp_rep10_124	0.040614
mSp_rep10_125	0.186406
mSp_rep10_126	0.069625
mSp_rep10_127	0.159840
mSp_rep10_128	0.173163
mSp_rep10_129	0.124169
mSp_rep10_130	0.205213
mSp_rep10_131	0.182599
mSp_rep10_132	0.148104
mSp_rep10_133	0.194283
mSp_rep10_134	0.171458
mSp_rep10_135	0.187965
mSp_rep10_136	0.171484
mSp_rep10_137	0.096480
mSp_rep10_138	0.163171
mSp_rep10_139	0.151752
mSp_rep10_140	0.064047
mSp_rep10_141	0.130249
mSp_rep10_142	0.090837
mSp_rep10_143	0.188520
mSp_rep10_144	0.164942
mSp_rep10_145	0.094643
mSp_rep10_146	0.125993
mSp_rep10_147	0.111785
mSp_rep10_148	0.075995
mSp_rep10_149	0.189776
mSp_rep10_150	0.105058
mSp_rep10_151	0.187542
mSp_rep10_152	0.155915
mSp_rep10_153	0.147932
mSp_rep10_154	0.187370
mSp_rep10_155	0.169105
mSp_rep10_156	0.174141
mSp_rep10_157	0.140703
mSp_rep10_158	0.045359
