cell	frip
mSp_rep10_001	0.737259
mSp_rep10_002	0.676183
mSp_rep10_003	0.751286
mSp_rep10_004	0.689410
mSp_rep10_005	0.675369
mSp_rep10_006	0.741171
mSp_rep10_007	0.748018
mSp_rep10_008	0.788315
mSp_rep10_009	0.754996
mSp_rep10_010	0.762377
mSp_rep10_011	0.741452
mSp_rep10_012	0.757998
mSp_rep10_013	0.753358
mSp_rep10_014	0.729294
mSp_rep10_015	0.685754
mSp_rep10_016	0.655647
mSp_rep10_017	0.705751
mSp_rep10_018	0.715885
mSp_rep10_019	0.762673
mSp_rep10_020	0.758871
mSp_rep10_021	0.774492
mSp_rep10_022	0.759076
mSp_rep10_023	0.696761
mSp_rep10_024	0.743949
mSp_rep10_025	0.694620
mSp_rep10_026	0.746618
mSp_rep10_027	0.715273
mSp_rep10_028	0.751650
mSp_rep10_029	0.739373
mSp_rep10_030	0.755668
mSp_rep10_031	0.755762
mSp_rep10_032	0.724820
mSp_rep10_033	0.777308
mSp_rep10_034	0.731682
mSp_rep10_035	0.754084
mSp_rep10_036	0.705902
mSp_rep10_037	0.763295
mSp_rep10_038	0.587282
mSp_rep10_039	0.671254
mSp_rep10_040	0.732773
mSp_rep10_041	0.719185
mSp_rep10_042	0.718787
mSp_rep10_043	0.735005
mSp_rep10_044	0.769660
mSp_rep10_045	0.762855
mSp_rep10_046	0.722397
mSp_rep10_047	0.767268
mSp_rep10_048	0.772753
mSp_rep10_049	0.757032
mSp_rep10_050	0.768173
mSp_rep10_051	0.746388
mSp_rep10_052	0.738362
mSp_rep10_053	0.730919
mSp_rep10_054	0.697144
mSp_rep10_055	0.705070
mSp_rep10_056	0.750046
mSp_rep10_057	0.752056
mSp_rep10_058	0.750000
mSp_rep10_059	0.707151
mSp_rep10_060	0.677912
mSp_rep10_061	0.753535
mSp_rep10_062	0.762341
mSp_rep10_063	0.738361
mSp_rep10_064	0.757841
mSp_rep10_065	0.745601
mSp_rep10_066	0.750174
mSp_rep10_067	0.728580
mSp_rep10_068	0.760427
mSp_rep10_069	0.676436
mSp_rep10_070	0.738519
mSp_rep10_071	0.718115
mSp_rep10_072	0.708114
mSp_rep10_073	0.708740
mSp_rep10_074	0.748410
mSp_rep10_075	0.665176
mSp_rep10_076	0.743413
mSp_rep10_077	0.696238
mSp_rep10_078	0.715767
mSp_rep10_079	0.767610
mSp_rep10_080	0.722381
mSp_rep10_081	0.637721
mSp_rep10_082	0.733275
mSp_rep10_083	0.743913
mSp_rep10_084	0.765033
mSp_rep10_085	0.771939
mSp_rep10_086	0.692138
mSp_rep10_087	0.743781
mSp_rep10_088	0.768216
mSp_rep10_089	0.726910
mSp_rep10_090	0.730532
mSp_rep10_091	0.769399
mSp_rep10_092	0.649228
mSp_rep10_093	0.743694
mSp_rep10_094	0.632030
mSp_rep10_095	0.729671
mSp_rep10_096	0.731549
mSp_rep10_097	0.716017
mSp_rep10_098	0.774346
mSp_rep10_099	0.757134
mSp_rep10_100	0.766404
mSp_rep10_101	0.780542
mSp_rep10_102	0.733316
mSp_rep10_103	0.719212
mSp_rep10_104	0.757506
mSp_rep10_105	0.743376
mSp_rep10_106	0.613516
mSp_rep10_107	0.726701
mSp_rep10_108	0.764515
mSp_rep10_109	0.747197
mSp_rep10_110	0.611269
mSp_rep10_111	0.722472
