cell	library_size
mSp_rep10_001	29665
mSp_rep10_002	41291
mSp_rep10_003	18453
mSp_rep10_004	28975
mSp_rep10_005	37499
mSp_rep10_006	26576
mSp_rep10_007	25564
mSp_rep10_008	13954
mSp_rep10_009	9314
mSp_rep10_010	25688
mSp_rep10_011	30215
mSp_rep10_012	26286
mSp_rep10_013	12888
mSp_rep10_014	31292
mSp_rep10_015	35231
mSp_rep10_016	26540
mSp_rep10_017	24049
mSp_rep10_018	7620
mSp_rep10_019	25976
mSp_rep10_020	21239
mSp_rep10_021	27428
mSp_rep10_022	4073
mSp_rep10_023	10481
mSp_rep10_024	30137
mSp_rep10_025	36386
mSp_rep10_026	29424
mSp_rep10_027	31660
mSp_rep10_028	23518
mSp_rep10_029	30787
mSp_rep10_030	27061
mSp_rep10_031	29615
mSp_rep10_032	31547
mSp_rep10_033	20756
mSp_rep10_034	23655
mSp_rep10_035	26076
mSp_rep10_036	31016
mSp_rep10_037	21740
mSp_rep10_038	409
mSp_rep10_039	9767
mSp_rep10_040	26117
mSp_rep10_041	28864
mSp_rep10_042	31163
mSp_rep10_043	17722
mSp_rep10_044	23242
mSp_rep10_045	32004
mSp_rep10_046	11182
mSp_rep10_047	31947
mSp_rep10_048	25263
mSp_rep10_049	26162
mSp_rep10_050	20900
mSp_rep10_051	16927
mSp_rep10_052	13223
mSp_rep10_053	33901
mSp_rep10_054	28583
mSp_rep10_055	11209
mSp_rep10_056	11089
mSp_rep10_057	27060
mSp_rep10_058	25068
mSp_rep10_059	31517
mSp_rep10_060	6712
mSp_rep10_061	29028
mSp_rep10_062	23854
mSp_rep10_063	34336
mSp_rep10_064	26356
mSp_rep10_065	28675
mSp_rep10_066	27745
mSp_rep10_067	33439
mSp_rep10_068	15018
mSp_rep10_069	37136
mSp_rep10_070	33622
mSp_rep10_071	31875
mSp_rep10_072	32665
mSp_rep10_073	21021
mSp_rep10_074	32341
mSp_rep10_075	28967
mSp_rep10_076	26657
mSp_rep10_077	38731
mSp_rep10_078	20999
mSp_rep10_079	28759
mSp_rep10_080	13888
mSp_rep10_081	31730
mSp_rep10_082	27124
mSp_rep10_083	30360
mSp_rep10_084	26472
mSp_rep10_085	30001
mSp_rep10_086	9272
mSp_rep10_087	28283
mSp_rep10_088	11380
mSp_rep10_089	40929
mSp_rep10_090	24688
mSp_rep10_091	30064
mSp_rep10_092	24109
mSp_rep10_093	27629
mSp_rep10_094	38184
mSp_rep10_095	29060
mSp_rep10_096	14521
mSp_rep10_097	28624
mSp_rep10_098	16824
mSp_rep10_099	28276
mSp_rep10_100	23039
mSp_rep10_101	9334
mSp_rep10_102	30009
mSp_rep10_103	33901
mSp_rep10_104	20673
mSp_rep10_105	23593
mSp_rep10_106	28937
mSp_rep10_107	24806
mSp_rep10_108	20212
mSp_rep10_109	29916
mSp_rep10_110	25400
mSp_rep10_111	36486
mSp_rep10_112	12464
mSp_rep10_113	28486
mSp_rep10_114	11428
mSp_rep10_115	29034
mSp_rep10_116	22605
mSp_rep10_117	39889
mSp_rep10_118	17052
mSp_rep10_119	27560
mSp_rep10_120	6538
mSp_rep10_121	27349
mSp_rep10_122	9775
mSp_rep10_123	29943
mSp_rep10_124	7049
mSp_rep10_125	34801
mSp_rep10_126	9747
mSp_rep10_127	27322
mSp_rep10_128	31167
mSp_rep10_129	20045
mSp_rep10_130	40257
mSp_rep10_131	33347
mSp_rep10_132	23344
mSp_rep10_133	35528
mSp_rep10_134	30451
mSp_rep10_135	35054
mSp_rep10_136	30427
mSp_rep10_137	15509
mSp_rep10_138	28373
mSp_rep10_139	27410
mSp_rep10_140	8630
mSp_rep10_141	20722
mSp_rep10_142	13661
mSp_rep10_143	33889
mSp_rep10_144	27927
mSp_rep10_145	13790
mSp_rep10_146	19373
mSp_rep10_147	18569
mSp_rep10_148	11773
mSp_rep10_149	35764
mSp_rep10_150	17821
mSp_rep10_151	33509
mSp_rep10_152	25927
mSp_rep10_153	25510
mSp_rep10_154	33202
mSp_rep10_155	29062
mSp_rep10_156	30634
mSp_rep10_157	22331
mSp_rep10_158	8093
mSp_rep10_159	30479
mSp_rep10_160	29771
mSp_rep10_161	24147
mSp_rep10_162	29651
mSp_rep10_163	22153
mSp_rep10_164	9575
mSp_rep10_165	32848
mSp_rep10_166	27618
mSp_rep10_167	37272
mSp_rep10_168	29278
mSp_rep10_169	32149
mSp_rep10_170	25755
mSp_rep10_171	28508
mSp_rep10_172	16551
mSp_rep10_173	27924
mSp_rep10_174	31422
mSp_rep10_175	8841
mSp_rep10_176	25625
mSp_rep10_177	36536
mSp_rep10_178	35260
mSp_rep10_179	40090
mSp_rep10_180	15741
mSp_rep10_181	11158
mSp_rep10_182	24813
mSp_rep10_183	24010
mSp_rep10_184	40294
mSp_rep10_185	23927
mSp_rep10_186	21096
mSp_rep10_187	15053
mSp_rep10_188	33095
mSp_rep10_189	39613
mSp_rep10_190	26166
mSp_rep10_191	36147
mSp_rep10_192	10133
mSp_rep10_193	9377
mSp_rep10_194	33792
mSp_rep10_195	33523
mSp_rep10_196	33862
mSp_rep10_197	21275
mSp_rep10_198	29795
mSp_rep10_199	16454
mSp_rep10_200	15786
mSp_rep10_201	755
mSp_rep10_202	26815
mSp_rep10_203	29024
mSp_rep10_204	15022
mSp_rep10_205	30916
mSp_rep10_206	12579
mSp_rep10_207	27733
mSp_rep10_208	28293
mSp_rep10_209	25452
mSp_rep10_210	14351
mSp_rep10_211	29737
mSp_rep10_212	33684
mSp_rep10_213	17078
mSp_rep10_214	21793
mSp_rep10_215	14429
mSp_rep10_216	33029
mSp_rep10_217	19317
mSp_rep10_218	7819
mSp_rep10_219	25773
mSp_rep10_220	27659
mSp_rep10_221	8394
mSp_rep10_222	34241
mSp_rep10_223	5216
mSp_rep10_224	19763
mSp_rep10_225	22875
mSp_rep10_226	29642
mSp_rep10_227	28172
mSp_rep10_228	31362
mSp_rep10_229	35011
mSp_rep10_230	27302
mSp_rep10_231	27566
mSp_rep10_232	7358
mSp_rep10_233	10476
mSp_rep10_234	33120
mSp_rep10_235	25268
mSp_rep10_236	9191
mSp_rep10_237	5064
mSp_rep10_238	34976
mSp_rep10_239	29248
mSp_rep10_240	29418
mSp_rep10_241	14345
mSp_rep10_242	23017
mSp_rep10_243	29433
mSp_rep10_244	20215
mSp_rep10_245	37096
mSp_rep10_246	26619
mSp_rep10_247	24193
mSp_rep10_248	23567
mSp_rep10_249	8796
mSp_rep10_250	17594
mSp_rep10_251	28229
mSp_rep10_252	23726
mSp_rep10_253	31627
mSp_rep10_254	26632
mSp_rep10_255	28337
mSp_rep10_256	15822
mSp_rep10_257	12246
mSp_rep10_258	17949
mSp_rep10_259	29728
mSp_rep10_260	27052
mSp_rep10_261	26500
mSp_rep10_262	33044
mSp_rep10_263	33297
mSp_rep10_264	9321
mSp_rep10_265	12699
mSp_rep10_266	23468
mSp_rep10_267	7220
mSp_rep10_268	31498
mSp_rep10_269	30969
mSp_rep10_270	35803
mSp_rep10_271	11284
mSp_rep10_272	14562
mSp_rep10_273	30361
mSp_rep10_274	5275
mSp_rep10_275	26335
mSp_rep10_276	29061
mSp_rep10_277	26863
mSp_rep10_278	28792
mSp_rep10_279	9811
mSp_rep10_280	24064
mSp_rep10_281	31450
mSp_rep10_282	12398
mSp_rep10_283	20039
mSp_rep10_284	31936
mSp_rep10_285	32503
mSp_rep10_286	33145
mSp_rep10_287	29528
mSp_rep10_288	11513
mSp_rep10_289	18039
mSp_rep10_290	27414
mSp_rep10_291	15523
mSp_rep10_292	13596
mSp_rep10_293	29139
mSp_rep10_294	30606
mSp_rep10_295	37010
mSp_rep10_296	31537
mSp_rep10_297	13808
mSp_rep10_298	26953
mSp_rep10_299	30212
mSp_rep10_300	28990
mSp_rep10_301	24708
mSp_rep10_302	28341
mSp_rep10_303	11999
mSp_rep10_304	18352
mSp_rep10_305	22174
mSp_rep10_306	10906
mSp_rep10_307	23236
mSp_rep10_308	24058
mSp_rep10_309	19576
mSp_rep10_310	19398
mSp_rep10_311	30559
mSp_rep10_312	24933
mSp_rep10_313	29190
mSp_rep10_314	20831
mSp_rep10_315	26521
mSp_rep10_316	31205
mSp_rep10_317	25762
mSp_rep10_318	20149
mSp_rep10_319	24848
mSp_rep10_320	22594
mSp_rep10_321	14158
mSp_rep10_322	24794
mSp_rep10_323	28722
mSp_rep10_324	31134
mSp_rep10_325	27219
mSp_rep10_326	29306
mSp_rep10_327	41527
mSp_rep10_328	24964
mSp_rep10_329	25695
mSp_rep10_330	26284
mSp_rep10_331	23166
mSp_rep10_332	19273
mSp_rep10_333	22037
mSp_rep10_334	24552
mSp_rep10_335	41906
mSp_rep10_336	9751
mSp_rep10_337	13551
mSp_rep10_338	15816
mSp_rep10_339	21114
mSp_rep10_340	12998
mSp_rep10_341	8648
mSp_rep10_342	23874
mSp_rep10_343	15576
mSp_rep10_344	31097
mSp_rep10_345	26454
mSp_rep10_346	25090
mSp_rep10_347	24877
mSp_rep10_348	42637
mSp_rep10_349	25687
mSp_rep10_350	29180
mSp_rep10_351	28644
mSp_rep10_352	49032
mSp_rep10_353	28025
mSp_rep10_354	25936
mSp_rep10_355	17551
mSp_rep10_356	26525
mSp_rep10_357	40365
mSp_rep10_358	23666
mSp_rep10_359	28181
mSp_rep10_360	26778
mSp_rep10_361	17432
mSp_rep10_362	30116
mSp_rep10_363	22662
mSp_rep10_364	35081
mSp_rep10_365	9361
mSp_rep10_366	28535
mSp_rep10_367	30300
mSp_rep10_368	28817
mSp_rep10_369	32783
mSp_rep10_370	28383
mSp_rep10_371	5933
mSp_rep10_372	19816
mSp_rep10_373	29956
mSp_rep10_374	32608
mSp_rep10_375	27686
mSp_rep10_376	24434
mSp_rep10_377	35699
mSp_rep10_378	28991
mSp_rep10_379	29267
mSp_rep10_380	28249
mSp_rep10_381	9400
mSp_rep10_382	24933
mSp_rep10_383	26410
mSp_rep10_384	86
mSp_rep11_001	11549
mSp_rep11_002	17421
mSp_rep11_003	26711
mSp_rep11_004	28162
mSp_rep11_005	30082
mSp_rep11_006	31037
mSp_rep11_007	8584
mSp_rep11_008	29145
mSp_rep11_009	32180
mSp_rep11_010	42620
mSp_rep11_011	22918
mSp_rep11_012	37687
mSp_rep11_013	35058
mSp_rep11_014	23838
mSp_rep11_015	29754
mSp_rep11_016	27214
mSp_rep11_017	25928
mSp_rep11_018	33044
mSp_rep11_019	32513
mSp_rep11_020	7429
mSp_rep11_021	30602
mSp_rep11_022	42924
mSp_rep11_023	35491
mSp_rep11_024	13416
mSp_rep11_025	46594
mSp_rep11_026	30304
mSp_rep11_027	31875
mSp_rep11_028	31442
mSp_rep11_029	38655
mSp_rep11_030	26827
mSp_rep11_031	5683
mSp_rep11_032	32294
mSp_rep11_033	18755
mSp_rep11_034	27135
mSp_rep11_035	38136
mSp_rep11_036	32424
mSp_rep11_037	32584
mSp_rep11_038	27249
mSp_rep11_039	28624
mSp_rep11_040	45595
mSp_rep11_041	39984
mSp_rep11_042	6009
mSp_rep11_043	31983
mSp_rep11_044	40744
mSp_rep11_045	31398
mSp_rep11_046	16946
mSp_rep11_047	31033
mSp_rep11_048	32054
mSp_rep11_049	8942
mSp_rep11_050	40677
mSp_rep11_051	39121
mSp_rep11_052	21226
mSp_rep11_053	25885
mSp_rep11_054	31831
mSp_rep11_055	24479
mSp_rep11_056	14131
mSp_rep11_057	28496
mSp_rep11_058	28027
mSp_rep11_059	35765
mSp_rep11_060	28159
mSp_rep11_061	11807
mSp_rep11_062	27569
mSp_rep11_063	9999
mSp_rep11_064	29421
mSp_rep11_065	14697
mSp_rep11_066	16060
mSp_rep11_067	30937
mSp_rep11_068	32367
mSp_rep11_069	21527
mSp_rep11_070	31514
mSp_rep11_071	41284
mSp_rep11_072	23110
mSp_rep11_073	24824
mSp_rep11_074	10693
mSp_rep11_075	32219
mSp_rep11_076	28917
mSp_rep11_077	32608
mSp_rep11_078	23054
mSp_rep11_079	28204
mSp_rep11_080	27536
mSp_rep11_081	38748
mSp_rep11_082	15323
mSp_rep11_083	34169
mSp_rep11_084	30877
mSp_rep11_085	23063
mSp_rep11_086	19171
mSp_rep11_087	40363
mSp_rep11_088	32971
mSp_rep11_089	32941
mSp_rep11_090	33346
mSp_rep11_091	14110
mSp_rep11_092	34118
mSp_rep11_093	26863
mSp_rep11_094	29310
mSp_rep11_095	28355
mSp_rep11_096	19191
mSp_rep11_097	31317
mSp_rep11_098	11976
mSp_rep11_099	30773
mSp_rep11_100	24910
mSp_rep11_101	32428
mSp_rep11_102	31818
mSp_rep11_103	33216
mSp_rep11_104	41106
mSp_rep11_105	50269
mSp_rep11_106	26765
mSp_rep11_107	21112
mSp_rep11_108	36944
mSp_rep11_109	34928
mSp_rep11_110	28393
mSp_rep11_111	7428
mSp_rep11_112	33424
mSp_rep11_113	29878
mSp_rep11_114	32616
mSp_rep11_115	34007
mSp_rep11_116	32381
mSp_rep11_117	35608
mSp_rep11_118	28983
mSp_rep11_119	12905
mSp_rep11_120	27028
mSp_rep11_121	27461
mSp_rep11_122	26060
mSp_rep11_123	18635
mSp_rep11_124	29030
mSp_rep11_125	37074
mSp_rep11_126	26264
mSp_rep11_127	33407
mSp_rep11_128	9389
mSp_rep11_129	34613
mSp_rep11_130	40187
mSp_rep11_131	31483
mSp_rep11_132	47025
mSp_rep11_133	24393
mSp_rep11_134	25043
mSp_rep11_135	18868
mSp_rep11_136	35087
