cell	mt_content
mSp_rep10_001	0.008944
mSp_rep10_002	0.023460
mSp_rep10_003	0.004653
mSp_rep10_004	0.019260
mSp_rep10_005	0.012216
mSp_rep10_006	0.022833
mSp_rep10_007	0.014755
mSp_rep10_008	0.039603
mSp_rep10_009	0.080474
mSp_rep10_010	0.012701
mSp_rep10_011	0.032623
mSp_rep10_012	0.022291
mSp_rep10_013	0.021679
mSp_rep10_014	0.009109
mSp_rep10_015	0.028050
mSp_rep10_016	0.009456
mSp_rep10_017	0.024479
mSp_rep10_018	0.050240
mSp_rep10_019	0.017781
mSp_rep10_020	0.003343
mSp_rep10_021	0.031674
mSp_rep10_022	0.194369
mSp_rep10_023	0.047720
mSp_rep10_024	0.040082
mSp_rep10_025	0.025373
mSp_rep10_026	0.014556
mSp_rep10_027	0.006339
mSp_rep10_028	0.016654
mSp_rep10_029	0.019624
mSp_rep10_030	0.018219
mSp_rep10_031	0.019536
mSp_rep10_032	0.012658
mSp_rep10_033	0.039886
mSp_rep10_034	0.009191
mSp_rep10_035	0.008674
mSp_rep10_036	0.009760
mSp_rep10_037	0.019203
mSp_rep10_038	0.301746
mSp_rep10_039	0.053911
mSp_rep10_040	0.013207
mSp_rep10_041	0.017201
mSp_rep10_042	0.008904
mSp_rep10_043	0.020470
mSp_rep10_044	0.035682
mSp_rep10_045	0.045277
mSp_rep10_046	0.130552
mSp_rep10_047	0.021178
mSp_rep10_048	0.033648
mSp_rep10_049	0.023046
mSp_rep10_050	0.038476
mSp_rep10_051	0.036175
mSp_rep10_052	0.022088
mSp_rep10_053	0.013712
mSp_rep10_054	0.011025
mSp_rep10_055	0.015247
mSp_rep10_056	0.059324
mSp_rep10_057	0.019919
mSp_rep10_058	0.027903
mSp_rep10_059	0.028571
mSp_rep10_060	0.010893
mSp_rep10_061	0.026951
mSp_rep10_062	0.007309
mSp_rep10_063	0.040854
mSp_rep10_064	0.011665
mSp_rep10_065	0.034907
mSp_rep10_066	0.042588
mSp_rep10_067	0.035953
mSp_rep10_068	0.017238
mSp_rep10_069	0.014491
mSp_rep10_070	0.022288
mSp_rep10_071	0.013854
mSp_rep10_072	0.009025
mSp_rep10_073	0.078416
mSp_rep10_074	0.040604
mSp_rep10_075	0.026979
