cell	uniq_frags
mSp_rep10_001	29033.000000
mSp_rep10_002	39919.000000
mSp_rep10_003	18183.000000
mSp_rep10_004	28108.000000
mSp_rep10_005	36550.000000
mSp_rep10_006	25678.000000
mSp_rep10_007	24973.000000
mSp_rep10_008	13241.000000
mSp_rep10_009	8467.000000
mSp_rep10_010	25108.000000
mSp_rep10_011	28971.000000
mSp_rep10_012	25396.000000
mSp_rep10_013	12455.000000
mSp_rep10_014	30568.000000
mSp_rep10_015	33888.000000
mSp_rep10_016	25978.000000
mSp_rep10_017	23154.000000
mSp_rep10_018	7127.000000
mSp_rep10_019	25190.000000
mSp_rep10_020	20869.000000
mSp_rep10_021	26292.000000
mSp_rep10_022	3262.000000
mSp_rep10_023	9878.000000
mSp_rep10_024	28595.000000
mSp_rep10_025	35070.000000
mSp_rep10_026	28704.000000
mSp_rep10_027	31196.000000
mSp_rep10_028	22791.000000
mSp_rep10_029	29775.000000
mSp_rep10_030	26243.000000
mSp_rep10_031	28757.000000
mSp_rep10_032	30810.000000
mSp_rep10_033	19522.000000
mSp_rep10_034	23177.000000
mSp_rep10_035	25485.000000
mSp_rep10_036	30337.000000
mSp_rep10_037	21043.000000
mSp_rep10_038	280.000000
mSp_rep10_039	9143.000000
mSp_rep10_040	25404.000000
mSp_rep10_041	27939.000000
mSp_rep10_042	30276.000000
mSp_rep10_043	17131.000000
mSp_rep10_044	22134.000000
mSp_rep10_045	30301.000000
mSp_rep10_046	9670.000000
mSp_rep10_047	30921.000000
mSp_rep10_048	24124.000000
mSp_rep10_049	25181.000000
mSp_rep10_050	19867.000000
mSp_rep10_051	16146.000000
mSp_rep10_052	12751.000000
mSp_rep10_053	33016.000000
mSp_rep10_054	27809.000000
mSp_rep10_055	10915.000000
mSp_rep10_056	10291.000000
mSp_rep10_057	25980.000000
mSp_rep10_058	24108.000000
mSp_rep10_059	30226.000000
mSp_rep10_060	6538.000000
mSp_rep10_061	27873.000000
mSp_rep10_062	23226.000000
mSp_rep10_063	32634.000000
mSp_rep10_064	25588.000000
mSp_rep10_065	27316.000000
mSp_rep10_066	26100.000000
mSp_rep10_067	31775.000000
mSp_rep10_068	14538.000000
mSp_rep10_069	36248.000000
mSp_rep10_070	32637.000000
mSp_rep10_071	31036.000000
mSp_rep10_072	31951.000000
mSp_rep10_073	19086.000000
mSp_rep10_074	30480.000000
mSp_rep10_075	27843.000000
mSp_rep10_076	25722.000000
mSp_rep10_077	37339.000000
mSp_rep10_078	20264.000000
mSp_rep10_079	27574.000000
mSp_rep10_080	13004.000000
mSp_rep10_081	30400.000000
mSp_rep10_082	26291.000000
mSp_rep10_083	29279.000000
mSp_rep10_084	24888.000000
mSp_rep10_085	28526.000000
mSp_rep10_086	8673.000000
mSp_rep10_087	27121.000000
mSp_rep10_088	9366.000000
mSp_rep10_089	39006.000000
mSp_rep10_090	23923.000000
mSp_rep10_091	28811.000000
mSp_rep10_092	23598.000000
mSp_rep10_093	26710.000000
mSp_rep10_094	37552.000000
mSp_rep10_095	28302.000000
mSp_rep10_096	14017.000000
mSp_rep10_097	27746.000000
mSp_rep10_098	16336.000000
mSp_rep10_099	27545.000000
mSp_rep10_100	21668.000000
mSp_rep10_101	8611.000000
mSp_rep10_102	29097.000000
mSp_rep10_103	32768.000000
mSp_rep10_104	19797.000000
mSp_rep10_105	22556.000000
mSp_rep10_106	28448.000000
mSp_rep10_107	23665.000000
mSp_rep10_108	19506.000000
mSp_rep10_109	28538.000000
mSp_rep10_110	24879.000000
mSp_rep10_111	35449.000000
mSp_rep10_112	11223.000000
mSp_rep10_113	27408.000000
mSp_rep10_114	10892.000000
mSp_rep10_115	27683.000000
mSp_rep10_116	21810.000000
mSp_rep10_117	39200.000000
mSp_rep10_118	14752.000000
mSp_rep10_119	26773.000000
mSp_rep10_120	6377.000000
mSp_rep10_121	26670.000000
mSp_rep10_122	8834.000000
mSp_rep10_123	28502.000000
mSp_rep10_124	5349.000000
mSp_rep10_125	33600.000000
mSp_rep10_126	9315.000000
mSp_rep10_127	26353.000000
mSp_rep10_128	29821.000000
mSp_rep10_129	18587.000000
mSp_rep10_130	37257.000000
mSp_rep10_131	32426.000000
mSp_rep10_132	22661.000000
mSp_rep10_133	34583.000000
mSp_rep10_134	29377.000000
mSp_rep10_135	34594.000000
mSp_rep10_136	29276.000000
mSp_rep10_137	14181.000000
