cell	mapping_rate
mSp_rep10_001	97.05
mSp_rep10_002	96.44
mSp_rep10_003	96.59
mSp_rep10_004	96.88
mSp_rep10_005	97.02
mSp_rep10_006	96.85
mSp_rep10_007	96.57
mSp_rep10_008	97.22
mSp_rep10_009	96.92
mSp_rep10_010	97.04
mSp_rep10_011	96.82
mSp_rep10_012	95.51
mSp_rep10_013	96.91
mSp_rep10_014	97.16
mSp_rep10_015	96.84
mSp_rep10_016	97.48
mSp_rep10_017	96.83
mSp_rep10_018	97.16
mSp_rep10_019	97.45
mSp_rep10_020	96.96
mSp_rep10_021	97.18
mSp_rep10_022	95.70
mSp_rep10_023	96.61
mSp_rep10_024	97.22
mSp_rep10_025	96.56
mSp_rep10_026	97.01
mSp_rep10_027	97.12
mSp_rep10_028	96.89
mSp_rep10_029	97.21
mSp_rep10_030	96.88
mSp_rep10_031	97.07
mSp_rep10_032	95.54
mSp_rep10_033	97.12
mSp_rep10_034	96.78
mSp_rep10_035	96.88
mSp_rep10_036	96.56
mSp_rep10_037	97.46
mSp_rep10_038	97.40
mSp_rep10_039	94.36
mSp_rep10_040	97.28
mSp_rep10_041	96.84
mSp_rep10_042	97.03
mSp_rep10_043	97.13
mSp_rep10_044	97.27
mSp_rep10_045	97.32
mSp_rep10_046	96.32
mSp_rep10_047	96.30
mSp_rep10_048	97.13
mSp_rep10_049	96.92
mSp_rep10_050	97.15
mSp_rep10_051	96.86
mSp_rep10_052	96.85
mSp_rep10_053	97.02
mSp_rep10_054	96.70
mSp_rep10_055	96.64
mSp_rep10_056	97.23
mSp_rep10_057	97.04
mSp_rep10_058	97.31
mSp_rep10_059	96.65
mSp_rep10_060	96.78
mSp_rep10_061	95.50
mSp_rep10_062	97.10
mSp_rep10_063	96.76
mSp_rep10_064	96.42
mSp_rep10_065	97.30
mSp_rep10_066	97.03
mSp_rep10_067	96.94
mSp_rep10_068	96.48
mSp_rep10_069	95.95
mSp_rep10_070	96.93
mSp_rep10_071	96.56
mSp_rep10_072	96.92
mSp_rep10_073	96.61
mSp_rep10_074	96.98
mSp_rep10_075	96.34
mSp_rep10_076	96.94
mSp_rep10_077	96.78
mSp_rep10_078	97.35
mSp_rep10_079	97.07
mSp_rep10_080	96.19
mSp_rep10_081	97.08
mSp_rep10_082	94.94
mSp_rep10_083	96.35
mSp_rep10_084	97.20
mSp_rep10_085	95.19
mSp_rep10_086	96.87
mSp_rep10_087	96.96
mSp_rep10_088	97.54
mSp_rep10_089	96.74
mSp_rep10_090	96.95
mSp_rep10_091	96.04
mSp_rep10_092	97.24
mSp_rep10_093	95.84
mSp_rep10_094	97.33
mSp_rep10_095	97.00
mSp_rep10_096	97.24
mSp_rep10_097	96.14
mSp_rep10_098	96.69
mSp_rep10_099	97.08
mSp_rep10_100	96.61
mSp_rep10_101	96.88
mSp_rep10_102	97.15
mSp_rep10_103	96.85
