cell	sequencing_depth
mSp_rep10_001	140871
mSp_rep10_002	210428
mSp_rep10_003	92556
mSp_rep10_004	143404
mSp_rep10_005	175643
mSp_rep10_006	130731
mSp_rep10_007	133363
mSp_rep10_008	67604
mSp_rep10_009	47374
mSp_rep10_010	128598
mSp_rep10_011	157086
mSp_rep10_012	130009
mSp_rep10_013	62597
mSp_rep10_014	144861
mSp_rep10_015	176843
mSp_rep10_016	126810
mSp_rep10_017	114827
mSp_rep10_018	35654
mSp_rep10_019	122487
mSp_rep10_020	97813
mSp_rep10_021	138531
mSp_rep10_022	26381
mSp_rep10_023	53593
mSp_rep10_024	147841
mSp_rep10_025	181583
mSp_rep10_026	147341
mSp_rep10_027	163499
mSp_rep10_028	108738
mSp_rep10_029	144177
mSp_rep10_030	129889
mSp_rep10_031	149990
mSp_rep10_032	158710
mSp_rep10_033	88902
mSp_rep10_034	116689
mSp_rep10_035	121453
mSp_rep10_036	149508
mSp_rep10_037	101876
mSp_rep10_038	2035
mSp_rep10_039	51726
mSp_rep10_040	119912
mSp_rep10_041	132879
mSp_rep10_042	132872
mSp_rep10_043	83868
mSp_rep10_044	112681
mSp_rep10_045	169416
mSp_rep10_046	68862
mSp_rep10_047	157912
mSp_rep10_048	123297
mSp_rep10_049	121086
mSp_rep10_050	102810
mSp_rep10_051	86030
mSp_rep10_052	62434
mSp_rep10_053	161581
mSp_rep10_054	129257
mSp_rep10_055	55362
mSp_rep10_056	53087
mSp_rep10_057	114705
mSp_rep10_058	124572
mSp_rep10_059	152415
mSp_rep10_060	30518
mSp_rep10_061	140637
mSp_rep10_062	102316
mSp_rep10_063	180949
mSp_rep10_064	117103
mSp_rep10_065	137159
mSp_rep10_066	124637
mSp_rep10_067	156841
mSp_rep10_068	69783
mSp_rep10_069	191791
mSp_rep10_070	182653
mSp_rep10_071	153412
mSp_rep10_072	154251
mSp_rep10_073	101844
mSp_rep10_074	146010
mSp_rep10_075	143586
mSp_rep10_076	112436
mSp_rep10_077	172924
mSp_rep10_078	90616
mSp_rep10_079	137329
mSp_rep10_080	63503
mSp_rep10_081	128142
mSp_rep10_082	129371
mSp_rep10_083	133608
mSp_rep10_084	118297
mSp_rep10_085	134814
mSp_rep10_086	40416
mSp_rep10_087	134569
mSp_rep10_088	54225
mSp_rep10_089	177935
mSp_rep10_090	98589
mSp_rep10_091	129433
mSp_rep10_092	106433
mSp_rep10_093	132125
mSp_rep10_094	184599
mSp_rep10_095	127881
mSp_rep10_096	63810
mSp_rep10_097	132664
mSp_rep10_098	79135
mSp_rep10_099	139104
mSp_rep10_100	77212
mSp_rep10_101	43312
mSp_rep10_102	133570
mSp_rep10_103	169067
mSp_rep10_104	93975
mSp_rep10_105	98473
mSp_rep10_106	138108
mSp_rep10_107	111784
mSp_rep10_108	83776
mSp_rep10_109	136179
mSp_rep10_110	109488
mSp_rep10_111	176511
mSp_rep10_112	56352
mSp_rep10_113	117610
mSp_rep10_114	50791
mSp_rep10_115	133507
mSp_rep10_116	102095
mSp_rep10_117	195575
mSp_rep10_118	100774
mSp_rep10_119	126849
mSp_rep10_120	27767
mSp_rep10_121	124873
mSp_rep10_122	49850
mSp_rep10_123	156102
mSp_rep10_124	36749
mSp_rep10_125	162791
mSp_rep10_126	59186
mSp_rep10_127	140610
mSp_rep10_128	138619
mSp_rep10_129	72762
mSp_rep10_130	184122
mSp_rep10_131	156974
mSp_rep10_132	108461
mSp_rep10_133	167511
mSp_rep10_134	136235
mSp_rep10_135	173565
mSp_rep10_136	144179
mSp_rep10_137	72421
mSp_rep10_138	128416
mSp_rep10_139	127997
mSp_rep10_140	43175
mSp_rep10_141	106673
mSp_rep10_142	71435
mSp_rep10_143	164814
mSp_rep10_144	134591
mSp_rep10_145	64734
mSp_rep10_146	91010
mSp_rep10_147	93357
mSp_rep10_148	47706
mSp_rep10_149	159967
mSp_rep10_150	80444
mSp_rep10_151	162973
mSp_rep10_152	108664
mSp_rep10_153	100990
mSp_rep10_154	158391
mSp_rep10_155	134356
mSp_rep10_156	137408
mSp_rep10_157	98522
mSp_rep10_158	44015
mSp_rep10_159	144636
mSp_rep10_160	139980
mSp_rep10_161	100236
mSp_rep10_162	125496
mSp_rep10_163	101983
mSp_rep10_164	40383
mSp_rep10_165	157288
mSp_rep10_166	141272
mSp_rep10_167	180307
mSp_rep10_168	130901
mSp_rep10_169	149806
mSp_rep10_170	118078
mSp_rep10_171	138466
mSp_rep10_172	66059
mSp_rep10_173	126184
mSp_rep10_174	141098
mSp_rep10_175	44290
mSp_rep10_176	113120
mSp_rep10_177	150146
mSp_rep10_178	171679
mSp_rep10_179	170990
mSp_rep10_180	71584
mSp_rep10_181	52966
mSp_rep10_182	106401
mSp_rep10_183	111608
mSp_rep10_184	182688
mSp_rep10_185	105518
mSp_rep10_186	87785
mSp_rep10_187	68571
mSp_rep10_188	144063
mSp_rep10_189	191450
mSp_rep10_190	130296
mSp_rep10_191	170145
mSp_rep10_192	47248
mSp_rep10_193	41803
mSp_rep10_194	161064
mSp_rep10_195	172028
mSp_rep10_196	131176
mSp_rep10_197	99071
mSp_rep10_198	136843
mSp_rep10_199	79059
mSp_rep10_200	69170
mSp_rep10_201	5682
mSp_rep10_202	131956
mSp_rep10_203	136636
mSp_rep10_204	69808
mSp_rep10_205	141378
mSp_rep10_206	55514
mSp_rep10_207	135369
mSp_rep10_208	126712
mSp_rep10_209	108514
mSp_rep10_210	59696
mSp_rep10_211	127242
mSp_rep10_212	149693
mSp_rep10_213	86283
mSp_rep10_214	113581
mSp_rep10_215	70356
mSp_rep10_216	151855
mSp_rep10_217	94514
mSp_rep10_218	43508
mSp_rep10_219	132529
mSp_rep10_220	121208
mSp_rep10_221	41344
mSp_rep10_222	167828
mSp_rep10_223	27858
mSp_rep10_224	96247
mSp_rep10_225	95822
mSp_rep10_226	153345
mSp_rep10_227	144240
mSp_rep10_228	152760
mSp_rep10_229	173196
mSp_rep10_230	132684
mSp_rep10_231	141288
mSp_rep10_232	38371
mSp_rep10_233	50543
mSp_rep10_234	152195
mSp_rep10_235	122262
mSp_rep10_236	45640
mSp_rep10_237	27664
mSp_rep10_238	194528
mSp_rep10_239	137389
mSp_rep10_240	143083
mSp_rep10_241	71641
mSp_rep10_242	109208
mSp_rep10_243	135688
mSp_rep10_244	77572
mSp_rep10_245	168447
mSp_rep10_246	109218
mSp_rep10_247	118502
mSp_rep10_248	92258
mSp_rep10_249	33502
mSp_rep10_250	79920
mSp_rep10_251	124197
mSp_rep10_252	88996
mSp_rep10_253	145514
mSp_rep10_254	126077
mSp_rep10_255	139183
mSp_rep10_256	74217
mSp_rep10_257	52661
mSp_rep10_258	77955
mSp_rep10_259	132404
mSp_rep10_260	123516
mSp_rep10_261	125006
mSp_rep10_262	177543
mSp_rep10_263	156081
mSp_rep10_264	41635
mSp_rep10_265	60268
mSp_rep10_266	106426
mSp_rep10_267	35483
mSp_rep10_268	137189
mSp_rep10_269	148831
mSp_rep10_270	164801
mSp_rep10_271	54062
mSp_rep10_272	68183
mSp_rep10_273	131269
mSp_rep10_274	28576
mSp_rep10_275	125286
mSp_rep10_276	133732
mSp_rep10_277	118223
mSp_rep10_278	133973
mSp_rep10_279	49359
mSp_rep10_280	103969
mSp_rep10_281	128898
mSp_rep10_282	53077
mSp_rep10_283	81623
mSp_rep10_284	134787
mSp_rep10_285	155095
mSp_rep10_286	169378
mSp_rep10_287	129296
mSp_rep10_288	53644
mSp_rep10_289	79822
mSp_rep10_290	126405
mSp_rep10_291	70008
mSp_rep10_292	56034
mSp_rep10_293	134670
mSp_rep10_294	152683
mSp_rep10_295	180204
mSp_rep10_296	142371
mSp_rep10_297	61681
mSp_rep10_298	125531
mSp_rep10_299	145509
mSp_rep10_300	132949
mSp_rep10_301	111849
mSp_rep10_302	131773
mSp_rep10_303	61277
mSp_rep10_304	83291
mSp_rep10_305	93678
mSp_rep10_306	47057
mSp_rep10_307	101697
mSp_rep10_308	99353
mSp_rep10_309	89742
mSp_rep10_310	91331
mSp_rep10_311	129056
mSp_rep10_312	107582
mSp_rep10_313	129992
mSp_rep10_314	93994
mSp_rep10_315	126461
mSp_rep10_316	133006
mSp_rep10_317	116901
mSp_rep10_318	91148
mSp_rep10_319	114099
mSp_rep10_320	96395
mSp_rep10_321	53211
mSp_rep10_322	110654
mSp_rep10_323	130465
mSp_rep10_324	130094
mSp_rep10_325	110917
mSp_rep10_326	121122
mSp_rep10_327	181489
mSp_rep10_328	101983
mSp_rep10_329	100785
mSp_rep10_330	105223
mSp_rep10_331	90020
mSp_rep10_332	77792
mSp_rep10_333	95922
mSp_rep10_334	120390
mSp_rep10_335	180665
mSp_rep10_336	44023
mSp_rep10_337	62351
mSp_rep10_338	73148
mSp_rep10_339	103111
mSp_rep10_340	57854
mSp_rep10_341	41483
mSp_rep10_342	109703
mSp_rep10_343	78449
mSp_rep10_344	132696
mSp_rep10_345	108425
mSp_rep10_346	126000
mSp_rep10_347	124296
mSp_rep10_348	201662
mSp_rep10_349	117776
mSp_rep10_350	134186
mSp_rep10_351	139503
mSp_rep10_352	226990
mSp_rep10_353	112720
mSp_rep10_354	104946
mSp_rep10_355	74434
mSp_rep10_356	116318
mSp_rep10_357	202049
mSp_rep10_358	120933
mSp_rep10_359	126318
mSp_rep10_360	124901
mSp_rep10_361	85485
mSp_rep10_362	145882
mSp_rep10_363	106972
mSp_rep10_364	152680
mSp_rep10_365	44391
mSp_rep10_366	131195
mSp_rep10_367	147784
mSp_rep10_368	136750
mSp_rep10_369	144890
mSp_rep10_370	137939
mSp_rep10_371	31990
mSp_rep10_372	91180
mSp_rep10_373	140152
mSp_rep10_374	145768
mSp_rep10_375	129240
mSp_rep10_376	110608
mSp_rep10_377	149999
mSp_rep10_378	126214
mSp_rep10_379	120718
mSp_rep10_380	125539
mSp_rep10_381	51843
mSp_rep10_382	125986
mSp_rep10_383	119696
mSp_rep10_384	62
mSp_rep11_001	57135
mSp_rep11_002	86180
mSp_rep11_003	134674
mSp_rep11_004	133466
mSp_rep11_005	143961
mSp_rep11_006	155656
mSp_rep11_007	47493
mSp_rep11_008	152748
mSp_rep11_009	156093
mSp_rep11_010	201330
mSp_rep11_011	115797
mSp_rep11_012	191511
mSp_rep11_013	182208
mSp_rep11_014	115336
mSp_rep11_015	150555
mSp_rep11_016	135476
mSp_rep11_017	132251
mSp_rep11_018	172858
mSp_rep11_019	170493
mSp_rep11_020	36556
mSp_rep11_021	160239
mSp_rep11_022	222343
mSp_rep11_023	185486
mSp_rep11_024	69098
mSp_rep11_025	233084
mSp_rep11_026	159525
mSp_rep11_027	161466
mSp_rep11_028	141383
mSp_rep11_029	186046
mSp_rep11_030	138795
mSp_rep11_031	34117
mSp_rep11_032	180669
mSp_rep11_033	89009
mSp_rep11_034	147122
mSp_rep11_035	202970
mSp_rep11_036	165326
mSp_rep11_037	165319
mSp_rep11_038	140317
mSp_rep11_039	145105
