cell	mapping_rate
mSp_rep3_001	96.91
mSp_rep3_002	97.38
mSp_rep3_003	96.89
mSp_rep3_004	97.33
mSp_rep3_005	97.18
mSp_rep3_006	97.13
mSp_rep3_007	97.45
mSp_rep3_008	97.07
mSp_rep3_009	97.00
mSp_rep3_010	96.57
mSp_rep3_011	97.34
mSp_rep3_012	97.88
mSp_rep3_013	97.08
mSp_rep3_014	97.53
mSp_rep3_015	94.71
mSp_rep3_016	97.78
mSp_rep3_017	97.36
mSp_rep3_018	97.13
mSp_rep3_019	97.50
mSp_rep3_020	97.49
mSp_rep3_021	98.06
mSp_rep3_022	96.76
mSp_rep3_023	97.07
mSp_rep3_024	97.19
mSp_rep3_025	96.33
mSp_rep3_026	97.38
mSp_rep3_027	97.36
mSp_rep3_028	97.29
mSp_rep3_029	97.68
mSp_rep3_030	97.13
mSp_rep3_031	97.16
mSp_rep3_032	96.80
mSp_rep3_033	93.35
mSp_rep3_034	97.14
mSp_rep3_035	97.40
mSp_rep3_036	97.63
mSp_rep3_037	97.35
mSp_rep3_038	95.52
mSp_rep3_039	96.72
mSp_rep3_040	99.21
mSp_rep3_041	97.73
mSp_rep3_042	97.92
mSp_rep3_043	95.78
mSp_rep3_044	97.33
mSp_rep3_045	97.75
mSp_rep3_046	97.33
mSp_rep3_047	97.59
mSp_rep3_048	96.86
mSp_rep3_049	96.79
mSp_rep3_050	97.53
mSp_rep3_051	96.93
mSp_rep3_052	95.93
mSp_rep3_053	96.80
mSp_rep3_054	97.17
mSp_rep3_055	97.09
mSp_rep3_056	96.77
mSp_rep3_057	97.24
mSp_rep3_058	97.28
mSp_rep3_059	94.72
mSp_rep3_060	97.03
mSp_rep3_061	96.99
mSp_rep3_062	96.83
mSp_rep3_063	96.82
mSp_rep3_064	96.80
mSp_rep3_065	97.16
mSp_rep3_066	95.50
mSp_rep3_067	97.14
mSp_rep3_068	96.64
mSp_rep3_069	94.69
mSp_rep3_070	96.17
mSp_rep3_071	97.30
mSp_rep3_072	97.08
mSp_rep3_073	97.29
mSp_rep3_074	97.79
mSp_rep3_075	97.14
mSp_rep3_076	97.52
mSp_rep3_077	97.81
mSp_rep3_078	97.32
mSp_rep3_079	96.85
mSp_rep3_080	97.17
mSp_rep3_081	91.56
mSp_rep3_082	96.25
mSp_rep3_083	97.34
mSp_rep3_084	96.68
