cell	uniq_frags
mSp_rep3_001	28539.000000
mSp_rep3_002	5353.000000
mSp_rep3_003	110246.000000
mSp_rep3_004	31984.000000
mSp_rep3_005	28817.000000
mSp_rep3_006	26866.000000
mSp_rep3_007	21790.000000
mSp_rep3_008	38565.000000
mSp_rep3_009	29237.000000
mSp_rep3_010	25264.000000
mSp_rep3_011	27792.000000
mSp_rep3_012	32153.000000
mSp_rep3_013	27252.000000
mSp_rep3_014	25601.000000
mSp_rep3_015	24724.000000
mSp_rep3_016	32285.000000
mSp_rep3_017	18342.000000
mSp_rep3_018	14770.000000
mSp_rep3_019	16135.000000
mSp_rep3_020	18924.000000
mSp_rep3_021	15498.000000
mSp_rep3_022	19628.000000
mSp_rep3_023	18176.000000
mSp_rep3_024	28303.000000
mSp_rep3_025	21319.000000
mSp_rep3_026	5826.000000
mSp_rep3_027	27939.000000
mSp_rep3_028	29289.000000
mSp_rep3_029	25624.000000
mSp_rep3_030	25754.000000
mSp_rep3_031	43376.000000
mSp_rep3_032	27937.000000
mSp_rep3_033	72111.000000
mSp_rep3_034	23809.000000
mSp_rep3_035	71140.000000
mSp_rep3_036	7733.000000
mSp_rep3_037	24562.000000
mSp_rep3_038	22800.000000
mSp_rep3_039	25926.000000
mSp_rep3_040	165.000000
mSp_rep3_041	16977.000000
mSp_rep3_042	2188.000000
mSp_rep3_043	24786.000000
mSp_rep3_044	21163.000000
mSp_rep3_045	15579.000000
mSp_rep3_046	50014.000000
mSp_rep3_047	15649.000000
mSp_rep3_048	10947.000000
mSp_rep3_049	31760.000000
mSp_rep3_050	29620.000000
mSp_rep3_051	31698.000000
mSp_rep3_052	28167.000000
mSp_rep3_053	55829.000000
mSp_rep3_054	37138.000000
mSp_rep3_055	19451.000000
mSp_rep3_056	29095.000000
mSp_rep3_057	30342.000000
mSp_rep3_058	24614.000000
mSp_rep3_059	887.000000
mSp_rep3_060	32299.000000
mSp_rep3_061	55205.000000
mSp_rep3_062	23433.000000
mSp_rep3_063	22641.000000
mSp_rep3_064	32305.000000
mSp_rep3_065	29112.000000
mSp_rep3_066	24959.000000
mSp_rep3_067	9879.000000
mSp_rep3_068	18728.000000
mSp_rep3_069	26791.000000
mSp_rep3_070	46881.000000
mSp_rep3_071	26374.000000
mSp_rep3_072	28967.000000
mSp_rep3_073	28396.000000
mSp_rep3_074	15274.000000
mSp_rep3_075	24626.000000
mSp_rep3_076	29268.000000
mSp_rep3_077	20777.000000
mSp_rep3_078	36355.000000
mSp_rep3_079	25448.000000
mSp_rep3_080	21412.000000
mSp_rep3_081	209529.000000
mSp_rep3_082	33157.000000
mSp_rep3_083	28166.000000
mSp_rep3_084	20214.000000
mSp_rep3_085	27850.000000
mSp_rep3_086	20139.000000
mSp_rep3_087	22707.000000
mSp_rep3_088	28613.000000
mSp_rep3_089	12082.000000
mSp_rep3_090	20299.000000
mSp_rep3_091	21767.000000
mSp_rep3_092	7.000000
mSp_rep3_093	46835.000000
