cell	sequencing_depth
mSp_rep3_001	419112
mSp_rep3_002	88166
mSp_rep3_003	1670074
mSp_rep3_004	447334
mSp_rep3_005	385922
mSp_rep3_006	368817
mSp_rep3_007	313900
mSp_rep3_008	526752
mSp_rep3_009	402705
mSp_rep3_010	374152
mSp_rep3_011	372083
mSp_rep3_012	417909
mSp_rep3_013	358172
mSp_rep3_014	312254
mSp_rep3_015	313759
mSp_rep3_016	440754
mSp_rep3_017	218209
mSp_rep3_018	162833
mSp_rep3_019	185618
mSp_rep3_020	231891
mSp_rep3_021	177734
mSp_rep3_022	264242
mSp_rep3_023	221880
mSp_rep3_024	375197
mSp_rep3_025	322667
mSp_rep3_026	82781
mSp_rep3_027	426746
mSp_rep3_028	377307
mSp_rep3_029	323450
mSp_rep3_030	385320
mSp_rep3_031	647903
mSp_rep3_032	387746
mSp_rep3_033	1091431
mSp_rep3_034	331696
mSp_rep3_035	903240
mSp_rep3_036	98376
mSp_rep3_037	319701
mSp_rep3_038	262955
mSp_rep3_039	328384
mSp_rep3_040	10366
mSp_rep3_041	184972
mSp_rep3_042	35275
mSp_rep3_043	329623
mSp_rep3_044	241696
mSp_rep3_045	176152
mSp_rep3_046	667026
mSp_rep3_047	183784
mSp_rep3_048	163262
mSp_rep3_049	482438
mSp_rep3_050	385351
mSp_rep3_051	466987
mSp_rep3_052	379741
mSp_rep3_053	782410
mSp_rep3_054	509868
mSp_rep3_055	279758
mSp_rep3_056	396236
mSp_rep3_057	422068
mSp_rep3_058	351142
mSp_rep3_059	19026
mSp_rep3_060	397509
mSp_rep3_061	713423
mSp_rep3_062	260263
mSp_rep3_063	254587
mSp_rep3_064	439602
mSp_rep3_065	318187
mSp_rep3_066	290228
mSp_rep3_067	124984
mSp_rep3_068	192082
mSp_rep3_069	307222
mSp_rep3_070	630899
mSp_rep3_071	290141
mSp_rep3_072	376117
mSp_rep3_073	431679
mSp_rep3_074	193314
mSp_rep3_075	374847
mSp_rep3_076	408524
mSp_rep3_077	275476
mSp_rep3_078	501715
mSp_rep3_079	370109
mSp_rep3_080	271635
mSp_rep3_081	3171099
mSp_rep3_082	455873
