cell	mt_content
mSp_rep3_001	0.026539
mSp_rep3_002	0.142303
mSp_rep3_003	0.030078
mSp_rep3_004	0.008261
mSp_rep3_005	0.015376
mSp_rep3_006	0.009592
mSp_rep3_007	0.010523
mSp_rep3_008	0.024806
mSp_rep3_009	0.032383
mSp_rep3_010	0.042578
mSp_rep3_011	0.032302
mSp_rep3_012	0.012424
mSp_rep3_013	0.019744
mSp_rep3_014	0.012891
mSp_rep3_015	0.006215
mSp_rep3_016	0.048499
mSp_rep3_017	0.016646
mSp_rep3_018	0.024556
mSp_rep3_019	0.013318
mSp_rep3_020	0.035666
mSp_rep3_021	0.008799
mSp_rep3_022	0.024241
mSp_rep3_023	0.021487
mSp_rep3_024	0.018567
mSp_rep3_025	0.018172
mSp_rep3_026	0.082941
mSp_rep3_027	0.017821
mSp_rep3_028	0.000807
mSp_rep3_029	0.010153
mSp_rep3_030	0.040664
mSp_rep3_031	0.022167
mSp_rep3_032	0.056275
mSp_rep3_033	0.000539
mSp_rep3_034	0.009491
mSp_rep3_035	0.019018
mSp_rep3_036	0.024119
mSp_rep3_037	0.018226
mSp_rep3_038	0.010037
mSp_rep3_039	0.010593
mSp_rep3_040	0.687135
mSp_rep3_041	0.028472
mSp_rep3_042	0.223889
mSp_rep3_043	0.014498
mSp_rep3_044	0.022632
mSp_rep3_045	0.004515
mSp_rep3_046	0.031704
mSp_rep3_047	0.030176
mSp_rep3_048	0.056944
mSp_rep3_049	0.014421
mSp_rep3_050	0.021143
mSp_rep3_051	0.012569
mSp_rep3_052	0.020546
mSp_rep3_053	0.020746
mSp_rep3_054	0.013007
mSp_rep3_055	0.036400
mSp_rep3_056	0.020689
mSp_rep3_057	0.004835
mSp_rep3_058	0.008002
mSp_rep3_059	0.270573
mSp_rep3_060	0.011636
mSp_rep3_061	0.021183
mSp_rep3_062	0.009475
mSp_rep3_063	0.007531
mSp_rep3_064	0.005848
mSp_rep3_065	0.015271
mSp_rep3_066	0.028184
mSp_rep3_067	0.018519
mSp_rep3_068	0.002490
mSp_rep3_069	0.019023
mSp_rep3_070	0.008295
mSp_rep3_071	0.011970
mSp_rep3_072	0.027725
mSp_rep3_073	0.026939
mSp_rep3_074	0.032428
mSp_rep3_075	0.028122
mSp_rep3_076	0.018367
mSp_rep3_077	0.022799
mSp_rep3_078	0.018553
mSp_rep3_079	0.027518
mSp_rep3_080	0.024647
mSp_rep3_081	0.000184
mSp_rep3_082	0.017190
mSp_rep3_083	0.031689
mSp_rep3_084	0.027438
mSp_rep3_085	0.055250
mSp_rep3_086	0.060039
mSp_rep3_087	0.007570
mSp_rep3_088	0.021164
mSp_rep3_089	0.021486
mSp_rep3_090	0.008687
mSp_rep3_091	0.008310
mSp_rep3_092	0.754967
mSp_rep3_093	0.020863
mSp_rep3_094	0.013986
mSp_rep3_095	0.024057
mSp_rep3_096	0.003325
mSp_rep3_097	0.019503
mSp_rep3_098	0.005353
mSp_rep3_099	0.005621
mSp_rep3_100	0.014511
mSp_rep3_101	0.008462
mSp_rep3_102	0.023734
mSp_rep3_103	0.024303
mSp_rep3_104	0.015900
mSp_rep3_105	0.075773
mSp_rep3_106	0.038071
mSp_rep3_107	0.001524
mSp_rep3_108	0.032670
mSp_rep3_109	0.003023
mSp_rep3_110	0.012364
mSp_rep3_111	0.018362
mSp_rep3_112	0.039804
mSp_rep3_113	0.016369
mSp_rep3_114	0.030754
mSp_rep3_115	0.012162
mSp_rep3_116	0.038485
mSp_rep3_117	0.050145
mSp_rep3_118	0.011504
mSp_rep3_119	0.030337
mSp_rep3_120	0.017339
mSp_rep3_121	0.042764
mSp_rep3_122	0.028985
mSp_rep3_123	0.023259
mSp_rep3_124	0.035310
mSp_rep3_125	0.027545
mSp_rep3_126	0.020035
mSp_rep3_127	0.030532
mSp_rep3_128	0.005042
mSp_rep3_129	0.045502
mSp_rep3_130	0.050055
mSp_rep3_131	0.012361
mSp_rep3_132	0.017706
mSp_rep3_133	0.001516
mSp_rep3_134	0.034021
mSp_rep3_135	0.003462
mSp_rep3_136	0.009121
mSp_rep3_137	0.026754
mSp_rep3_138	0.012980
mSp_rep3_139	0.011831
mSp_rep3_140	0.028064
mSp_rep3_141	0.024313
mSp_rep3_142	0.030567
mSp_rep3_143	0.011041
mSp_rep3_144	0.012910
mSp_rep3_145	0.028934
mSp_rep3_146	0.002275
mSp_rep3_147	0.033450
mSp_rep3_148	0.022779
mSp_rep3_149	0.011027
mSp_rep3_150	0.015822
mSp_rep3_151	0.024646
mSp_rep3_152	0.009289
mSp_rep3_153	0.058857
mSp_rep3_154	0.010760
mSp_rep3_155	0.014254
mSp_rep3_156	0.015973
mSp_rep3_157	0.165672
mSp_rep3_158	0.006477
mSp_rep3_159	0.026016
mSp_rep3_160	0.053866
mSp_rep3_161	0.038899
mSp_rep3_162	0.017905
mSp_rep3_163	0.041024
mSp_rep3_164	0.015291
mSp_rep3_165	0.047152
mSp_rep3_166	0.013717
mSp_rep3_167	0.035476
mSp_rep3_168	0.038143
mSp_rep3_169	0.124491
mSp_rep3_170	0.032591
mSp_rep3_171	0.028773
mSp_rep3_172	0.092234
mSp_rep3_173	0.019671
mSp_rep3_174	0.018475
mSp_rep3_175	0.041717
mSp_rep3_176	0.013244
mSp_rep3_177	0.020601
mSp_rep3_178	0.020625
mSp_rep3_179	0.031925
mSp_rep3_180	0.003303
mSp_rep3_181	0.019777
mSp_rep3_182	0.025273
mSp_rep3_183	0.023981
mSp_rep3_184	0.009304
mSp_rep3_185	0.009911
mSp_rep3_186	0.015677
mSp_rep3_187	0.038006
mSp_rep3_188	0.044759
mSp_rep3_189	0.020888
mSp_rep3_190	0.011779
mSp_rep3_191	0.002073
mSp_rep3_192	0.012255
mSp_rep3_193	0.072505
mSp_rep3_194	0.044533
mSp_rep3_195	0.020190
mSp_rep3_196	0.011633
mSp_rep3_197	0.142292
mSp_rep3_198	0.013431
mSp_rep3_199	0.016655
mSp_rep3_200	0.026911
mSp_rep3_201	0.012732
mSp_rep3_202	0.014308
