cell	uniq_frags
mSp_rep3_001	33503.000000
mSp_rep3_002	6483.000000
mSp_rep3_003	128728.000000
mSp_rep3_004	37530.000000
mSp_rep3_005	34349.000000
mSp_rep3_006	31892.000000
mSp_rep3_007	25334.000000
mSp_rep3_008	46153.000000
mSp_rep3_009	34806.000000
mSp_rep3_010	29948.000000
mSp_rep3_011	33468.000000
mSp_rep3_012	38695.000000
mSp_rep3_013	32918.000000
mSp_rep3_014	31373.000000
mSp_rep3_015	30008.000000
mSp_rep3_016	39070.000000
mSp_rep3_017	22924.000000
mSp_rep3_018	19316.000000
mSp_rep3_019	20278.000000
mSp_rep3_020	23596.000000
mSp_rep3_021	19697.000000
mSp_rep3_022	24149.000000
mSp_rep3_023	22551.000000
mSp_rep3_024	33916.000000
mSp_rep3_025	25041.000000
mSp_rep3_026	7097.000000
mSp_rep3_027	32390.000000
mSp_rep3_028	34973.000000
mSp_rep3_029	31220.000000
mSp_rep3_030	30312.000000
mSp_rep3_031	50649.000000
mSp_rep3_032	34160.000000
mSp_rep3_033	86294.000000
mSp_rep3_034	27998.000000
mSp_rep3_035	86157.000000
mSp_rep3_036	9478.000000
mSp_rep3_037	29616.000000
mSp_rep3_038	28892.000000
mSp_rep3_039	31470.000000
mSp_rep3_040	232.000000
mSp_rep3_041	22391.000000
mSp_rep3_042	2883.000000
mSp_rep3_043	30137.000000
mSp_rep3_044	26978.000000
mSp_rep3_045	19622.000000
mSp_rep3_046	60313.000000
mSp_rep3_047	19745.000000
mSp_rep3_048	13153.000000
mSp_rep3_049	36567.000000
mSp_rep3_050	35336.000000
mSp_rep3_051	37208.000000
mSp_rep3_052	34035.000000
mSp_rep3_053	65886.000000
mSp_rep3_054	44271.000000
mSp_rep3_055	22720.000000
mSp_rep3_056	34614.000000
mSp_rep3_057	35501.000000
mSp_rep3_058	28782.000000
mSp_rep3_059	1136.000000
mSp_rep3_060	39764.000000
mSp_rep3_061	66507.000000
mSp_rep3_062	29662.000000
mSp_rep3_063	28292.000000
mSp_rep3_064	38600.000000
mSp_rep3_065	37533.000000
mSp_rep3_066	31886.000000
mSp_rep3_067	12140.000000
mSp_rep3_068	24724.000000
mSp_rep3_069	34842.000000
mSp_rep3_070	56384.000000
mSp_rep3_071	33695.000000
mSp_rep3_072	34963.000000
mSp_rep3_073	32720.000000
mSp_rep3_074	18737.000000
mSp_rep3_075	28756.000000
mSp_rep3_076	34469.000000
mSp_rep3_077	24967.000000
mSp_rep3_078	43117.000000
mSp_rep3_079	29909.000000
mSp_rep3_080	26208.000000
mSp_rep3_081	253885.000000
mSp_rep3_082	39409.000000
mSp_rep3_083	34794.000000
mSp_rep3_084	25052.000000
mSp_rep3_085	33757.000000
mSp_rep3_086	26121.000000
mSp_rep3_087	27926.000000
mSp_rep3_088	34857.000000
mSp_rep3_089	16929.000000
mSp_rep3_090	26074.000000
mSp_rep3_091	26620.000000
mSp_rep3_092	41.000000
mSp_rep3_093	58449.000000
mSp_rep3_094	35759.000000
mSp_rep3_095	38429.000000
mSp_rep3_096	32070.000000
mSp_rep3_097	38476.000000
mSp_rep3_098	32592.000000
mSp_rep3_099	35150.000000
mSp_rep3_100	52712.000000
mSp_rep3_101	23042.000000
mSp_rep3_102	22121.000000
mSp_rep3_103	41491.000000
mSp_rep3_104	35241.000000
mSp_rep3_105	10716.000000
mSp_rep3_106	27979.000000
mSp_rep3_107	29768.000000
mSp_rep3_108	24492.000000
mSp_rep3_109	30290.000000
mSp_rep3_110	57413.000000
mSp_rep3_111	25359.000000
mSp_rep3_112	26883.000000
mSp_rep3_113	30411.000000
mSp_rep3_114	50521.000000
mSp_rep3_115	24574.000000
mSp_rep3_116	25880.000000
mSp_rep3_117	9913.000000
mSp_rep3_118	25812.000000
mSp_rep3_119	7932.000000
mSp_rep3_120	48754.000000
mSp_rep3_121	30567.000000
mSp_rep3_122	39575.000000
mSp_rep3_123	25071.000000
mSp_rep3_124	35796.000000
mSp_rep3_125	24120.000000
mSp_rep3_126	24136.000000
mSp_rep3_127	35792.000000
mSp_rep3_128	28160.000000
mSp_rep3_129	61724.000000
mSp_rep3_130	53690.000000
mSp_rep3_131	25593.000000
mSp_rep3_132	119113.000000
mSp_rep3_133	27965.000000
mSp_rep3_134	28694.000000
mSp_rep3_135	27350.000000
mSp_rep3_136	19909.000000
mSp_rep3_137	33259.000000
mSp_rep3_138	24036.000000
mSp_rep3_139	27993.000000
mSp_rep3_140	19953.000000
mSp_rep3_141	28807.000000
mSp_rep3_142	20126.000000
mSp_rep3_143	36937.000000
mSp_rep3_144	43782.000000
mSp_rep3_145	33347.000000
mSp_rep3_146	37607.000000
mSp_rep3_147	21900.000000
mSp_rep3_148	30818.000000
mSp_rep3_149	37939.000000
mSp_rep3_150	29749.000000
mSp_rep3_151	44473.000000
mSp_rep3_152	47564.000000
mSp_rep3_153	66231.000000
mSp_rep3_154	41463.000000
mSp_rep3_155	21779.000000
mSp_rep3_156	35426.000000
mSp_rep3_157	6920.000000
mSp_rep3_158	32232.000000
mSp_rep3_159	22448.000000
mSp_rep3_160	18252.000000
mSp_rep3_161	25851.000000
mSp_rep3_162	36319.000000
mSp_rep3_163	47418.000000
mSp_rep3_164	20382.000000
mSp_rep3_165	30907.000000
mSp_rep3_166	21647.000000
mSp_rep3_167	38953.000000
mSp_rep3_168	70905.000000
mSp_rep3_169	2192.000000
mSp_rep3_170	28752.000000
mSp_rep3_171	43240.000000
mSp_rep3_172	12398.000000
mSp_rep3_173	23521.000000
mSp_rep3_174	35577.000000
mSp_rep3_175	49804.000000
mSp_rep3_176	23811.000000
mSp_rep3_177	33950.000000
mSp_rep3_178	76928.000000
mSp_rep3_179	11173.000000
mSp_rep3_180	16459.000000
mSp_rep3_181	38310.000000
mSp_rep3_182	15835.000000
mSp_rep3_183	26352.000000
mSp_rep3_184	24761.000000
mSp_rep3_185	23578.000000
mSp_rep3_186	34563.000000
mSp_rep3_187	22100.000000
mSp_rep3_188	25692.000000
mSp_rep3_189	23208.000000
mSp_rep3_190	32030.000000
mSp_rep3_191	26255.000000
mSp_rep3_192	26205.000000
mSp_rep3_193	18993.000000
mSp_rep3_194	6062.000000
mSp_rep3_195	24028.000000
mSp_rep3_196	11910.000000
mSp_rep3_197	4178.000000
mSp_rep3_198	15773.000000
mSp_rep3_199	33986.000000
mSp_rep3_200	44113.000000
mSp_rep3_201	32403.000000
mSp_rep3_202	20070.000000
mSp_rep3_203	26420.000000
mSp_rep3_204	35606.000000
mSp_rep3_205	24811.000000
mSp_rep3_206	29792.000000
mSp_rep3_207	32667.000000
mSp_rep3_208	12955.000000
mSp_rep3_209	46182.000000
mSp_rep3_210	53546.000000
mSp_rep3_211	29090.000000
mSp_rep3_212	30555.000000
mSp_rep3_213	23442.000000
mSp_rep3_214	61385.000000
mSp_rep3_215	27864.000000
mSp_rep3_216	77101.000000
mSp_rep3_217	15625.000000
mSp_rep3_218	48960.000000
mSp_rep3_219	25088.000000
mSp_rep3_220	15182.000000
mSp_rep3_221	13530.000000
mSp_rep3_222	43895.000000
mSp_rep3_223	2068.000000
mSp_rep3_224	21328.000000
mSp_rep3_225	48547.000000
mSp_rep3_226	58363.000000
mSp_rep3_227	33354.000000
mSp_rep3_228	47377.000000
mSp_rep3_229	18097.000000
mSp_rep3_230	40138.000000
mSp_rep3_231	31451.000000
mSp_rep3_232	11407.000000
mSp_rep3_233	32512.000000
mSp_rep3_234	27100.000000
mSp_rep3_235	25636.000000
mSp_rep3_236	24930.000000
mSp_rep3_237	28389.000000
mSp_rep3_238	23082.000000
mSp_rep3_239	15038.000000
mSp_rep3_240	34359.000000
mSp_rep3_241	15255.000000
mSp_rep3_242	29650.000000
mSp_rep3_243	36076.000000
mSp_rep3_244	22774.000000
mSp_rep3_245	11048.000000
mSp_rep3_246	2545.000000
mSp_rep3_247	46991.000000
mSp_rep3_248	23311.000000
mSp_rep3_249	45907.000000
mSp_rep3_250	55165.000000
mSp_rep3_251	38530.000000
mSp_rep3_252	34518.000000
mSp_rep3_253	38175.000000
mSp_rep3_254	40480.000000
mSp_rep3_255	45804.000000
mSp_rep3_256	56.000000
mSp_rep3_257	64865.000000
mSp_rep3_258	23095.000000
mSp_rep3_259	27390.000000
mSp_rep3_260	23668.000000
mSp_rep3_261	16548.000000
mSp_rep3_262	41109.000000
mSp_rep3_263	28923.000000
mSp_rep3_264	24780.000000
mSp_rep3_265	6192.000000
mSp_rep3_266	28061.000000
mSp_rep3_267	37918.000000
mSp_rep3_268	24224.000000
mSp_rep3_269	2479.000000
mSp_rep3_270	30.000000
mSp_rep3_271	37282.000000
mSp_rep3_272	22269.000000
mSp_rep3_273	25931.000000
mSp_rep3_274	3685.000000
mSp_rep3_275	31495.000000
mSp_rep3_276	31696.000000
mSp_rep3_277	31226.000000
mSp_rep3_278	11170.000000
mSp_rep3_279	26877.000000
mSp_rep3_280	10045.000000
mSp_rep3_281	21263.000000
mSp_rep3_282	7267.000000
mSp_rep3_283	13370.000000
mSp_rep3_284	31157.000000
mSp_rep3_285	32839.000000
mSp_rep3_286	31248.000000
mSp_rep3_287	150779.000000
mSp_rep3_288	55364.000000
mSp_rep3_289	21243.000000
mSp_rep3_290	35349.000000
mSp_rep3_291	30872.000000
mSp_rep3_292	42915.000000
mSp_rep3_293	39152.000000
mSp_rep3_294	31303.000000
mSp_rep3_295	13783.000000
mSp_rep3_296	30373.000000
mSp_rep3_297	34037.000000
mSp_rep3_298	32058.000000
mSp_rep3_299	29080.000000
mSp_rep3_300	46013.000000
mSp_rep3_301	33866.000000
mSp_rep3_302	29042.000000
mSp_rep3_303	14247.000000
mSp_rep3_304	12467.000000
mSp_rep3_305	11050.000000
mSp_rep3_306	37695.000000
mSp_rep3_307	26181.000000
mSp_rep3_308	13946.000000
mSp_rep3_309	19512.000000
mSp_rep3_310	25128.000000
mSp_rep3_311	23985.000000
mSp_rep3_312	4919.000000
mSp_rep3_313	115.000000
mSp_rep3_314	29421.000000
mSp_rep3_315	23110.000000
mSp_rep3_316	29285.000000
mSp_rep3_317	50765.000000
mSp_rep3_318	35056.000000
mSp_rep3_319	30220.000000
mSp_rep3_320	26723.000000
mSp_rep3_321	57160.000000
mSp_rep3_322	2671.000000
mSp_rep3_323	32959.000000
mSp_rep3_324	40315.000000
mSp_rep3_325	15145.000000
mSp_rep3_326	9087.000000
mSp_rep3_327	23189.000000
mSp_rep3_328	30857.000000
mSp_rep3_329	26783.000000
mSp_rep3_330	69318.000000
mSp_rep3_331	156642.000000
mSp_rep3_332	25389.000000
mSp_rep3_333	18689.000000
mSp_rep3_334	32394.000000
mSp_rep3_335	22730.000000
mSp_rep3_336	30361.000000
mSp_rep3_337	31386.000000
mSp_rep3_338	47366.000000
mSp_rep3_339	23541.000000
mSp_rep3_340	29031.000000
mSp_rep3_341	41370.000000
mSp_rep3_342	28721.000000
mSp_rep3_343	27101.000000
mSp_rep3_344	58557.000000
mSp_rep3_345	38294.000000
mSp_rep3_346	26891.000000
mSp_rep3_347	30524.000000
mSp_rep3_348	53532.000000
mSp_rep3_349	29255.000000
mSp_rep3_350	34070.000000
mSp_rep3_351	62192.000000
mSp_rep3_352	42761.000000
mSp_rep3_353	25808.000000
