cell	dup_level
mSp_rep3_001	0.959707
mSp_rep3_002	0.95662
mSp_rep3_003	0.961006
mSp_rep3_004	0.959113
mSp_rep3_005	0.956161
mSp_rep3_006	0.957715
mSp_rep3_007	0.960718
mSp_rep3_008	0.956154
mSp_rep3_009	0.956238
mSp_rep3_010	0.958615
mSp_rep3_011	0.954658
mSp_rep3_012	0.955014
mSp_rep3_013	0.954445
mSp_rep3_014	0.950943
mSp_rep3_015	0.952079
mSp_rep3_016	0.954548
mSp_rep3_017	0.948333
mSp_rep3_018	0.940698
mSp_rep3_019	0.946642
mSp_rep3_020	0.94867
mSp_rep3_021	0.946638
mSp_rep3_022	0.953869
mSp_rep3_023	0.949596
mSp_rep3_024	0.955166
mSp_rep3_025	0.961054
mSp_rep3_026	0.953935
mSp_rep3_027	0.962512
mSp_rep3_028	0.955463
mSp_rep3_029	0.95312
mSp_rep3_030	0.959881
mSp_rep3_031	0.961135
mSp_rep3_032	0.953284
mSp_rep3_033	0.958528
mSp_rep3_034	0.958831
mSp_rep3_035	0.952954
mSp_rep3_036	0.952048
mSp_rep3_037	0.95443
mSp_rep3_038	0.945283
mSp_rep3_039	0.953044
mSp_rep3_040	0.956204
mSp_rep3_041	0.939784
mSp_rep3_042	0.9445
mSp_rep3_043	0.954189
mSp_rep3_044	0.944724
mSp_rep3_045	0.946411
mSp_rep3_046	0.954529
mSp_rep3_047	0.94632
mSp_rep3_048	0.957544
mSp_rep3_049	0.962508
mSp_rep3_050	0.954742
mSp_rep3_051	0.960569
mSp_rep3_052	0.954767
mSp_rep3_053	0.957971
mSp_rep3_054	0.957276
mSp_rep3_055	0.958813
mSp_rep3_056	0.956422
mSp_rep3_057	0.959089
mSp_rep3_058	0.960022
mSp_rep3_059	0.952668
mSp_rep3_060	0.950806
mSp_rep3_061	0.953766
mSp_rep3_062	0.944101
mSp_rep3_063	0.945915
mSp_rep3_064	0.956883
mSp_rep3_065	0.941826
mSp_rep3_066	0.944035
mSp_rep3_067	0.951842
mSp_rep3_068	0.937131
mSp_rep3_069	0.941656
mSp_rep3_070	0.955474
mSp_rep3_071	0.943262
mSp_rep3_072	0.953379
mSp_rep3_073	0.962248
mSp_rep3_074	0.951393
mSp_rep3_075	0.961554
mSp_rep3_076	0.958551
mSp_rep3_077	0.955209
mSp_rep3_078	0.957541
mSp_rep3_079	0.959359
mSp_rep3_080	0.951988
mSp_rep3_081	0.956074
mSp_rep3_082	0.956751
mSp_rep3_083	0.949941
mSp_rep3_084	0.950637
mSp_rep3_085	0.952482
mSp_rep3_086	0.940874
mSp_rep3_087	0.949761
mSp_rep3_088	0.952763
mSp_rep3_089	0.926842
mSp_rep3_090	0.943356
mSp_rep3_091	0.953144
mSp_rep3_092	0.928112
mSp_rep3_093	0.948766
mSp_rep3_094	0.952924
mSp_rep3_095	0.942886
mSp_rep3_096	0.957279
mSp_rep3_097	0.959097
mSp_rep3_098	0.953114
mSp_rep3_099	0.96262
