cell	dup_level
mSp_rep3_001	35061
mSp_rep3_002	7695
mSp_rep3_003	135182
mSp_rep3_004	38585
mSp_rep3_005	35528
mSp_rep3_006	32836
mSp_rep3_007	26041
mSp_rep3_008	48278
mSp_rep3_009	36704
mSp_rep3_010	31923
mSp_rep3_011	35246
mSp_rep3_012	39959
mSp_rep3_013	34198
mSp_rep3_014	32406
mSp_rep3_015	30793
mSp_rep3_016	41846
mSp_rep3_017	23763
mSp_rep3_018	20256
mSp_rep3_019	21009
mSp_rep3_020	24943
mSp_rep3_021	20317
mSp_rep3_022	25309
mSp_rep3_023	23477
mSp_rep3_024	35220
mSp_rep3_025	26068
mSp_rep3_026	7917
mSp_rep3_027	33568
mSp_rep3_028	35649
mSp_rep3_029	32230
mSp_rep3_030	32146
mSp_rep3_031	52769
mSp_rep3_032	36979
mSp_rep3_033	88843
mSp_rep3_034	28785
mSp_rep3_035	89417
mSp_rep3_036	9950
mSp_rep3_037	30727
mSp_rep3_038	29734
mSp_rep3_039	32386
mSp_rep3_040	749
mSp_rep3_041	23557
mSp_rep3_042	3806
mSp_rep3_043	31153
mSp_rep3_044	28119
mSp_rep3_045	20155
mSp_rep3_046	63397
mSp_rep3_047	20762
mSp_rep3_048	14261
mSp_rep3_049	37722
mSp_rep3_050	36689
mSp_rep3_051	38455
mSp_rep3_052	35537
mSp_rep3_053	68532
mSp_rep3_054	45714
mSp_rep3_055	23990
mSp_rep3_056	35993
mSp_rep3_057	36380
mSp_rep3_058	29561
mSp_rep3_059	1595
mSp_rep3_060	40974
mSp_rep3_061	69150
mSp_rep3_062	30545
mSp_rep3_063	29055
mSp_rep3_064	39644
mSp_rep3_065	38884
mSp_rep3_066	33470
mSp_rep3_067	12625
mSp_rep3_068	25371
mSp_rep3_069	36378
mSp_rep3_070	58160
mSp_rep3_071	34780
mSp_rep3_072	36605
mSp_rep3_073	34200
mSp_rep3_074	19759
mSp_rep3_075	30073
mSp_rep3_076	35704
mSp_rep3_077	26068
mSp_rep3_078	44787
mSp_rep3_079	31325
mSp_rep3_080	27377
mSp_rep3_081	261618
mSp_rep3_082	40937
mSp_rep3_083	36624
mSp_rep3_084	26273
mSp_rep3_085	36464
mSp_rep3_086	28338
mSp_rep3_087	28669
mSp_rep3_088	36384
mSp_rep3_089	17806
mSp_rep3_090	26846
mSp_rep3_091	27338
mSp_rep3_092	179
mSp_rep3_093	60817
mSp_rep3_094	37089
mSp_rep3_095	40272
mSp_rep3_096	32817
mSp_rep3_097	40049
mSp_rep3_098	33388
mSp_rep3_099	36022
mSp_rep3_100	54589
mSp_rep3_101	23688
mSp_rep3_102	23072
mSp_rep3_103	43449
mSp_rep3_104	36505
mSp_rep3_105	11888
mSp_rep3_106	29634
mSp_rep3_107	30453
mSp_rep3_108	25834
mSp_rep3_109	30999
mSp_rep3_110	59253
mSp_rep3_111	26326
mSp_rep3_112	28544
