cell	dup_level
HEK293T_NIH3T3_mix_001	0
HEK293T_NIH3T3_mix_002	0
HEK293T_NIH3T3_mix_003	0
HEK293T_NIH3T3_mix_004	0.04
HEK293T_NIH3T3_mix_005	0
HEK293T_NIH3T3_mix_006	0
HEK293T_NIH3T3_mix_007	0.924579
HEK293T_NIH3T3_mix_008	0
HEK293T_NIH3T3_mix_009	0.962216
HEK293T_NIH3T3_mix_010	0
HEK293T_NIH3T3_mix_011	0.951245
HEK293T_NIH3T3_mix_012	0.970042
HEK293T_NIH3T3_mix_013	0
HEK293T_NIH3T3_mix_014	0
HEK293T_NIH3T3_mix_015	0
HEK293T_NIH3T3_mix_016	0
HEK293T_NIH3T3_mix_017	0.674419
HEK293T_NIH3T3_mix_018	0
HEK293T_NIH3T3_mix_019	0.972849
HEK293T_NIH3T3_mix_020	0.964792
HEK293T_NIH3T3_mix_021	0.970018
HEK293T_NIH3T3_mix_022	0
HEK293T_NIH3T3_mix_023	0.96955
HEK293T_NIH3T3_mix_024	0
HEK293T_NIH3T3_mix_025	0.6
HEK293T_NIH3T3_mix_026	0.967584
HEK293T_NIH3T3_mix_027	0.969269
HEK293T_NIH3T3_mix_028	0
HEK293T_NIH3T3_mix_029	0.959091
HEK293T_NIH3T3_mix_030	0.074074
HEK293T_NIH3T3_mix_031	0
HEK293T_NIH3T3_mix_032	0.969675
HEK293T_NIH3T3_mix_033	0
HEK293T_NIH3T3_mix_034	0.970663
HEK293T_NIH3T3_mix_035	0.967747
HEK293T_NIH3T3_mix_036	0
HEK293T_NIH3T3_mix_037	0.967915
HEK293T_NIH3T3_mix_038	0.894737
HEK293T_NIH3T3_mix_039	0
HEK293T_NIH3T3_mix_040	0.917081
HEK293T_NIH3T3_mix_041	0.967506
HEK293T_NIH3T3_mix_042	0
HEK293T_NIH3T3_mix_043	0.969896
HEK293T_NIH3T3_mix_044	0.965673
HEK293T_NIH3T3_mix_045	0
HEK293T_NIH3T3_mix_046	0.970682
HEK293T_NIH3T3_mix_047	0
HEK293T_NIH3T3_mix_048	0
HEK293T_NIH3T3_mix_049	0.828829
HEK293T_NIH3T3_mix_050	0
HEK293T_NIH3T3_mix_051	0.047619
HEK293T_NIH3T3_mix_052	0.970381
HEK293T_NIH3T3_mix_053	0
HEK293T_NIH3T3_mix_054	0
HEK293T_NIH3T3_mix_055	0.967343
HEK293T_NIH3T3_mix_056	0
HEK293T_NIH3T3_mix_057	0.970513
HEK293T_NIH3T3_mix_058	0.973149
HEK293T_NIH3T3_mix_059	0.969823
HEK293T_NIH3T3_mix_060	0.058824
HEK293T_NIH3T3_mix_061	0
HEK293T_NIH3T3_mix_062	0.967506
HEK293T_NIH3T3_mix_063	0.967614
HEK293T_NIH3T3_mix_064	0.972864
HEK293T_NIH3T3_mix_065	0
HEK293T_NIH3T3_mix_066	0.965202
HEK293T_NIH3T3_mix_067	0
HEK293T_NIH3T3_mix_068	0
HEK293T_NIH3T3_mix_069	0.970323
HEK293T_NIH3T3_mix_070	0.971076
HEK293T_NIH3T3_mix_071	0.970668
HEK293T_NIH3T3_mix_072	0
HEK293T_NIH3T3_mix_073	0.968168
HEK293T_NIH3T3_mix_074	0.968045
HEK293T_NIH3T3_mix_075	0.967725
HEK293T_NIH3T3_mix_076	0
HEK293T_NIH3T3_mix_077	0.72549
HEK293T_NIH3T3_mix_078	0
HEK293T_NIH3T3_mix_079	0.973947
HEK293T_NIH3T3_mix_080	0.968394
HEK293T_NIH3T3_mix_081	0.960475
HEK293T_NIH3T3_mix_082	0.970163
HEK293T_NIH3T3_mix_083	0.96714
HEK293T_NIH3T3_mix_084	0.96922
HEK293T_NIH3T3_mix_085	0.96701
HEK293T_NIH3T3_mix_086	0.043478
HEK293T_NIH3T3_mix_087	0.971184
HEK293T_NIH3T3_mix_088	0.968248
HEK293T_NIH3T3_mix_089	0.967526
HEK293T_NIH3T3_mix_090	0.96635
HEK293T_NIH3T3_mix_091	0.969586
HEK293T_NIH3T3_mix_092	0.966256
HEK293T_NIH3T3_mix_093	0.969136
HEK293T_NIH3T3_mix_094	0.976913
HEK293T_NIH3T3_mix_095	0
HEK293T_NIH3T3_mix_096	0.974512
HEK293T_NIH3T3_mix_097	0.968936
HEK293T_NIH3T3_mix_098	0.966556
HEK293T_NIH3T3_mix_099	0.970722
HEK293T_NIH3T3_mix_100	0.968771
HEK293T_NIH3T3_mix_101	0.971173
HEK293T_NIH3T3_mix_102	0.971047
HEK293T_NIH3T3_mix_103	0.964986
HEK293T_NIH3T3_mix_104	0.969777
HEK293T_NIH3T3_mix_105	0.971259
HEK293T_NIH3T3_mix_106	0.979785
HEK293T_NIH3T3_mix_107	0.030303
HEK293T_NIH3T3_mix_108	0
HEK293T_NIH3T3_mix_109	0.965918
HEK293T_NIH3T3_mix_110	0
HEK293T_NIH3T3_mix_111	0.960292
HEK293T_NIH3T3_mix_112	0
HEK293T_NIH3T3_mix_113	0
HEK293T_NIH3T3_mix_114	0.966897
HEK293T_NIH3T3_mix_115	0.285714
HEK293T_NIH3T3_mix_116	0.966966
HEK293T_NIH3T3_mix_117	0.966897
HEK293T_NIH3T3_mix_118	0.972642
HEK293T_NIH3T3_mix_119	0.967441
HEK293T_NIH3T3_mix_120	0.038462
HEK293T_NIH3T3_mix_121	0.967782
HEK293T_NIH3T3_mix_122	0.03125
HEK293T_NIH3T3_mix_123	0.970394
HEK293T_NIH3T3_mix_124	0.972092
HEK293T_NIH3T3_mix_125	0.971665
HEK293T_NIH3T3_mix_126	0.971555
HEK293T_NIH3T3_mix_127	0.971297
HEK293T_NIH3T3_mix_128	0.947283
HEK293T_NIH3T3_mix_129	0
HEK293T_NIH3T3_mix_130	0.969979
HEK293T_NIH3T3_mix_131	0.969819
HEK293T_NIH3T3_mix_132	0
HEK293T_NIH3T3_mix_133	0.747253
HEK293T_NIH3T3_mix_134	0.969084
HEK293T_NIH3T3_mix_135	0.971389
HEK293T_NIH3T3_mix_136	0
HEK293T_NIH3T3_mix_137	0.033333
HEK293T_NIH3T3_mix_138	0.948176
HEK293T_NIH3T3_mix_139	0.968039
HEK293T_NIH3T3_mix_140	0.968319
HEK293T_NIH3T3_mix_141	0
HEK293T_NIH3T3_mix_142	0.970278
HEK293T_NIH3T3_mix_143	0.974742
HEK293T_NIH3T3_mix_144	0
HEK293T_NIH3T3_mix_145	0.967556
HEK293T_NIH3T3_mix_146	0.97168
HEK293T_NIH3T3_mix_147	0.967742
HEK293T_NIH3T3_mix_148	0.966301
HEK293T_NIH3T3_mix_149	0.967174
HEK293T_NIH3T3_mix_150	0.958446
HEK293T_NIH3T3_mix_151	0.962319
HEK293T_NIH3T3_mix_152	0
HEK293T_NIH3T3_mix_153	0.969125
HEK293T_NIH3T3_mix_154	0.969373
HEK293T_NIH3T3_mix_155	0.966327
HEK293T_NIH3T3_mix_156	0.968667
HEK293T_NIH3T3_mix_157	0.966551
HEK293T_NIH3T3_mix_158	0.96686
HEK293T_NIH3T3_mix_159	0.964609
HEK293T_NIH3T3_mix_160	0.96549
HEK293T_NIH3T3_mix_161	0.95765
HEK293T_NIH3T3_mix_162	0.968564
HEK293T_NIH3T3_mix_163	0.96965
HEK293T_NIH3T3_mix_164	0.963145
HEK293T_NIH3T3_mix_165	0.968614
HEK293T_NIH3T3_mix_166	0.970181
HEK293T_NIH3T3_mix_167	0.966542
HEK293T_NIH3T3_mix_168	0.969443
HEK293T_NIH3T3_mix_169	0.796875
HEK293T_NIH3T3_mix_170	0.962972
HEK293T_NIH3T3_mix_171	0.967479
HEK293T_NIH3T3_mix_172	0.969002
HEK293T_NIH3T3_mix_173	0.965632
HEK293T_NIH3T3_mix_174	0.969802
HEK293T_NIH3T3_mix_175	0.971832
HEK293T_NIH3T3_mix_176	0.967492
HEK293T_NIH3T3_mix_177	0.736842
HEK293T_NIH3T3_mix_178	0.968303
HEK293T_NIH3T3_mix_179	0.972287
HEK293T_NIH3T3_mix_180	0
HEK293T_NIH3T3_mix_181	0.707965
HEK293T_NIH3T3_mix_182	0
HEK293T_NIH3T3_mix_183	0.967291
HEK293T_NIH3T3_mix_184	0.959676
HEK293T_NIH3T3_mix_185	0.968526
HEK293T_NIH3T3_mix_186	0.966033
HEK293T_NIH3T3_mix_187	0.96931
HEK293T_NIH3T3_mix_188	0.965556
HEK293T_NIH3T3_mix_189	0.967691
HEK293T_NIH3T3_mix_190	0.969804
HEK293T_NIH3T3_mix_191	0.966641
HEK293T_NIH3T3_mix_192	0
HEK293T_NIH3T3_mix_193	0.967969
HEK293T_NIH3T3_mix_194	0.965289
HEK293T_NIH3T3_mix_195	0.968739
HEK293T_NIH3T3_mix_196	0.965828
HEK293T_NIH3T3_mix_197	0.965802
HEK293T_NIH3T3_mix_198	0.967177
HEK293T_NIH3T3_mix_199	0.97002
HEK293T_NIH3T3_mix_200	0.969777
HEK293T_NIH3T3_mix_201	0.968661
HEK293T_NIH3T3_mix_202	0.973909
HEK293T_NIH3T3_mix_203	0.966521
HEK293T_NIH3T3_mix_204	0.967555
HEK293T_NIH3T3_mix_205	0
HEK293T_NIH3T3_mix_206	0.959973
HEK293T_NIH3T3_mix_207	0.967111
HEK293T_NIH3T3_mix_208	0.968894
HEK293T_NIH3T3_mix_209	0.967571
HEK293T_NIH3T3_mix_210	0.969305
HEK293T_NIH3T3_mix_211	0.96703
HEK293T_NIH3T3_mix_212	0.964358
HEK293T_NIH3T3_mix_213	0.970337
HEK293T_NIH3T3_mix_214	0.975593
HEK293T_NIH3T3_mix_215	0.9679
HEK293T_NIH3T3_mix_216	0.971889
HEK293T_NIH3T3_mix_217	0.967332
HEK293T_NIH3T3_mix_218	0.972001
HEK293T_NIH3T3_mix_219	0.966141
HEK293T_NIH3T3_mix_220	0.964676
HEK293T_NIH3T3_mix_221	0.968095
HEK293T_NIH3T3_mix_222	0.967366
HEK293T_NIH3T3_mix_223	0.967327
HEK293T_NIH3T3_mix_224	0.965556
HEK293T_NIH3T3_mix_225	0.971966
HEK293T_NIH3T3_mix_226	0.967359
HEK293T_NIH3T3_mix_227	0.967557
HEK293T_NIH3T3_mix_228	0.969414
HEK293T_NIH3T3_mix_229	0.970639
HEK293T_NIH3T3_mix_230	0.967052
HEK293T_NIH3T3_mix_231	0.967763
HEK293T_NIH3T3_mix_232	0.969426
HEK293T_NIH3T3_mix_233	0.965204
HEK293T_NIH3T3_mix_234	0.966609
HEK293T_NIH3T3_mix_235	0.972653
HEK293T_NIH3T3_mix_236	0.964463
HEK293T_NIH3T3_mix_237	0.969117
HEK293T_NIH3T3_mix_238	0.968502
HEK293T_NIH3T3_mix_239	0.966614
HEK293T_NIH3T3_mix_240	0.967994
HEK293T_NIH3T3_mix_241	0.965573
HEK293T_NIH3T3_mix_242	0.965141
HEK293T_NIH3T3_mix_243	0.972892
HEK293T_NIH3T3_mix_244	0.965732
HEK293T_NIH3T3_mix_245	0.967661
HEK293T_NIH3T3_mix_246	0.967291
HEK293T_NIH3T3_mix_247	0.967795
HEK293T_NIH3T3_mix_248	0.966255
HEK293T_NIH3T3_mix_249	0.969589
HEK293T_NIH3T3_mix_250	0.970991
HEK293T_NIH3T3_mix_251	0.963829
HEK293T_NIH3T3_mix_252	0.966362
HEK293T_NIH3T3_mix_253	0.965823
HEK293T_NIH3T3_mix_254	0.970799
HEK293T_NIH3T3_mix_255	0.965661
HEK293T_NIH3T3_mix_256	0.967638
HEK293T_NIH3T3_mix_257	0.965422
HEK293T_NIH3T3_mix_258	0.967205
HEK293T_NIH3T3_mix_259	0.967413
HEK293T_NIH3T3_mix_260	0.964629
HEK293T_NIH3T3_mix_261	0.966356
HEK293T_NIH3T3_mix_262	0.971155
HEK293T_NIH3T3_mix_263	0.95132
HEK293T_NIH3T3_mix_264	0.969635
HEK293T_NIH3T3_mix_265	0.966963
HEK293T_NIH3T3_mix_266	0.966662
HEK293T_NIH3T3_mix_267	0.967685
HEK293T_NIH3T3_mix_268	0.969149
HEK293T_NIH3T3_mix_269	0.963667
HEK293T_NIH3T3_mix_270	0.963857
HEK293T_NIH3T3_mix_271	0.965188
HEK293T_NIH3T3_mix_272	0.963854
HEK293T_NIH3T3_mix_273	0.969028
HEK293T_NIH3T3_mix_274	0.967539
HEK293T_NIH3T3_mix_275	0.962877
HEK293T_NIH3T3_mix_276	0.969158
HEK293T_NIH3T3_mix_277	0.965962
HEK293T_NIH3T3_mix_278	0.966593
HEK293T_NIH3T3_mix_279	0.963805
HEK293T_NIH3T3_mix_280	0.966877
HEK293T_NIH3T3_mix_281	0.963883
HEK293T_NIH3T3_mix_282	0.966425
HEK293T_NIH3T3_mix_283	0.967798
HEK293T_NIH3T3_mix_284	0.961191
HEK293T_NIH3T3_mix_285	0.967163
HEK293T_NIH3T3_mix_286	0.969133
HEK293T_NIH3T3_mix_287	0.966923
HEK293T_NIH3T3_mix_288	0.975388
HEK293T_NIH3T3_mix_289	0.966764
HEK293T_NIH3T3_mix_290	0.965521
HEK293T_NIH3T3_mix_291	0.967665
HEK293T_NIH3T3_mix_292	0.966
HEK293T_NIH3T3_mix_293	0.962519
HEK293T_NIH3T3_mix_294	0.968138
HEK293T_NIH3T3_mix_295	0.967797
HEK293T_NIH3T3_mix_296	0.966896
HEK293T_NIH3T3_mix_297	0.966322
HEK293T_NIH3T3_mix_298	0.968013
HEK293T_NIH3T3_mix_299	0.968955
HEK293T_NIH3T3_mix_300	0.973436
HEK293T_NIH3T3_mix_301	0.969269
HEK293T_NIH3T3_mix_302	0.966209
HEK293T_NIH3T3_mix_303	0.968769
HEK293T_NIH3T3_mix_304	0.972059
HEK293T_NIH3T3_mix_305	0.970973
HEK293T_NIH3T3_mix_306	0.964372
HEK293T_NIH3T3_mix_307	0.969542
HEK293T_NIH3T3_mix_308	0.966652
HEK293T_NIH3T3_mix_309	0.975023
HEK293T_NIH3T3_mix_310	0.971722
HEK293T_NIH3T3_mix_311	0.968732
HEK293T_NIH3T3_mix_312	0.976145
HEK293T_NIH3T3_mix_313	0.965687
HEK293T_NIH3T3_mix_314	0.964204
HEK293T_NIH3T3_mix_315	0.96824
HEK293T_NIH3T3_mix_316	0.966219
HEK293T_NIH3T3_mix_317	0.968455
HEK293T_NIH3T3_mix_318	0.962997
HEK293T_NIH3T3_mix_319	0.966517
HEK293T_NIH3T3_mix_320	0.966511
HEK293T_NIH3T3_mix_321	0.970576
HEK293T_NIH3T3_mix_322	0.971419
HEK293T_NIH3T3_mix_323	0.967086
HEK293T_NIH3T3_mix_324	0.969527
HEK293T_NIH3T3_mix_325	0.967608
HEK293T_NIH3T3_mix_326	0.971577
HEK293T_NIH3T3_mix_327	0.965003
HEK293T_NIH3T3_mix_328	0.968538
HEK293T_NIH3T3_mix_329	0.967744
HEK293T_NIH3T3_mix_330	0.968119
HEK293T_NIH3T3_mix_331	0.972482
HEK293T_NIH3T3_mix_332	0.963104
HEK293T_NIH3T3_mix_333	0.964933
HEK293T_NIH3T3_mix_334	0.969177
HEK293T_NIH3T3_mix_335	0.965887
HEK293T_NIH3T3_mix_336	0.975735
HEK293T_NIH3T3_mix_337	0.962378
HEK293T_NIH3T3_mix_338	0.961086
HEK293T_NIH3T3_mix_339	0.969345
HEK293T_NIH3T3_mix_340	0.960665
HEK293T_NIH3T3_mix_341	0.961009
HEK293T_NIH3T3_mix_342	0.966049
HEK293T_NIH3T3_mix_343	0.964834
HEK293T_NIH3T3_mix_344	0.965227
HEK293T_NIH3T3_mix_345	0.968831
HEK293T_NIH3T3_mix_346	0.968604
HEK293T_NIH3T3_mix_347	0.96707
HEK293T_NIH3T3_mix_348	0.968821
HEK293T_NIH3T3_mix_349	0.96223
HEK293T_NIH3T3_mix_350	0.96454
HEK293T_NIH3T3_mix_351	0.965921
HEK293T_NIH3T3_mix_352	0.969311
HEK293T_NIH3T3_mix_353	0.96341
HEK293T_NIH3T3_mix_354	0.963124
HEK293T_NIH3T3_mix_355	0.968408
HEK293T_NIH3T3_mix_356	0.963333
HEK293T_NIH3T3_mix_357	0.966039
HEK293T_NIH3T3_mix_358	0.968147
HEK293T_NIH3T3_mix_359	0.962615
HEK293T_NIH3T3_mix_360	0.96788
HEK293T_NIH3T3_mix_361	0
HEK293T_NIH3T3_mix_362	0.969212
HEK293T_NIH3T3_mix_363	0.966665
HEK293T_NIH3T3_mix_364	0.359732
HEK293T_NIH3T3_mix_365	0.943226
HEK293T_NIH3T3_mix_366	0.29385
HEK293T_NIH3T3_mix_367	0.957588
HEK293T_NIH3T3_mix_368	0.515889
HEK293T_NIH3T3_mix_369	0.790139
HEK293T_NIH3T3_mix_370	0.963339
HEK293T_NIH3T3_mix_371	0.897184
HEK293T_NIH3T3_mix_372	0.969704
HEK293T_NIH3T3_mix_373	0.959672
HEK293T_NIH3T3_mix_374	0.947333
HEK293T_NIH3T3_mix_375	0.965536
HEK293T_NIH3T3_mix_376	0.961271
HEK293T_NIH3T3_mix_377	0.97004
HEK293T_NIH3T3_mix_378	0.966244
HEK293T_NIH3T3_mix_379	0.970236
HEK293T_NIH3T3_mix_380	0.965848
HEK293T_NIH3T3_mix_381	0.966924
HEK293T_NIH3T3_mix_382	0.976779
HEK293T_NIH3T3_mix_383	0.969956
HEK293T_NIH3T3_mix_384	0
