cell	dup_level
HEK293T_NIH3T3_mix_001	
HEK293T_NIH3T3_mix_002	
HEK293T_NIH3T3_mix_003	
HEK293T_NIH3T3_mix_004	304
HEK293T_NIH3T3_mix_005	
HEK293T_NIH3T3_mix_006	
HEK293T_NIH3T3_mix_007	23850
HEK293T_NIH3T3_mix_008	
HEK293T_NIH3T3_mix_009	34150
HEK293T_NIH3T3_mix_010	
HEK293T_NIH3T3_mix_011	36003
HEK293T_NIH3T3_mix_012	27242
HEK293T_NIH3T3_mix_013	
HEK293T_NIH3T3_mix_014	
HEK293T_NIH3T3_mix_015	
HEK293T_NIH3T3_mix_016	
HEK293T_NIH3T3_mix_017	14
HEK293T_NIH3T3_mix_018	
HEK293T_NIH3T3_mix_019	16158
HEK293T_NIH3T3_mix_020	13448
HEK293T_NIH3T3_mix_021	40000
HEK293T_NIH3T3_mix_022	
HEK293T_NIH3T3_mix_023	751
HEK293T_NIH3T3_mix_024	
HEK293T_NIH3T3_mix_025	33
HEK293T_NIH3T3_mix_026	19473
HEK293T_NIH3T3_mix_027	25260
HEK293T_NIH3T3_mix_028	
HEK293T_NIH3T3_mix_029	2737
HEK293T_NIH3T3_mix_030	173
HEK293T_NIH3T3_mix_031	
HEK293T_NIH3T3_mix_032	120680
HEK293T_NIH3T3_mix_033	
HEK293T_NIH3T3_mix_034	58
HEK293T_NIH3T3_mix_035	6799
HEK293T_NIH3T3_mix_036	
HEK293T_NIH3T3_mix_037	52284
HEK293T_NIH3T3_mix_038	18
HEK293T_NIH3T3_mix_039	
HEK293T_NIH3T3_mix_040	50
HEK293T_NIH3T3_mix_041	87030
HEK293T_NIH3T3_mix_042	
HEK293T_NIH3T3_mix_043	37708
HEK293T_NIH3T3_mix_044	18900
HEK293T_NIH3T3_mix_045	
HEK293T_NIH3T3_mix_046	53586
HEK293T_NIH3T3_mix_047	
HEK293T_NIH3T3_mix_048	
HEK293T_NIH3T3_mix_049	19
HEK293T_NIH3T3_mix_050	
HEK293T_NIH3T3_mix_051	213
HEK293T_NIH3T3_mix_052	9367
HEK293T_NIH3T3_mix_053	
HEK293T_NIH3T3_mix_054	
HEK293T_NIH3T3_mix_055	16470
HEK293T_NIH3T3_mix_056	
HEK293T_NIH3T3_mix_057	27663
HEK293T_NIH3T3_mix_058	2449
HEK293T_NIH3T3_mix_059	12369
HEK293T_NIH3T3_mix_060	138
HEK293T_NIH3T3_mix_061	
HEK293T_NIH3T3_mix_062	50476
HEK293T_NIH3T3_mix_063	27703
HEK293T_NIH3T3_mix_064	20306
HEK293T_NIH3T3_mix_065	
HEK293T_NIH3T3_mix_066	12352
HEK293T_NIH3T3_mix_067	
HEK293T_NIH3T3_mix_068	
HEK293T_NIH3T3_mix_069	14347
HEK293T_NIH3T3_mix_070	15279
HEK293T_NIH3T3_mix_071	52165
HEK293T_NIH3T3_mix_072	
HEK293T_NIH3T3_mix_073	38422
HEK293T_NIH3T3_mix_074	23092
HEK293T_NIH3T3_mix_075	7569
HEK293T_NIH3T3_mix_076	
HEK293T_NIH3T3_mix_077	28
HEK293T_NIH3T3_mix_078	
HEK293T_NIH3T3_mix_079	12887
HEK293T_NIH3T3_mix_080	89649
HEK293T_NIH3T3_mix_081	2102
HEK293T_NIH3T3_mix_082	3799
HEK293T_NIH3T3_mix_083	34265
HEK293T_NIH3T3_mix_084	13905
HEK293T_NIH3T3_mix_085	13526
HEK293T_NIH3T3_mix_086	256
HEK293T_NIH3T3_mix_087	18228
HEK293T_NIH3T3_mix_088	22917
HEK293T_NIH3T3_mix_089	3901
HEK293T_NIH3T3_mix_090	14758
HEK293T_NIH3T3_mix_091	21224
HEK293T_NIH3T3_mix_092	8473
HEK293T_NIH3T3_mix_093	44384
HEK293T_NIH3T3_mix_094	19312
HEK293T_NIH3T3_mix_095	
HEK293T_NIH3T3_mix_096	78070
HEK293T_NIH3T3_mix_097	19070
HEK293T_NIH3T3_mix_098	17977
HEK293T_NIH3T3_mix_099	28125
HEK293T_NIH3T3_mix_100	42356
HEK293T_NIH3T3_mix_101	31817
HEK293T_NIH3T3_mix_102	78470
HEK293T_NIH3T3_mix_103	3146
HEK293T_NIH3T3_mix_104	36215
HEK293T_NIH3T3_mix_105	39444
HEK293T_NIH3T3_mix_106	2157
HEK293T_NIH3T3_mix_107	533
HEK293T_NIH3T3_mix_108	
HEK293T_NIH3T3_mix_109	14534
HEK293T_NIH3T3_mix_110	
HEK293T_NIH3T3_mix_111	11803
HEK293T_NIH3T3_mix_112	
HEK293T_NIH3T3_mix_113	
HEK293T_NIH3T3_mix_114	13285
HEK293T_NIH3T3_mix_115	48
HEK293T_NIH3T3_mix_116	86966
HEK293T_NIH3T3_mix_117	19465
HEK293T_NIH3T3_mix_118	55490
HEK293T_NIH3T3_mix_119	52734
HEK293T_NIH3T3_mix_120	329
HEK293T_NIH3T3_mix_121	11702
HEK293T_NIH3T3_mix_122	501
HEK293T_NIH3T3_mix_123	35461
HEK293T_NIH3T3_mix_124	61363
HEK293T_NIH3T3_mix_125	34829
HEK293T_NIH3T3_mix_126	82352
HEK293T_NIH3T3_mix_127	14963
HEK293T_NIH3T3_mix_128	325
HEK293T_NIH3T3_mix_129	
HEK293T_NIH3T3_mix_130	31889
HEK293T_NIH3T3_mix_131	92091
HEK293T_NIH3T3_mix_132	
HEK293T_NIH3T3_mix_133	46
HEK293T_NIH3T3_mix_134	37957
HEK293T_NIH3T3_mix_135	21824
HEK293T_NIH3T3_mix_136	
HEK293T_NIH3T3_mix_137	439
HEK293T_NIH3T3_mix_138	628
HEK293T_NIH3T3_mix_139	4849
HEK293T_NIH3T3_mix_140	47553
HEK293T_NIH3T3_mix_141	
HEK293T_NIH3T3_mix_142	29064
HEK293T_NIH3T3_mix_143	3653
HEK293T_NIH3T3_mix_144	
HEK293T_NIH3T3_mix_145	41960
HEK293T_NIH3T3_mix_146	15452
HEK293T_NIH3T3_mix_147	38932
HEK293T_NIH3T3_mix_148	56744
HEK293T_NIH3T3_mix_149	58524
HEK293T_NIH3T3_mix_150	306
HEK293T_NIH3T3_mix_151	4439
HEK293T_NIH3T3_mix_152	
HEK293T_NIH3T3_mix_153	93344
HEK293T_NIH3T3_mix_154	8854
HEK293T_NIH3T3_mix_155	58150
HEK293T_NIH3T3_mix_156	52772
HEK293T_NIH3T3_mix_157	19646
HEK293T_NIH3T3_mix_158	39644
HEK293T_NIH3T3_mix_159	20618
HEK293T_NIH3T3_mix_160	37315
HEK293T_NIH3T3_mix_161	1219
HEK293T_NIH3T3_mix_162	21668
HEK293T_NIH3T3_mix_163	3400
HEK293T_NIH3T3_mix_164	19166
HEK293T_NIH3T3_mix_165	30067
HEK293T_NIH3T3_mix_166	59774
HEK293T_NIH3T3_mix_167	35865
HEK293T_NIH3T3_mix_168	17108
HEK293T_NIH3T3_mix_169	13
HEK293T_NIH3T3_mix_170	3576
HEK293T_NIH3T3_mix_171	13755
HEK293T_NIH3T3_mix_172	50918
HEK293T_NIH3T3_mix_173	6084
HEK293T_NIH3T3_mix_174	45248
HEK293T_NIH3T3_mix_175	33011
HEK293T_NIH3T3_mix_176	23528
HEK293T_NIH3T3_mix_177	20
HEK293T_NIH3T3_mix_178	2539
HEK293T_NIH3T3_mix_179	12839
HEK293T_NIH3T3_mix_180	
HEK293T_NIH3T3_mix_181	34
HEK293T_NIH3T3_mix_182	
HEK293T_NIH3T3_mix_183	4573
HEK293T_NIH3T3_mix_184	6758
HEK293T_NIH3T3_mix_185	19517
HEK293T_NIH3T3_mix_186	21175
HEK293T_NIH3T3_mix_187	23787
HEK293T_NIH3T3_mix_188	101216
HEK293T_NIH3T3_mix_189	74044
HEK293T_NIH3T3_mix_190	12754
HEK293T_NIH3T3_mix_191	28223
HEK293T_NIH3T3_mix_192	
HEK293T_NIH3T3_mix_193	41766
