cell	mapping_rate
HEK293T_NIH3T3_mix_001	70.97
HEK293T_NIH3T3_mix_002	68.97
HEK293T_NIH3T3_mix_003	65.00
HEK293T_NIH3T3_mix_004	74.44
HEK293T_NIH3T3_mix_005	73.08
HEK293T_NIH3T3_mix_006	65.00
HEK293T_NIH3T3_mix_007	96.18
HEK293T_NIH3T3_mix_008	47.83
HEK293T_NIH3T3_mix_009	96.48
HEK293T_NIH3T3_mix_010	59.09
HEK293T_NIH3T3_mix_011	95.71
HEK293T_NIH3T3_mix_012	98.26
HEK293T_NIH3T3_mix_013	48.53
HEK293T_NIH3T3_mix_014	71.74
HEK293T_NIH3T3_mix_015	42.31
HEK293T_NIH3T3_mix_016	67.86
HEK293T_NIH3T3_mix_017	87.29
HEK293T_NIH3T3_mix_018	40.00
HEK293T_NIH3T3_mix_019	98.24
HEK293T_NIH3T3_mix_020	98.11
HEK293T_NIH3T3_mix_021	96.03
HEK293T_NIH3T3_mix_022	57.32
HEK293T_NIH3T3_mix_023	95.90
HEK293T_NIH3T3_mix_024	61.54
HEK293T_NIH3T3_mix_025	82.79
HEK293T_NIH3T3_mix_026	97.44
HEK293T_NIH3T3_mix_027	98.09
HEK293T_NIH3T3_mix_028	69.91
HEK293T_NIH3T3_mix_029	98.54
HEK293T_NIH3T3_mix_030	64.02
HEK293T_NIH3T3_mix_031	51.52
HEK293T_NIH3T3_mix_032	94.67
HEK293T_NIH3T3_mix_033	59.56
HEK293T_NIH3T3_mix_034	97.31
HEK293T_NIH3T3_mix_035	98.14
HEK293T_NIH3T3_mix_036	56.55
HEK293T_NIH3T3_mix_037	95.22
HEK293T_NIH3T3_mix_038	90.55
HEK293T_NIH3T3_mix_039	63.54
HEK293T_NIH3T3_mix_040	94.66
HEK293T_NIH3T3_mix_041	95.47
HEK293T_NIH3T3_mix_042	60.12
HEK293T_NIH3T3_mix_043	95.81
HEK293T_NIH3T3_mix_044	98.13
HEK293T_NIH3T3_mix_045	49.51
HEK293T_NIH3T3_mix_046	95.35
HEK293T_NIH3T3_mix_047	65.57
HEK293T_NIH3T3_mix_048	62.70
HEK293T_NIH3T3_mix_049	85.03
HEK293T_NIH3T3_mix_050	56.82
HEK293T_NIH3T3_mix_051	66.39
HEK293T_NIH3T3_mix_052	98.59
