cell	mt_content
HEK293T_NIH3T3_mix_001	0.066667
HEK293T_NIH3T3_mix_002	0.083333
HEK293T_NIH3T3_mix_003	0.000000
HEK293T_NIH3T3_mix_004	0.291667
HEK293T_NIH3T3_mix_005	0.000000
HEK293T_NIH3T3_mix_006	0.125000
HEK293T_NIH3T3_mix_007	0.026792
HEK293T_NIH3T3_mix_008	0.000000
HEK293T_NIH3T3_mix_009	0.070659
HEK293T_NIH3T3_mix_010	0.000000
HEK293T_NIH3T3_mix_011	0.014027
HEK293T_NIH3T3_mix_012	0.238529
HEK293T_NIH3T3_mix_013	0.111111
HEK293T_NIH3T3_mix_014	0.125000
HEK293T_NIH3T3_mix_015	0.500000
HEK293T_NIH3T3_mix_016	0.000000
HEK293T_NIH3T3_mix_017	0.000000
HEK293T_NIH3T3_mix_018	0.000000
HEK293T_NIH3T3_mix_019	0.285617
HEK293T_NIH3T3_mix_020	0.259518
HEK293T_NIH3T3_mix_021	0.033700
HEK293T_NIH3T3_mix_022	0.100000
HEK293T_NIH3T3_mix_023	0.015979
HEK293T_NIH3T3_mix_024	0.000000
HEK293T_NIH3T3_mix_025	0.100000
HEK293T_NIH3T3_mix_026	0.082627
HEK293T_NIH3T3_mix_027	0.174861
HEK293T_NIH3T3_mix_028	0.066667
HEK293T_NIH3T3_mix_029	0.138107
HEK293T_NIH3T3_mix_030	0.040000
HEK293T_NIH3T3_mix_031	0.117647
HEK293T_NIH3T3_mix_032	0.006198
HEK293T_NIH3T3_mix_033	0.125000
HEK293T_NIH3T3_mix_034	0.155172
HEK293T_NIH3T3_mix_035	0.226798
HEK293T_NIH3T3_mix_036	0.055556
HEK293T_NIH3T3_mix_037	0.053458
HEK293T_NIH3T3_mix_038	0.388889
HEK293T_NIH3T3_mix_039	0.000000
HEK293T_NIH3T3_mix_040	0.240000
HEK293T_NIH3T3_mix_041	0.029185
HEK293T_NIH3T3_mix_042	0.047619
HEK293T_NIH3T3_mix_043	0.049936
HEK293T_NIH3T3_mix_044	0.184127
HEK293T_NIH3T3_mix_045	0.000000
HEK293T_NIH3T3_mix_046	0.064737
HEK293T_NIH3T3_mix_047	0.000000
HEK293T_NIH3T3_mix_048	0.058824
HEK293T_NIH3T3_mix_049	0.210526
HEK293T_NIH3T3_mix_050	0.230769
HEK293T_NIH3T3_mix_051	0.200000
HEK293T_NIH3T3_mix_052	0.487563
HEK293T_NIH3T3_mix_053	0.090909
HEK293T_NIH3T3_mix_054	0.214286
HEK293T_NIH3T3_mix_055	0.127565
HEK293T_NIH3T3_mix_056	0.238095
HEK293T_NIH3T3_mix_057	0.020677
HEK293T_NIH3T3_mix_058	0.031441
HEK293T_NIH3T3_mix_059	0.263077
HEK293T_NIH3T3_mix_060	0.000000
HEK293T_NIH3T3_mix_061	0.277778
HEK293T_NIH3T3_mix_062	0.281144
HEK293T_NIH3T3_mix_063	0.185034
HEK293T_NIH3T3_mix_064	0.408648
HEK293T_NIH3T3_mix_065	0.142857
HEK293T_NIH3T3_mix_066	0.017325
HEK293T_NIH3T3_mix_067	0.222222
HEK293T_NIH3T3_mix_068	0.043478
HEK293T_NIH3T3_mix_069	0.526103
HEK293T_NIH3T3_mix_070	0.220106
HEK293T_NIH3T3_mix_071	0.298208
HEK293T_NIH3T3_mix_072	0.210526
HEK293T_NIH3T3_mix_073	0.098641
HEK293T_NIH3T3_mix_074	0.234107
HEK293T_NIH3T3_mix_075	0.046770
