cell	sequencing_depth
HEK293T_NIH3T3_mix_001	31
HEK293T_NIH3T3_mix_002	29
HEK293T_NIH3T3_mix_003	20
HEK293T_NIH3T3_mix_004	45
HEK293T_NIH3T3_mix_005	52
HEK293T_NIH3T3_mix_006	20
HEK293T_NIH3T3_mix_007	346486
HEK293T_NIH3T3_mix_008	23
HEK293T_NIH3T3_mix_009	1006520
HEK293T_NIH3T3_mix_010	11
HEK293T_NIH3T3_mix_011	812429
HEK293T_NIH3T3_mix_012	1013461
HEK293T_NIH3T3_mix_013	34
HEK293T_NIH3T3_mix_014	23
HEK293T_NIH3T3_mix_015	26
HEK293T_NIH3T3_mix_016	28
HEK293T_NIH3T3_mix_017	59
HEK293T_NIH3T3_mix_018	20
HEK293T_NIH3T3_mix_019	657768
HEK293T_NIH3T3_mix_020	423371
HEK293T_NIH3T3_mix_021	1467537
HEK293T_NIH3T3_mix_022	41
HEK293T_NIH3T3_mix_023	27548
HEK293T_NIH3T3_mix_024	26
HEK293T_NIH3T3_mix_025	154
HEK293T_NIH3T3_mix_026	659734
HEK293T_NIH3T3_mix_027	914763
HEK293T_NIH3T3_mix_028	108
HEK293T_NIH3T3_mix_029	71660
HEK293T_NIH3T3_mix_030	82
HEK293T_NIH3T3_mix_031	99
HEK293T_NIH3T3_mix_032	4463740
HEK293T_NIH3T3_mix_033	68
HEK293T_NIH3T3_mix_034	2364
HEK293T_NIH3T3_mix_035	229722
HEK293T_NIH3T3_mix_036	84
HEK293T_NIH3T3_mix_037	1833718
HEK293T_NIH3T3_mix_038	254
HEK293T_NIH3T3_mix_039	48
HEK293T_NIH3T3_mix_040	711
HEK293T_NIH3T3_mix_041	2987105
HEK293T_NIH3T3_mix_042	84
HEK293T_NIH3T3_mix_043	1408132
HEK293T_NIH3T3_mix_044	604763
HEK293T_NIH3T3_mix_045	102
HEK293T_NIH3T3_mix_046	2086977
HEK293T_NIH3T3_mix_047	61
HEK293T_NIH3T3_mix_048	63
HEK293T_NIH3T3_mix_049	147
HEK293T_NIH3T3_mix_050	66
HEK293T_NIH3T3_mix_051	61
HEK293T_NIH3T3_mix_052	351449
HEK293T_NIH3T3_mix_053	128
HEK293T_NIH3T3_mix_054	74
HEK293T_NIH3T3_mix_055	553060
HEK293T_NIH3T3_mix_056	57
HEK293T_NIH3T3_mix_057	1026919
HEK293T_NIH3T3_mix_058	101762
HEK293T_NIH3T3_mix_059	455307
HEK293T_NIH3T3_mix_060	96
HEK293T_NIH3T3_mix_061	67
HEK293T_NIH3T3_mix_062	1717732
HEK293T_NIH3T3_mix_063	942823
HEK293T_NIH3T3_mix_064	845071
HEK293T_NIH3T3_mix_065	82
HEK293T_NIH3T3_mix_066	391874
HEK293T_NIH3T3_mix_067	62
HEK293T_NIH3T3_mix_068	80
HEK293T_NIH3T3_mix_069	548542
HEK293T_NIH3T3_mix_070	586495
HEK293T_NIH3T3_mix_071	1976310
HEK293T_NIH3T3_mix_072	75
HEK293T_NIH3T3_mix_073	1326145
