cell	uniq_frags
HEK293T_NIH3T3_mix_001	14.000000
HEK293T_NIH3T3_mix_002	11.000000
HEK293T_NIH3T3_mix_003	8.000000
HEK293T_NIH3T3_mix_004	17.000000
HEK293T_NIH3T3_mix_005	26.000000
HEK293T_NIH3T3_mix_006	7.000000
HEK293T_NIH3T3_mix_007	23211.000000
HEK293T_NIH3T3_mix_008	3.000000
HEK293T_NIH3T3_mix_009	31737.000000
HEK293T_NIH3T3_mix_010	4.000000
HEK293T_NIH3T3_mix_011	35498.000000
HEK293T_NIH3T3_mix_012	20744.000000
HEK293T_NIH3T3_mix_013	8.000000
HEK293T_NIH3T3_mix_014	7.000000
HEK293T_NIH3T3_mix_015	2.000000
HEK293T_NIH3T3_mix_016	10.000000
HEK293T_NIH3T3_mix_017	14.000000
HEK293T_NIH3T3_mix_018	1.000000
HEK293T_NIH3T3_mix_019	11543.000000
HEK293T_NIH3T3_mix_020	9958.000000
HEK293T_NIH3T3_mix_021	38652.000000
HEK293T_NIH3T3_mix_022	9.000000
HEK293T_NIH3T3_mix_023	739.000000
HEK293T_NIH3T3_mix_024	8.000000
HEK293T_NIH3T3_mix_025	27.000000
HEK293T_NIH3T3_mix_026	17864.000000
HEK293T_NIH3T3_mix_027	20843.000000
HEK293T_NIH3T3_mix_028	42.000000
HEK293T_NIH3T3_mix_029	2359.000000
HEK293T_NIH3T3_mix_030	24.000000
HEK293T_NIH3T3_mix_031	15.000000
HEK293T_NIH3T3_mix_032	119932.000000
HEK293T_NIH3T3_mix_033	14.000000
HEK293T_NIH3T3_mix_034	49.000000
HEK293T_NIH3T3_mix_035	5257.000000
HEK293T_NIH3T3_mix_036	17.000000
HEK293T_NIH3T3_mix_037	49489.000000
HEK293T_NIH3T3_mix_038	11.000000
HEK293T_NIH3T3_mix_039	14.000000
HEK293T_NIH3T3_mix_040	38.000000
HEK293T_NIH3T3_mix_041	84490.000000
HEK293T_NIH3T3_mix_042	20.000000
HEK293T_NIH3T3_mix_043	35825.000000
HEK293T_NIH3T3_mix_044	15420.000000
HEK293T_NIH3T3_mix_045	18.000000
HEK293T_NIH3T3_mix_046	50117.000000
HEK293T_NIH3T3_mix_047	22.000000
HEK293T_NIH3T3_mix_048	16.000000
HEK293T_NIH3T3_mix_049	15.000000
HEK293T_NIH3T3_mix_050	10.000000
HEK293T_NIH3T3_mix_051	16.000000
HEK293T_NIH3T3_mix_052	4800.000000
HEK293T_NIH3T3_mix_053	20.000000
HEK293T_NIH3T3_mix_054	11.000000
HEK293T_NIH3T3_mix_055	14369.000000
HEK293T_NIH3T3_mix_056	16.000000
HEK293T_NIH3T3_mix_057	27091.000000
HEK293T_NIH3T3_mix_058	2372.000000
HEK293T_NIH3T3_mix_059	9115.000000
HEK293T_NIH3T3_mix_060	16.000000
HEK293T_NIH3T3_mix_061	13.000000
HEK293T_NIH3T3_mix_062	36285.000000
HEK293T_NIH3T3_mix_063	22577.000000
HEK293T_NIH3T3_mix_064	12008.000000
HEK293T_NIH3T3_mix_065	12.000000
HEK293T_NIH3T3_mix_066	12138.000000
HEK293T_NIH3T3_mix_067	7.000000
HEK293T_NIH3T3_mix_068	22.000000
HEK293T_NIH3T3_mix_069	6799.000000
HEK293T_NIH3T3_mix_070	11916.000000
HEK293T_NIH3T3_mix_071	36609.000000
HEK293T_NIH3T3_mix_072	15.000000
HEK293T_NIH3T3_mix_073	34632.000000
HEK293T_NIH3T3_mix_074	17686.000000
HEK293T_NIH3T3_mix_075	7215.000000
HEK293T_NIH3T3_mix_076	32.000000
HEK293T_NIH3T3_mix_077	26.000000
HEK293T_NIH3T3_mix_078	25.000000
HEK293T_NIH3T3_mix_079	6556.000000
HEK293T_NIH3T3_mix_080	82699.000000
HEK293T_NIH3T3_mix_081	2072.000000
HEK293T_NIH3T3_mix_082	2441.000000
HEK293T_NIH3T3_mix_083	33042.000000
HEK293T_NIH3T3_mix_084	13480.000000
HEK293T_NIH3T3_mix_085	10858.000000
HEK293T_NIH3T3_mix_086	22.000000
HEK293T_NIH3T3_mix_087	8989.000000
HEK293T_NIH3T3_mix_088	22226.000000
HEK293T_NIH3T3_mix_089	3666.000000
HEK293T_NIH3T3_mix_090	11230.000000
HEK293T_NIH3T3_mix_091	18903.000000
HEK293T_NIH3T3_mix_092	5807.000000
HEK293T_NIH3T3_mix_093	43871.000000
HEK293T_NIH3T3_mix_094	8465.000000
HEK293T_NIH3T3_mix_095	17.000000
HEK293T_NIH3T3_mix_096	75323.000000
HEK293T_NIH3T3_mix_097	16860.000000
HEK293T_NIH3T3_mix_098	17077.000000
HEK293T_NIH3T3_mix_099	23568.000000
HEK293T_NIH3T3_mix_100	33225.000000
HEK293T_NIH3T3_mix_101	30194.000000
HEK293T_NIH3T3_mix_102	77200.000000
HEK293T_NIH3T3_mix_103	2845.000000
HEK293T_NIH3T3_mix_104	34362.000000
HEK293T_NIH3T3_mix_105	34127.000000
HEK293T_NIH3T3_mix_106	520.000000
HEK293T_NIH3T3_mix_107	29.000000
HEK293T_NIH3T3_mix_108	33.000000
HEK293T_NIH3T3_mix_109	13005.000000
HEK293T_NIH3T3_mix_110	24.000000
HEK293T_NIH3T3_mix_111	11016.000000
HEK293T_NIH3T3_mix_112	49.000000
HEK293T_NIH3T3_mix_113	31.000000
HEK293T_NIH3T3_mix_114	10978.000000
HEK293T_NIH3T3_mix_115	23.000000
HEK293T_NIH3T3_mix_116	85187.000000
