study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	sample_title
PRJNA392905	SAMN07312120	SRS2332741	SRX2978848	SRR5799381	10090	Mus musculus	NextSeq 500	PAIRED	Ep.MEChi.Th#1
PRJNA392905	SAMN07312121	SRS2332742	SRX2978849	SRR5799382	10090	Mus musculus	NextSeq 500	PAIRED	Ep.MEChi.Th#2
PRJNA392905	SAMN07312045	SRS2332740	SRX2978850	SRR5799383	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN1.Th#1
PRJNA392905	SAMN07312119	SRS2332743	SRX2978851	SRR5799384	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN1.Th#2
PRJNA392905	SAMN07312122	SRS2332744	SRX2978852	SRR5799385	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN2a.Th#1
PRJNA392905	SAMN07311955	SRS2332745	SRX2978853	SRR5799386	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN2a.Th#2
PRJNA392905	SAMN07312041	SRS2332746	SRX2978854	SRR5799387	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN2b.Th#1
PRJNA392905	SAMN07312042	SRS2332747	SRX2978855	SRR5799388	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN2b.Th#2
PRJNA392905	SAMN07312044	SRS2332748	SRX2978856	SRR5799389	10090	Mus musculus	NextSeq 500	PAIRED	preT.DN3.Th#1
PRJNA392905	SAMN07312043	SRS2332749	SRX2978857	SRR5799390	10090	Mus musculus	NextSeq 500	PAIRED	T.DN4.Th#1
PRJNA392905	SAMN07312038	SRS2332750	SRX2978858	SRR5799391	10090	Mus musculus	NextSeq 500	PAIRED	T.DN4.Th#2
PRJNA392905	SAMN07312039	SRS2332751	SRX2978859	SRR5799392	10090	Mus musculus	NextSeq 500	PAIRED	T.ISP.Th#1
PRJNA392905	SAMN07312040	SRS2332752	SRX2978860	SRR5799393	10090	Mus musculus	NextSeq 500	PAIRED	T.ISP.Th#2
PRJNA392905	SAMN07312037	SRS2332753	SRX2978861	SRR5799394	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Th#1
PRJNA392905	SAMN07312036	SRS2332754	SRX2978862	SRR5799395	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Th#2
PRJNA392905	SAMN07312035	SRS2332755	SRX2978863	SRR5799396	10090	Mus musculus	NextSeq 500	PAIRED	T.8.Th#1
PRJNA392905	SAMN07312034	SRS2332756	SRX2978864	SRR5799397	10090	Mus musculus	NextSeq 500	PAIRED	T.8.Th#2
PRJNA392905	SAMN07312033	SRS2332759	SRX2978865	SRR5799398	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Nve.Sp#1
PRJNA392905	SAMN07312032	SRS2332758	SRX2978866	SRR5799399	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Nve.Sp#2
PRJNA392905	SAMN07312031	SRS2332757	SRX2978867	SRR5799400	10090	Mus musculus	NextSeq 500	PAIRED	T.8.Nve.Sp#1
PRJNA392905	SAMN07312030	SRS2332760	SRX2978868	SRR5799401	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Sp.aCD3+CD40.18hr#1
PRJNA392905	SAMN07312136	SRS2332762	SRX2978869	SRR5799402	10090	Mus musculus	NextSeq 500	PAIRED	T.4.Sp.aCD3+CD40.18hr#2
PRJNA392905	SAMN07312135	SRS2332761	SRX2978870	SRR5799403	10090	Mus musculus	NextSeq 500	PAIRED	Treg.4.FP3+.Nrplo.Co#1
PRJNA392905	SAMN07312134	SRS2332763	SRX2978871	SRR5799404	10090	Mus musculus	NextSeq 500	PAIRED	Treg.4.FP3+.Nrplo.Co#2
PRJNA392905	SAMN07312133	SRS2332764	SRX2978872	SRR5799405	10090	Mus musculus	NextSeq 500	PAIRED	GN.BM#1
PRJNA392905	SAMN07312132	SRS2332765	SRX2978873	SRR5799406	10090	Mus musculus	NextSeq 500	PAIRED	GN.BM#2
PRJNA392905	SAMN07312131	SRS2332766	SRX2978874	SRR5799407	10090	Mus musculus	NextSeq 500	PAIRED	GN.Sp#1
PRJNA392905	SAMN07312130	SRS2332767	SRX2978875	SRR5799408	10090	Mus musculus	NextSeq 500	PAIRED	GN.Sp#2
PRJNA392905	SAMN07312129	SRS2332768	SRX2978876	SRR5799409	10090	Mus musculus	NextSeq 500	PAIRED	GN.Thio.PC#1
