cell	dup_level
mSp_rep1_001	0.961283
mSp_rep1_002	0.957639
mSp_rep1_003	0.949597
mSp_rep1_004	0.960253
mSp_rep1_005	0.956313
mSp_rep1_006	0.959044
mSp_rep1_007	0.958201
mSp_rep1_008	0.957294
mSp_rep1_009	0.95028
mSp_rep1_010	0.95513
mSp_rep1_011	0.947344
mSp_rep1_012	0.954698
mSp_rep1_013	0.963105
mSp_rep1_014	0.953132
mSp_rep1_015	0.954283
mSp_rep1_016	0.95968
mSp_rep1_017	0.963205
mSp_rep1_018	0.956639
mSp_rep1_019	0.960623
mSp_rep1_020	0.946578
mSp_rep1_021	0.941574
mSp_rep1_022	0.9512
mSp_rep1_023	0.948913
mSp_rep1_024	0.949772
mSp_rep1_025	0.942111
mSp_rep1_026	0.947212
mSp_rep1_027	0.954374
mSp_rep1_028	0.951789
mSp_rep1_029	0.943524
mSp_rep1_030	0.952428
mSp_rep1_031	0.956311
mSp_rep1_032	0.943302
mSp_rep1_033	0.952828
mSp_rep1_034	0.94857
mSp_rep1_035	0.944537
mSp_rep1_036	0.952207
mSp_rep1_037	0.957578
mSp_rep1_038	0.938746
mSp_rep1_039	0.933132
mSp_rep1_040	0.947131
mSp_rep1_041	0.937662
mSp_rep1_042	0.956284
mSp_rep1_043	0.961291
mSp_rep1_044	0.951173
mSp_rep1_045	0.946155
mSp_rep1_046	0.953658
mSp_rep1_047	0.958135
mSp_rep1_048	0.95683
mSp_rep1_049	0.958793
mSp_rep1_050	0.94828
mSp_rep1_051	0.950834
mSp_rep1_052	0.942512
mSp_rep1_053	0.960368
mSp_rep1_054	0.955589
mSp_rep1_055	0.959168
mSp_rep1_056	0.946338
mSp_rep1_057	0.928704
mSp_rep1_058	0.948767
mSp_rep1_059	0.956416
mSp_rep1_060	0.96026
mSp_rep1_061	0.96117
mSp_rep1_062	0.933375
mSp_rep1_063	0.922577
mSp_rep1_064	0.93892
mSp_rep1_065	0.930099
mSp_rep1_066	0.936303
mSp_rep1_067	0.952598
mSp_rep1_068	0.939601
mSp_rep1_069	0.952341
mSp_rep1_070	0.95657
mSp_rep1_071	0.958347
mSp_rep1_072	0.959799
mSp_rep1_073	0.959821
mSp_rep1_074	0.939781
mSp_rep1_075	0.945013
mSp_rep1_076	0.960562
mSp_rep1_077	0.950481
mSp_rep1_078	0.960345
mSp_rep1_079	0.963932
mSp_rep1_080	0.96033
mSp_rep1_081	0.950197
mSp_rep1_082	0.95787
mSp_rep1_083	0.942501
mSp_rep1_084	0.955135
mSp_rep1_085	0.956465
mSp_rep1_086	0.945647
mSp_rep1_087	0.948257
mSp_rep1_088	0.952342
mSp_rep1_089	0.955171
mSp_rep1_090	0.954405
mSp_rep1_091	0.961967
mSp_rep1_092	0.955554
mSp_rep1_093	0.966005
mSp_rep1_094	0.957004
mSp_rep1_095	0.96167
mSp_rep1_096	0.089109
mSp_rep2_001	0.975752
mSp_rep2_002	0.97339
mSp_rep2_003	0.974846
mSp_rep2_004	0.974471
mSp_rep2_005	0.973679
mSp_rep2_006	0.977129
mSp_rep2_007	0.975634
mSp_rep2_008	0.967898
mSp_rep2_009	0.972902
mSp_rep2_010	0.975362
mSp_rep2_011	0.971061
mSp_rep2_012	0.975545
mSp_rep2_013	0.96904
mSp_rep2_014	0.970104
mSp_rep2_015	0.975011
mSp_rep2_016	0.974019
mSp_rep2_017	0.97211
