cell	frac_open
mSp_rep1_001	0.174942
mSp_rep1_002	0.152845
mSp_rep1_003	0.118733
mSp_rep1_004	0.065073
mSp_rep1_005	0.181513
mSp_rep1_006	0.153217
mSp_rep1_007	0.163106
mSp_rep1_008	0.145531
mSp_rep1_009	0.132734
mSp_rep1_010	0.139561
mSp_rep1_011	0.139062
mSp_rep1_012	0.141598
mSp_rep1_013	0.055914
mSp_rep1_014	0.156060
mSp_rep1_015	0.145467
mSp_rep1_016	0.188533
mSp_rep1_017	0.116632
mSp_rep1_018	0.226693
mSp_rep1_019	0.136282
mSp_rep1_020	0.152358
mSp_rep1_021	0.082136
mSp_rep1_022	0.210027
mSp_rep1_023	0.150257
mSp_rep1_024	0.119309
mSp_rep1_025	0.001985
mSp_rep1_026	0.140945
mSp_rep1_027	0.154510
mSp_rep1_028	0.189122
mSp_rep1_029	0.144378
mSp_rep1_030	0.128724
mSp_rep1_031	0.127636
mSp_rep1_032	0.151602
mSp_rep1_033	0.138191
mSp_rep1_034	0.158994
mSp_rep1_035	0.160249
mSp_rep1_036	0.157892
mSp_rep1_037	0.146812
mSp_rep1_038	0.019522
mSp_rep1_039	0.146991
mSp_rep1_040	0.070978
mSp_rep1_041	0.143225
mSp_rep1_042	0.158802
mSp_rep1_043	0.137717
mSp_rep1_044	0.020752
mSp_rep1_045	0.134617
mSp_rep1_046	0.149105
mSp_rep1_047	0.148041
mSp_rep1_048	0.173136
mSp_rep1_049	0.137986
mSp_rep1_050	0.160351
mSp_rep1_051	0.123677
mSp_rep1_052	0.134181
mSp_rep1_053	0.249302
mSp_rep1_054	0.155228
mSp_rep1_055	0.157380
mSp_rep1_056	0.190313
mSp_rep1_057	0.060795
mSp_rep1_058	0.110458
mSp_rep1_059	0.146953
mSp_rep1_060	0.247175
mSp_rep1_061	0.175070
mSp_rep1_062	0.136769
mSp_rep1_063	0.094356
mSp_rep1_064	0.112033
mSp_rep1_065	0.083032
mSp_rep1_066	0.140650
mSp_rep1_067	0.133823
mSp_rep1_068	0.175838
mSp_rep1_069	0.034163
mSp_rep1_070	0.165001
mSp_rep1_071	0.150808
mSp_rep1_072	0.141598
mSp_rep1_073	0.159813
mSp_rep1_074	0.110343
mSp_rep1_075	0.131991
mSp_rep1_076	0.192030
mSp_rep1_077	0.185292
mSp_rep1_078	0.153562
mSp_rep1_079	0.191940
mSp_rep1_080	0.188148
mSp_rep1_081	0.159762
mSp_rep1_082	0.115594
mSp_rep1_083	0.073284
mSp_rep1_084	0.175544
mSp_rep1_085	0.181731
mSp_rep1_086	0.166436
mSp_rep1_087	0.215459
mSp_rep1_088	0.157764
mSp_rep1_089	0.172841
mSp_rep1_090	0.188161
mSp_rep1_091	0.148977
mSp_rep1_092	0.173622
mSp_rep1_093	0.163580
mSp_rep1_094	0.163426
mSp_rep1_095	0.180834
mSp_rep1_096	0.000845
mSp_rep2_001	0.158468
mSp_rep2_002	0.198768
mSp_rep2_003	0.173494
mSp_rep2_004	0.171406
mSp_rep2_005	0.186778
mSp_rep2_006	0.187470
mSp_rep2_007	0.151474
mSp_rep2_008	0.146120
mSp_rep2_009	0.126572
mSp_rep2_010	0.158725
mSp_rep2_011	0.122934
mSp_rep2_012	0.184177
mSp_rep2_013	0.133310
mSp_rep2_014	0.156240
mSp_rep2_015	0.174852
mSp_rep2_016	0.175352
mSp_rep2_017	0.116184
mSp_rep2_018	0.079497
mSp_rep2_019	0.160480
mSp_rep2_020	0.114967
mSp_rep2_021	0.162798
mSp_rep2_022	0.157930
mSp_rep2_023	0.150565
mSp_rep2_024	0.189545
mSp_rep2_025	0.140894
mSp_rep2_026	0.163989
mSp_rep2_027	0.195258
mSp_rep2_028	0.175070
mSp_rep2_029	0.258141
mSp_rep2_030	0.011426
mSp_rep2_031	0.122371
mSp_rep2_032	0.132183
mSp_rep2_033	0.290472
mSp_rep2_034	0.141982
mSp_rep2_035	0.168780
mSp_rep2_036	0.091602
mSp_rep2_037	0.170625
mSp_rep2_038	0.145505
mSp_rep2_039	0.194284
mSp_rep2_040	0.249097
mSp_rep2_041	0.106756
mSp_rep2_042	0.054928
mSp_rep2_043	0.136154
mSp_rep2_044	0.164976
mSp_rep2_045	0.185407
mSp_rep2_046	0.176351
mSp_rep2_047	0.166551
mSp_rep2_048	0.172495
mSp_rep2_049	0.207850
mSp_rep2_050	0.245984
mSp_rep2_051	0.160710
mSp_rep2_052	0.001332
mSp_rep2_053	0.114365
mSp_rep2_054	0.174865
mSp_rep2_055	0.012425
mSp_rep2_056	0.162030
mSp_rep2_057	0.171944
mSp_rep2_058	0.164207
mSp_rep2_059	0.137935
mSp_rep2_060	0.126086
mSp_rep2_061	0.125945
mSp_rep2_062	0.113186
mSp_rep2_063	0.278585
mSp_rep2_064	0.147657
mSp_rep2_065	0.046832
mSp_rep2_066	0.196206
mSp_rep2_067	0.140151
mSp_rep2_068	0.135552
mSp_rep2_069	0.178554
mSp_rep2_070	0.179284
mSp_rep2_071	0.158558
