cell	frip
mSp_rep1_001	0.734909
mSp_rep1_002	0.762530
mSp_rep1_003	0.799605
mSp_rep1_004	0.777297
mSp_rep1_005	0.629661
mSp_rep1_006	0.733592
mSp_rep1_007	0.766546
mSp_rep1_008	0.652064
mSp_rep1_009	0.798499
mSp_rep1_010	0.744165
mSp_rep1_011	0.738194
mSp_rep1_012	0.759688
mSp_rep1_013	0.767878
mSp_rep1_014	0.759801
mSp_rep1_015	0.722597
mSp_rep1_016	0.741507
mSp_rep1_017	0.798158
mSp_rep1_018	0.635971
mSp_rep1_019	0.737298
mSp_rep1_020	0.743436
mSp_rep1_021	0.612033
mSp_rep1_022	0.686846
mSp_rep1_023	0.741271
mSp_rep1_024	0.765456
mSp_rep1_025	0.608833
mSp_rep1_026	0.676312
mSp_rep1_027	0.773356
mSp_rep1_028	0.689253
mSp_rep1_029	0.760050
mSp_rep1_030	0.750882
mSp_rep1_031	0.732595
mSp_rep1_032	0.630958
mSp_rep1_033	0.684255
mSp_rep1_034	0.753598
mSp_rep1_035	0.702257
mSp_rep1_036	0.725578
mSp_rep1_037	0.773566
mSp_rep1_038	0.782757
mSp_rep1_039	0.578693
mSp_rep1_040	0.759879
mSp_rep1_041	0.722702
mSp_rep1_042	0.717224
mSp_rep1_043	0.738708
mSp_rep1_044	0.744782
mSp_rep1_045	0.771388
mSp_rep1_046	0.770507
mSp_rep1_047	0.742335
mSp_rep1_048	0.743741
mSp_rep1_049	0.694829
mSp_rep1_050	0.743929
mSp_rep1_051	0.766161
mSp_rep1_052	0.777081
mSp_rep1_053	0.724826
mSp_rep1_054	0.737278
mSp_rep1_055	0.744098
mSp_rep1_056	0.676182
mSp_rep1_057	0.814868
mSp_rep1_058	0.678267
mSp_rep1_059	0.768435
mSp_rep1_060	0.704566
mSp_rep1_061	0.739682
mSp_rep1_062	0.768571
mSp_rep1_063	0.803656
mSp_rep1_064	0.772379
mSp_rep1_065	0.777211
mSp_rep1_066	0.778341
mSp_rep1_067	0.736283
mSp_rep1_068	0.726402
mSp_rep1_069	0.068621
mSp_rep1_070	0.741537
mSp_rep1_071	0.738718
mSp_rep1_072	0.722959
mSp_rep1_073	0.715033
mSp_rep1_074	0.806211
mSp_rep1_075	0.722907
mSp_rep1_076	0.745856
mSp_rep1_077	0.677214
mSp_rep1_078	0.752829
mSp_rep1_079	0.680373
mSp_rep1_080	0.707196
mSp_rep1_081	0.745488
mSp_rep1_082	0.739860
mSp_rep1_083	0.793598
mSp_rep1_084	0.725680
mSp_rep1_085	0.756081
mSp_rep1_086	0.739749
mSp_rep1_087	0.769487
mSp_rep1_088	0.740781
mSp_rep1_089	0.716436
mSp_rep1_090	0.499798
mSp_rep1_091	0.646536
mSp_rep1_092	0.734899
mSp_rep1_093	0.711890
mSp_rep1_094	0.759556
mSp_rep1_095	0.711137
mSp_rep1_096	0.673913
mSp_rep2_001	0.749710
mSp_rep2_002	0.538937
mSp_rep2_003	0.721871
mSp_rep2_004	0.715453
mSp_rep2_005	0.671639
mSp_rep2_006	0.723720
mSp_rep2_007	0.739468
mSp_rep2_008	0.625321
mSp_rep2_009	0.768643
mSp_rep2_010	0.718852
mSp_rep2_011	0.778087
mSp_rep2_012	0.667250
mSp_rep2_013	0.063695
mSp_rep2_014	0.695765
mSp_rep2_015	0.619744
mSp_rep2_016	0.722563
mSp_rep2_017	0.609759
mSp_rep2_018	0.701299
mSp_rep2_019	0.748909
mSp_rep2_020	0.760965
mSp_rep2_021	0.758863
mSp_rep2_022	0.742345
mSp_rep2_023	0.705027
mSp_rep2_024	0.616505
mSp_rep2_025	0.793561
mSp_rep2_026	0.753791
mSp_rep2_027	0.715166
mSp_rep2_028	0.720148
mSp_rep2_029	0.709537
mSp_rep2_030	0.780614
mSp_rep2_031	0.753475
mSp_rep2_032	0.792427
mSp_rep2_033	0.655717
mSp_rep2_034	0.745398
mSp_rep2_035	0.756568
mSp_rep2_036	0.647503
mSp_rep2_037	0.706058
mSp_rep2_038	0.778191
mSp_rep2_039	0.709222
mSp_rep2_040	0.733369
mSp_rep2_041	0.615746
mSp_rep2_042	0.805182
mSp_rep2_043	0.767868
mSp_rep2_044	0.608875
mSp_rep2_045	0.698968
mSp_rep2_046	0.680935
mSp_rep2_047	0.722306
mSp_rep2_048	0.747586
mSp_rep2_049	0.423714
mSp_rep2_050	0.748853
mSp_rep2_051	0.634131
mSp_rep2_052	0.712766
mSp_rep2_053	0.602813
mSp_rep2_054	0.741889
mSp_rep2_055	0.742253
mSp_rep2_056	0.768937
mSp_rep2_057	0.723471
mSp_rep2_058	0.741000
mSp_rep2_059	0.687206
mSp_rep2_060	0.764379
mSp_rep2_061	0.674332
mSp_rep2_062	0.750223
mSp_rep2_063	0.689795
mSp_rep2_064	0.736965
mSp_rep2_065	0.766528
mSp_rep2_066	0.690080
mSp_rep2_067	0.721636
mSp_rep2_068	0.783616
mSp_rep2_069	0.711551
mSp_rep2_070	0.700576
mSp_rep2_071	0.714631
mSp_rep2_072	0.647817
mSp_rep2_073	0.741685
mSp_rep2_074	0.338807
mSp_rep2_075	0.669711
mSp_rep2_076	0.637374
mSp_rep2_077	0.756821
mSp_rep2_078	0.728663
mSp_rep2_079	0.713536
mSp_rep2_080	0.756901
mSp_rep2_081	0.704381
mSp_rep2_082	0.673579
mSp_rep2_083	0.715997
mSp_rep2_084	0.688088
mSp_rep2_085	0.688598
mSp_rep2_086	0.738149
mSp_rep2_087	0.758853
mSp_rep2_088	0.664519
mSp_rep2_089	0.715384
mSp_rep2_090	0.745786
mSp_rep2_091	0.784870
mSp_rep2_092	0.749866
mSp_rep2_093	0.812996
mSp_rep2_094	0.727179
mSp_rep2_095	0.578913
mSp_rep2_096	0.718023
mSp_rep3_001	0.696892
mSp_rep3_002	0.734345
mSp_rep3_003	0.645653
mSp_rep3_004	0.693798
mSp_rep3_005	0.723956
mSp_rep3_006	0.649406
mSp_rep3_007	0.767909
mSp_rep3_008	0.622003
mSp_rep3_009	0.699358
mSp_rep3_010	0.716906
mSp_rep3_011	0.720163
mSp_rep3_012	0.608488
mSp_rep3_013	0.664508
mSp_rep3_014	0.737416
mSp_rep3_015	0.725554
mSp_rep3_016	0.704677
mSp_rep3_017	0.785095
mSp_rep3_018	0.762702
mSp_rep3_019	0.736478
mSp_rep3_020	0.747906
mSp_rep3_021	0.679849
mSp_rep3_022	0.717947
mSp_rep3_023	0.731264
mSp_rep3_024	0.714403
mSp_rep3_025	0.433581
mSp_rep3_026	0.745385
mSp_rep3_027	0.744172
mSp_rep3_028	0.713688
mSp_rep3_029	0.467844
mSp_rep3_030	0.715678
mSp_rep3_031	0.629272
mSp_rep3_032	0.586696
mSp_rep3_033	0.045984
mSp_rep3_034	0.752093
mSp_rep3_035	0.737564
mSp_rep3_036	0.768428
mSp_rep3_037	0.743170
mSp_rep3_038	0.745013
mSp_rep3_039	0.733811
mSp_rep3_040	0.710422
mSp_rep3_041	0.754042
mSp_rep3_042	0.783756
mSp_rep3_043	0.745389
mSp_rep3_044	0.729067
mSp_rep3_045	0.317740
mSp_rep3_046	0.748148
mSp_rep3_047	0.770467
mSp_rep3_048	0.704653
mSp_rep3_049	0.705787
mSp_rep3_050	0.697478
mSp_rep3_051	0.597670
mSp_rep3_052	0.591483
mSp_rep3_053	0.707982
mSp_rep3_054	0.618843
mSp_rep3_055	0.768405
mSp_rep3_056	0.738311
mSp_rep3_057	0.723596
mSp_rep3_058	0.733654
mSp_rep3_059	0.762376
mSp_rep3_060	0.699786
mSp_rep3_061	0.726150
mSp_rep3_062	0.734004
mSp_rep3_063	0.744562
mSp_rep3_064	0.521886
mSp_rep3_065	0.762155
mSp_rep3_066	0.674752
mSp_rep3_067	0.791578
mSp_rep3_068	0.617539
mSp_rep3_069	0.514440
mSp_rep3_070	0.505016
mSp_rep3_071	0.730769
mSp_rep3_072	0.644656
mSp_rep3_073	0.717425
mSp_rep3_074	0.745484
mSp_rep3_075	0.734171
mSp_rep3_076	0.714787
mSp_rep3_077	0.736176
mSp_rep3_078	0.701328
mSp_rep3_079	0.734362
mSp_rep3_080	0.716113
mSp_rep3_081	0.044171
mSp_rep3_082	0.639444
mSp_rep3_083	0.716864
mSp_rep3_084	0.771763
mSp_rep3_085	0.687850
mSp_rep3_086	0.741697
mSp_rep3_087	0.730588
mSp_rep3_088	0.615233
mSp_rep3_089	0.751241
mSp_rep3_090	0.667186
mSp_rep3_091	0.739375
mSp_rep3_092	0.867021
mSp_rep3_093	0.727791
mSp_rep3_094	0.582322
mSp_rep3_095	0.690756
mSp_rep3_096	0.672347
mSp_rep3_097	0.684757
mSp_rep3_098	0.731292
mSp_rep3_099	0.696757
mSp_rep3_100	0.618155
mSp_rep3_101	0.760856
mSp_rep3_102	0.740546
mSp_rep3_103	0.642599
mSp_rep3_104	0.685053
mSp_rep3_105	0.704653
mSp_rep3_106	0.734405
mSp_rep3_107	0.652549
mSp_rep3_108	0.712716
mSp_rep3_109	0.623572
mSp_rep3_110	0.739298
mSp_rep3_111	0.743353
mSp_rep3_112	0.754369
mSp_rep3_113	0.691946
mSp_rep3_114	0.623199
mSp_rep3_115	0.755498
mSp_rep3_116	0.704532
mSp_rep3_117	0.784838
mSp_rep3_118	0.505066
mSp_rep3_119	0.783329
mSp_rep3_120	0.658304
mSp_rep3_121	0.690892
mSp_rep3_122	0.643913
mSp_rep3_123	0.742656
mSp_rep3_124	0.695481
mSp_rep3_125	0.745395
mSp_rep3_126	0.718107
mSp_rep3_127	0.739960
mSp_rep3_128	0.693810
mSp_rep3_129	0.726267
mSp_rep3_130	0.635622
mSp_rep3_131	0.729011
mSp_rep3_132	0.631149
mSp_rep3_133	0.619092
mSp_rep3_134	0.728380
mSp_rep3_135	0.704766
mSp_rep3_136	0.771693
mSp_rep3_137	0.712991
mSp_rep3_138	0.757267
mSp_rep3_139	0.742252
mSp_rep3_140	0.764749
mSp_rep3_141	0.744768
mSp_rep3_142	0.733881
mSp_rep3_143	0.694989
mSp_rep3_144	0.605062
mSp_rep3_145	0.713686
mSp_rep3_146	0.717011
mSp_rep3_147	0.754051
mSp_rep3_148	0.734321
mSp_rep3_149	0.664152
mSp_rep3_150	0.726190
mSp_rep3_151	0.613559
mSp_rep3_152	0.649722
mSp_rep3_153	0.708879
mSp_rep3_154	0.680437
mSp_rep3_155	0.738277
mSp_rep3_156	0.673947
mSp_rep3_157	0.772181
mSp_rep3_158	0.718165
mSp_rep3_159	0.771190
mSp_rep3_160	0.767967
mSp_rep3_161	0.695940
mSp_rep3_162	0.620154
mSp_rep3_163	0.725286
mSp_rep3_164	0.781358
mSp_rep3_165	0.719172
mSp_rep3_166	0.767263
mSp_rep3_167	0.677010
mSp_rep3_168	0.584867
mSp_rep3_169	0.436450
mSp_rep3_170	0.741951
