cell	library_size
mSp_rep10_001	34986
mSp_rep10_002	48428
mSp_rep10_003	21665
mSp_rep10_004	34349
mSp_rep10_005	44350
mSp_rep10_006	31366
mSp_rep10_007	30294
mSp_rep10_008	16793
mSp_rep10_009	11137
mSp_rep10_010	30279
mSp_rep10_011	35349
mSp_rep10_012	31018
mSp_rep10_013	15426
mSp_rep10_014	36975
mSp_rep10_015	41451
mSp_rep10_016	31181
mSp_rep10_017	28551
mSp_rep10_018	9304
mSp_rep10_019	30528
mSp_rep10_020	25019
mSp_rep10_021	32152
mSp_rep10_022	5243
mSp_rep10_023	12809
mSp_rep10_024	35306
mSp_rep10_025	43208
mSp_rep10_026	34795
mSp_rep10_027	37181
mSp_rep10_028	27751
mSp_rep10_029	36366
mSp_rep10_030	32092
mSp_rep10_031	34889
mSp_rep10_032	37576
mSp_rep10_033	25175
mSp_rep10_034	28401
mSp_rep10_035	31093
mSp_rep10_036	37000
mSp_rep10_037	25927
mSp_rep10_038	1074
mSp_rep10_039	12399
mSp_rep10_040	31085
mSp_rep10_041	34500
mSp_rep10_042	36972
mSp_rep10_043	21262
mSp_rep10_044	27813
mSp_rep10_045	38003
mSp_rep10_046	13810
mSp_rep10_047	37910
mSp_rep10_048	29797
mSp_rep10_049	30576
mSp_rep10_050	24254
mSp_rep10_051	19814
mSp_rep10_052	15493
mSp_rep10_053	39516
mSp_rep10_054	33576
mSp_rep10_055	13265
mSp_rep10_056	13106
mSp_rep10_057	31844
mSp_rep10_058	29226
mSp_rep10_059	36963
mSp_rep10_060	8029
mSp_rep10_061	33750
mSp_rep10_062	28096
mSp_rep10_063	39697
mSp_rep10_064	30872
mSp_rep10_065	33480
mSp_rep10_066	32483
mSp_rep10_067	39138
mSp_rep10_068	17636
mSp_rep10_069	43370
mSp_rep10_070	38708
mSp_rep10_071	37294
mSp_rep10_072	38143
mSp_rep10_073	24957
mSp_rep10_074	38094
mSp_rep10_075	34571
mSp_rep10_076	31713
mSp_rep10_077	45812
mSp_rep10_078	25070
mSp_rep10_079	33740
mSp_rep10_080	16962
mSp_rep10_081	37942
mSp_rep10_082	31936
mSp_rep10_083	36033
mSp_rep10_084	31233
mSp_rep10_085	35533
mSp_rep10_086	11262
mSp_rep10_087	33254
mSp_rep10_088	13759
mSp_rep10_089	48713
mSp_rep10_090	29741
mSp_rep10_091	35777
mSp_rep10_092	28295
mSp_rep10_093	32740
mSp_rep10_094	44582
mSp_rep10_095	34280
mSp_rep10_096	17322
mSp_rep10_097	33928
mSp_rep10_098	19897
mSp_rep10_099	33014
mSp_rep10_100	28547
mSp_rep10_101	11179
mSp_rep10_102	35489
mSp_rep10_103	39822
mSp_rep10_104	24429
mSp_rep10_105	28026
mSp_rep10_106	34008
mSp_rep10_107	29632
mSp_rep10_108	24121
mSp_rep10_109	35281
mSp_rep10_110	30149
mSp_rep10_111	42763
mSp_rep10_112	14912
mSp_rep10_113	34207
mSp_rep10_114	13696
mSp_rep10_115	34271
mSp_rep10_116	26676
mSp_rep10_117	46931
mSp_rep10_118	20134
mSp_rep10_119	32516
mSp_rep10_120	7818
mSp_rep10_121	32486
mSp_rep10_122	11961
mSp_rep10_123	34949
mSp_rep10_124	8602
