cell	mapping_rate
mSp_rep1_001	95.54
mSp_rep1_002	97.17
mSp_rep1_003	97.96
mSp_rep1_004	97.89
mSp_rep1_005	97.30
mSp_rep1_006	97.52
mSp_rep1_007	94.83
mSp_rep1_008	96.66
mSp_rep1_009	97.64
mSp_rep1_010	97.86
mSp_rep1_011	97.54
mSp_rep1_012	97.01
mSp_rep1_013	97.95
mSp_rep1_014	97.17
mSp_rep1_015	96.86
mSp_rep1_016	97.64
mSp_rep1_017	97.65
mSp_rep1_018	96.95
mSp_rep1_019	97.56
mSp_rep1_020	97.04
mSp_rep1_021	97.32
mSp_rep1_022	97.32
mSp_rep1_023	97.49
mSp_rep1_024	97.67
mSp_rep1_025	94.45
mSp_rep1_026	97.28
mSp_rep1_027	96.99
mSp_rep1_028	97.10
mSp_rep1_029	97.66
mSp_rep1_030	97.69
mSp_rep1_031	96.89
mSp_rep1_032	97.34
mSp_rep1_033	97.47
mSp_rep1_034	97.45
mSp_rep1_035	96.91
mSp_rep1_036	91.77
mSp_rep1_037	96.69
mSp_rep1_038	96.38
mSp_rep1_039	98.12
mSp_rep1_040	96.55
mSp_rep1_041	97.32
mSp_rep1_042	97.26
mSp_rep1_043	97.31
mSp_rep1_044	97.81
mSp_rep1_045	97.58
mSp_rep1_046	97.44
mSp_rep1_047	97.37
mSp_rep1_048	97.41
mSp_rep1_049	96.79
mSp_rep1_050	97.31
mSp_rep1_051	96.94
mSp_rep1_052	97.56
mSp_rep1_053	97.54
mSp_rep1_054	97.44
mSp_rep1_055	97.80
mSp_rep1_056	97.25
mSp_rep1_057	97.77
mSp_rep1_058	97.45
mSp_rep1_059	97.40
mSp_rep1_060	97.63
mSp_rep1_061	95.23
mSp_rep1_062	96.68
mSp_rep1_063	96.98
mSp_rep1_064	97.96
mSp_rep1_065	96.92
mSp_rep1_066	97.85
mSp_rep1_067	96.91
mSp_rep1_068	97.25
mSp_rep1_069	93.15
mSp_rep1_070	97.06
mSp_rep1_071	97.41
mSp_rep1_072	97.43
mSp_rep1_073	95.89
mSp_rep1_074	97.86
mSp_rep1_075	97.49
mSp_rep1_076	97.44
mSp_rep1_077	96.60
mSp_rep1_078	96.14
mSp_rep1_079	96.31
mSp_rep1_080	96.93
mSp_rep1_081	96.36
mSp_rep1_082	97.56
mSp_rep1_083	97.60
mSp_rep1_084	96.92
mSp_rep1_085	96.37
mSp_rep1_086	95.69
mSp_rep1_087	97.45
mSp_rep1_088	96.52
mSp_rep1_089	95.69
mSp_rep1_090	97.50
mSp_rep1_091	97.71
mSp_rep1_092	96.97
mSp_rep1_093	96.24
mSp_rep1_094	97.36
mSp_rep1_095	97.29
mSp_rep1_096	64.55
mSp_rep2_001	96.26
mSp_rep2_002	97.88
mSp_rep2_003	97.60
mSp_rep2_004	97.67
mSp_rep2_005	97.59
mSp_rep2_006	96.90
mSp_rep2_007	97.72
mSp_rep2_008	97.59
