cell	mt_content
mSp_rep1_001	0.015305
mSp_rep1_002	0.020898
mSp_rep1_003	0.034666
mSp_rep1_004	0.128385
mSp_rep1_005	0.015272
mSp_rep1_006	0.022668
mSp_rep1_007	0.024432
mSp_rep1_008	0.006399
mSp_rep1_009	0.044332
mSp_rep1_010	0.022206
mSp_rep1_011	0.026071
mSp_rep1_012	0.005435
mSp_rep1_013	0.172888
mSp_rep1_014	0.010444
mSp_rep1_015	0.048352
mSp_rep1_016	0.028787
mSp_rep1_017	0.010271
mSp_rep1_018	0.032447
mSp_rep1_019	0.033673
mSp_rep1_020	0.020196
mSp_rep1_021	0.034577
mSp_rep1_022	0.021444
mSp_rep1_023	0.020829
mSp_rep1_024	0.017719
mSp_rep1_025	0.113565
mSp_rep1_026	0.081031
mSp_rep1_027	0.029743
mSp_rep1_028	0.013858
mSp_rep1_029	0.072004
mSp_rep1_030	0.023161
mSp_rep1_031	0.019499
mSp_rep1_032	0.064432
mSp_rep1_033	0.042167
mSp_rep1_034	0.041951
mSp_rep1_035	0.039859
mSp_rep1_036	0.012467
mSp_rep1_037	0.021456
mSp_rep1_038	0.120579
mSp_rep1_039	0.029255
mSp_rep1_040	0.057792
mSp_rep1_041	0.059510
mSp_rep1_042	0.011587
mSp_rep1_043	0.004925
mSp_rep1_044	0.064025
mSp_rep1_045	0.033588
mSp_rep1_046	0.024269
mSp_rep1_047	0.018180
mSp_rep1_048	0.025098
mSp_rep1_049	0.025954
mSp_rep1_050	0.018980
mSp_rep1_051	0.036856
mSp_rep1_052	0.048589
mSp_rep1_053	0.031397
mSp_rep1_054	0.010537
mSp_rep1_055	0.024899
mSp_rep1_056	0.023871
mSp_rep1_057	0.082281
mSp_rep1_058	0.002853
mSp_rep1_059	0.025743
mSp_rep1_060	0.012998
mSp_rep1_061	0.006102
mSp_rep1_062	0.034288
mSp_rep1_063	0.009292
mSp_rep1_064	0.010797
mSp_rep1_065	0.031915
mSp_rep1_066	0.022076
mSp_rep1_067	0.049211
mSp_rep1_068	0.007530
mSp_rep1_069	0.001209
mSp_rep1_070	0.012154
mSp_rep1_071	0.017479
mSp_rep1_072	0.033974
mSp_rep1_073	0.014501
mSp_rep1_074	0.009444
mSp_rep1_075	0.054364
mSp_rep1_076	0.020624
mSp_rep1_077	0.020055
mSp_rep1_078	0.025623
mSp_rep1_079	0.031056
mSp_rep1_080	0.011737
mSp_rep1_081	0.003503
mSp_rep1_082	0.046584
mSp_rep1_083	0.037390
mSp_rep1_084	0.009645
mSp_rep1_085	0.021444
mSp_rep1_086	0.010667
mSp_rep1_087	0.036554
mSp_rep1_088	0.010675
mSp_rep1_089	0.017769
mSp_rep1_090	0.017235
mSp_rep1_091	0.047200
mSp_rep1_092	0.007252
mSp_rep1_093	0.032616
mSp_rep1_094	0.026449
mSp_rep1_095	0.042959
mSp_rep1_096	0.000000
mSp_rep2_001	0.012461
mSp_rep2_002	0.029962
mSp_rep2_003	0.029624
mSp_rep2_004	0.016792
mSp_rep2_005	0.040871
mSp_rep2_006	0.014478
mSp_rep2_007	0.009671
mSp_rep2_008	0.007164
mSp_rep2_009	0.013295
mSp_rep2_010	0.026711
mSp_rep2_011	0.026095
mSp_rep2_012	0.014165
mSp_rep2_013	0.001581
mSp_rep2_014	0.029671
mSp_rep2_015	0.055371
mSp_rep2_016	0.041632
mSp_rep2_017	0.002760
mSp_rep2_018	0.066898
mSp_rep2_019	0.010564
mSp_rep2_020	0.052301
mSp_rep2_021	0.008426
mSp_rep2_022	0.027623
mSp_rep2_023	0.020743
mSp_rep2_024	0.005749
mSp_rep2_025	0.038131
mSp_rep2_026	0.012778
mSp_rep2_027	0.023811
mSp_rep2_028	0.005377
mSp_rep2_029	0.018323
mSp_rep2_030	0.427734
mSp_rep2_031	0.021696
mSp_rep2_032	0.021742
mSp_rep2_033	0.011861
mSp_rep2_034	0.011062
mSp_rep2_035	0.027207
mSp_rep2_036	0.002452
mSp_rep2_037	0.007580
mSp_rep2_038	0.008165
mSp_rep2_039	0.021198
mSp_rep2_040	0.018961
mSp_rep2_041	0.001566
mSp_rep2_042	0.013875
mSp_rep2_043	0.047045
mSp_rep2_044	0.015728
mSp_rep2_045	0.011249
mSp_rep2_046	0.021803
mSp_rep2_047	0.027840
mSp_rep2_048	0.010875
mSp_rep2_049	0.013603
mSp_rep2_050	0.021488
mSp_rep2_051	0.004270
mSp_rep2_052	0.056738
mSp_rep2_053	0.001539
mSp_rep2_054	0.020224
mSp_rep2_055	0.311139
mSp_rep2_056	0.028194
mSp_rep2_057	0.011890
mSp_rep2_058	0.007705
mSp_rep2_059	0.051769
mSp_rep2_060	0.037425
mSp_rep2_061	0.002511
mSp_rep2_062	0.022793
mSp_rep2_063	0.032090
mSp_rep2_064	0.071335
mSp_rep2_065	0.080290
mSp_rep2_066	0.003709
mSp_rep2_067	0.044453
mSp_rep2_068	0.039034
mSp_rep2_069	0.029948
mSp_rep2_070	0.017730
mSp_rep2_071	0.034301
mSp_rep2_072	0.055086
mSp_rep2_073	0.013183
mSp_rep2_074	0.041116
mSp_rep2_075	0.017016
mSp_rep2_076	0.222626
mSp_rep2_077	0.007121
mSp_rep2_078	0.012327
mSp_rep2_079	0.159168
mSp_rep2_080	0.015959
mSp_rep2_081	0.016335
mSp_rep2_082	0.062670
mSp_rep2_083	0.041748
mSp_rep2_084	0.033856
mSp_rep2_085	0.013183
mSp_rep2_086	0.021162
mSp_rep2_087	0.008364
mSp_rep2_088	0.012466
mSp_rep2_089	0.036644
mSp_rep2_090	0.029037
mSp_rep2_091	0.005548
mSp_rep2_092	0.053897
mSp_rep2_093	0.048326
mSp_rep2_094	0.008037
mSp_rep2_095	0.012774
mSp_rep2_096	0.052326
mSp_rep3_001	0.026423
mSp_rep3_002	0.140219
mSp_rep3_003	0.029791
mSp_rep3_004	0.008200
mSp_rep3_005	0.015270
mSp_rep3_006	0.009420
mSp_rep3_007	0.010589
mSp_rep3_008	0.024572
mSp_rep3_009	0.031928
mSp_rep3_010	0.041726
mSp_rep3_011	0.031785
mSp_rep3_012	0.012357
mSp_rep3_013	0.019558
mSp_rep3_014	0.012622
mSp_rep3_015	0.006239
mSp_rep3_016	0.047821
mSp_rep3_017	0.016212
mSp_rep3_018	0.024103
mSp_rep3_019	0.013344
mSp_rep3_020	0.035179
mSp_rep3_021	0.008761
mSp_rep3_022	0.024000
mSp_rep3_023	0.020995
mSp_rep3_024	0.018230
mSp_rep3_025	0.018067
mSp_rep3_026	0.081753
mSp_rep3_027	0.017557
mSp_rep3_028	0.000809
mSp_rep3_029	0.010127
mSp_rep3_030	0.040124
mSp_rep3_031	0.021861
mSp_rep3_032	0.055236
mSp_rep3_033	0.000514
mSp_rep3_034	0.009581
mSp_rep3_035	0.018901
mSp_rep3_036	0.023672
mSp_rep3_037	0.018181
mSp_rep3_038	0.009839
mSp_rep3_039	0.010573
mSp_rep3_040	0.641161
mSp_rep3_041	0.028032
mSp_rep3_042	0.218856
mSp_rep3_043	0.014360
mSp_rep3_044	0.022251
mSp_rep3_045	0.004444
mSp_rep3_046	0.031397
mSp_rep3_047	0.029639
mSp_rep3_048	0.055532
mSp_rep3_049	0.014276
mSp_rep3_050	0.020824
mSp_rep3_051	0.012322
mSp_rep3_052	0.020112
mSp_rep3_053	0.020619
mSp_rep3_054	0.012727
mSp_rep3_055	0.036000
mSp_rep3_056	0.020473
mSp_rep3_057	0.004841
mSp_rep3_058	0.007942
mSp_rep3_059	0.258045
mSp_rep3_060	0.011442
