cell	sequencing_depth
mSp_rep1_001	987411
mSp_rep1_002	672271
mSp_rep1_003	403588
mSp_rep1_004	298254
mSp_rep1_005	959674
mSp_rep1_006	716062
mSp_rep1_007	813599
mSp_rep1_008	703882
mSp_rep1_009	470636
mSp_rep1_010	564415
mSp_rep1_011	494106
mSp_rep1_012	535722
mSp_rep1_013	287322
mSp_rep1_014	611792
mSp_rep1_015	664911
mSp_rep1_016	1018732
mSp_rep1_017	502274
mSp_rep1_018	1262863
mSp_rep1_019	637856
mSp_rep1_020	537038
mSp_rep1_021	271306
mSp_rep1_022	882679
mSp_rep1_023	555552
mSp_rep1_024	382374
mSp_rep1_025	6520
mSp_rep1_026	596690
mSp_rep1_027	643971
mSp_rep1_028	813975
mSp_rep1_029	507762
mSp_rep1_030	468196
mSp_rep1_031	540982
mSp_rep1_032	652189
mSp_rep1_033	611466
mSp_rep1_034	600537
mSp_rep1_035	613151
mSp_rep1_036	659431
mSp_rep1_037	614740
mSp_rep1_038	46061
mSp_rep1_039	524259
mSp_rep1_040	225481
mSp_rep1_041	457586
mSp_rep1_042	693135
mSp_rep1_043	622661
mSp_rep1_044	62530
mSp_rep1_045	456193
mSp_rep1_046	606881
mSp_rep1_047	640774
mSp_rep1_048	809229
mSp_rep1_049	682447
mSp_rep1_050	573531
mSp_rep1_051	457233
mSp_rep1_052	403971
mSp_rep1_053	1622717
mSp_rep1_054	643497
mSp_rep1_055	730975
mSp_rep1_056	762356
mSp_rep1_057	133422
mSp_rep1_058	443107
mSp_rep1_059	592091
mSp_rep1_060	1517260
mSp_rep1_061	973799
mSp_rep1_062	366616
mSp_rep1_063	183811
mSp_rep1_064	304107
mSp_rep1_065	176034
mSp_rep1_066	381159
mSp_rep1_067	547621
mSp_rep1_068	518853
mSp_rep1_069	1341042
mSp_rep1_070	737451
mSp_rep1_071	712513
mSp_rep1_072	660766
mSp_rep1_073	764571
mSp_rep1_074	281364
mSp_rep1_075	501189
mSp_rep1_076	971805
mSp_rep1_077	832962
mSp_rep1_078	734694
mSp_rep1_079	1241846
mSp_rep1_080	987558
mSp_rep1_081	610401
mSp_rep1_082	477090
mSp_rep1_083	198749
