cell	uniq_frags
mSp_rep1_001	34486.000000
mSp_rep1_002	26002.000000
mSp_rep1_003	18351.000000
mSp_rep1_004	9172.000000
mSp_rep1_005	38558.000000
mSp_rep1_006	26775.000000
mSp_rep1_007	29908.000000
mSp_rep1_008	27796.000000
mSp_rep1_009	20695.000000
mSp_rep1_010	23249.000000
mSp_rep1_011	23572.000000
mSp_rep1_012	22508.000000
mSp_rep1_013	7645.000000
mSp_rep1_014	26529.000000
mSp_rep1_015	26393.000000
mSp_rep1_016	37281.000000
mSp_rep1_017	17248.000000
mSp_rep1_018	48904.000000
mSp_rep1_019	22556.000000
mSp_rep1_020	26198.000000
mSp_rep1_021	14072.000000
mSp_rep1_022	39198.000000
mSp_rep1_023	25856.000000
mSp_rep1_024	17684.000000
mSp_rep1_025	281.000000
mSp_rep1_026	26311.000000
mSp_rep1_027	26358.000000
mSp_rep1_028	36079.000000
mSp_rep1_029	24307.000000
mSp_rep1_030	20202.000000
mSp_rep1_031	21421.000000
mSp_rep1_032	31741.000000
mSp_rep1_033	25441.000000
mSp_rep1_034	27359.000000
mSp_rep1_035	29990.000000
mSp_rep1_036	27486.000000
mSp_rep1_037	23533.000000
mSp_rep1_038	2188.000000
mSp_rep1_039	31888.000000
mSp_rep1_040	10157.000000
mSp_rep1_041	24591.000000
mSp_rep1_042	27895.000000
mSp_rep1_043	22427.000000
mSp_rep1_044	2646.000000
mSp_rep1_045	21982.000000
mSp_rep1_046	25610.000000
mSp_rep1_047	24627.000000
mSp_rep1_048	31736.000000
mSp_rep1_049	25220.000000
mSp_rep1_050	27187.000000
mSp_rep1_051	19756.000000
mSp_rep1_052	20403.000000
mSp_rep1_053	58090.000000
mSp_rep1_054	26482.000000
mSp_rep1_055	27218.000000
mSp_rep1_056	36966.000000
mSp_rep1_057	7919.000000
mSp_rep1_058	21317.000000
mSp_rep1_059	23464.000000
mSp_rep1_060	55966.000000
mSp_rep1_061	34366.000000
mSp_rep1_062	21490.000000
mSp_rep1_063	13114.000000
mSp_rep1_064	17316.000000
mSp_rep1_065	11011.000000
mSp_rep1_066	22282.000000
mSp_rep1_067	22528.000000
mSp_rep1_068	28998.000000
mSp_rep1_069	55339.000000
mSp_rep1_070	29504.000000
mSp_rep1_071	27150.000000
mSp_rep1_072	23828.000000
mSp_rep1_073	27796.000000
mSp_rep1_074	15838.000000
mSp_rep1_075	24022.000000
mSp_rep1_076	35093.000000
mSp_rep1_077	37381.000000
mSp_rep1_078	26087.000000
mSp_rep1_079	39811.000000
mSp_rep1_080	36121.000000
mSp_rep1_081	28161.000000
mSp_rep1_082	17724.000000
mSp_rep1_083	10195.000000
mSp_rep1_084	31111.000000
mSp_rep1_085	32263.000000
mSp_rep1_086	29773.000000
mSp_rep1_087	44596.000000
mSp_rep1_088	28359.000000
mSp_rep1_089	32337.000000
mSp_rep1_090	48697.000000
mSp_rep1_091	30300.000000
mSp_rep1_092	31621.000000
mSp_rep1_093	30550.000000
mSp_rep1_094	28195.000000
mSp_rep1_095	38207.000000
mSp_rep1_096	92.000000
mSp_rep2_001	28055.000000
mSp_rep2_002	53388.000000
mSp_rep2_003	31315.000000
mSp_rep2_004	32672.000000
mSp_rep2_005	36937.000000
mSp_rep2_006	34717.000000
mSp_rep2_007	25293.000000
mSp_rep2_008	28964.000000
mSp_rep2_009	18776.000000
mSp_rep2_010	29005.000000
mSp_rep2_011	19071.000000
mSp_rep2_012	37164.000000
mSp_rep2_013	253855.000000
mSp_rep2_014	30545.000000
mSp_rep2_015	38777.000000
mSp_rep2_016	32642.000000
mSp_rep2_017	25290.000000
mSp_rep2_018	12358.000000
mSp_rep2_019	29034.000000
mSp_rep2_020	18410.000000
mSp_rep2_021	26712.000000
mSp_rep2_022	27246.000000
mSp_rep2_023	28987.000000
mSp_rep2_024	43233.000000
mSp_rep2_025	22854.000000
mSp_rep2_026	28122.000000
mSp_rep2_027	38169.000000
mSp_rep2_028	32369.000000
mSp_rep2_029	56522.000000
mSp_rep2_030	1659.000000
mSp_rep2_031	20832.000000
mSp_rep2_032	21057.000000
mSp_rep2_033	72481.000000
mSp_rep2_034	23422.000000
mSp_rep2_035	30213.000000
mSp_rep2_036	17898.000000
mSp_rep2_037	30766.000000
mSp_rep2_038	24294.000000
mSp_rep2_039	36755.000000
mSp_rep2_040	56085.000000
mSp_rep2_041	22320.000000
mSp_rep2_042	6965.000000
