,dup_level,frac_open,frip,library_size,mapping_rate,mt_content,sequencing_depth,uniq_frags,plate,batch,t-SNE Dimension 1,t-SNE Dimension 2,cluster_labels,putative_cell_type
mSp_rep7_276,0.947797,0.172111,0.716681,32767.0,96.26,0.015168,702521,32270.0,rep7,Sp#2 (n=2688),54.251984,25.48605,6,Naive_CD8_T
mSp_rep7_267,0.948255,0.106115,0.7146319999999999,16936.0,96.2,0.028755000000000006,367383,16449.0,rep7,Sp#2 (n=2688),-0.7279969,23.36909,7,Transitional_B
mSp_rep7_270,0.950191,0.175031,0.703665,32330.0,96.32,0.025518,727891,31505.0,rep7,Sp#2 (n=2688),51.31189,6.2914453,6,Naive_CD8_T
mSp_rep7_291,0.947308,0.247022,0.631938,54791.0,96.16,0.015915000000000002,1160271,53919.0,rep7,Sp#2 (n=2688),-14.848686,24.946157,4,Marginal_Zone_B
mSp_rep7_196,0.945266,0.143122,0.743863,23220.0,97.5,0.0034020000000000005,458049,23141.0,rep7,Sp#2 (n=2688),54.995594,-34.19162,3,Naive_CD4_T
mSp_rep7_347,0.952269,0.195194,0.730902,39010.0,97.03,0.016175,893496,38379.0,rep7,Sp#2 (n=2688),-10.800485,11.016588,1,Follicular_B
mSp_rep7_141,0.948132,0.137192,0.635009,31683.0,96.8,0.005176,667325,31519.0,rep7,Sp#2 (n=2688),7.6657925,48.812153,0,Granulocyte
mSp_rep7_079,0.949643,0.171534,0.746279,32317.0,96.78,0.018504,714087,31719.0,rep7,Sp#2 (n=2688),40.867424,-35.964046,3,Naive_CD4_T
mSp_rep7_199,0.950302,0.140074,0.609978,32852.0,97.0,0.000183,715413,32846.0,rep7,Sp#2 (n=2688),6.3817515,48.869495,0,Granulocyte
mSp_rep7_082,0.949163,0.198691,0.704252,41985.0,97.06,0.011218,910562,41514.0,rep7,Sp#2 (n=2688),42.70584,-36.1227,3,Naive_CD4_T
mSp_rep7_178,0.950919,0.154856,0.714116,28641.0,97.22,0.025383000000000003,637345,27914.0,rep7,Sp#2 (n=2688),-23.173311,2.4277585,1,Follicular_B
mSp_rep7_374,0.944095,0.16333599999999998,0.746722,29359.0,96.84,0.004734,573077,29220.0,rep7,Sp#2 (n=2688),43.518402,19.177864,6,Naive_CD8_T
mSp_rep7_098,0.94729,0.170471,0.734209,33436.0,95.61,0.025960000000000004,711740,32568.0,rep7,Sp#2 (n=2688),-18.625164,-3.5797162,1,Follicular_B
mSp_rep7_310,0.95235,0.110983,0.655763,19719.0,97.61,0.037933,453464,18971.0,rep7,Sp#2 (n=2688),-28.737951,57.82562,10,Dendritic_cell
mSp_rep7_327,0.942177,0.17498,0.697329,32352.0,96.49,0.025099,623682,31540.0,rep7,Sp#2 (n=2688),-41.648075,19.040659,4,Marginal_Zone_B
mSp_rep7_144,0.951982,0.191223,0.650564,44838.0,96.23,0.015433,1037159,44146.0,rep7,Sp#2 (n=2688),61.18568,-17.304665,9,Regulatory_T
mSp_rep7_169,0.948006,0.141931,0.6191720000000001,34702.0,96.82,0.002363,725969,34620.0,rep7,Sp#2 (n=2688),4.7775135,49.675854,0,Granulocyte
mSp_rep7_264,0.946533,0.192312,0.697741,39883.0,96.77,0.007372,817945,39589.0,rep7,Sp#2 (n=2688),48.34382,17.656944,6,Naive_CD8_T
mSp_rep7_294,0.950338,0.19039,0.719237,38577.0,97.02,0.014542,846383,38016.0,rep7,Sp#2 (n=2688),-12.756918,-9.505518,1,Follicular_B
mSp_rep7_072,0.948985,0.144852,0.644277,28331.0,97.35,0.013447999999999998,602964,27950.0,rep7,Sp#2 (n=2688),-27.36668,58.29946,10,Dendritic_cell
mSp_rep7_084,0.947658,0.172149,0.7111350000000001,35257.0,96.97,0.005502,739468,35063.0,rep7,Sp#2 (n=2688),21.87721,70.17011,11,CD27+_Natural_Killer
mSp_rep7_044,0.95063,0.255937,0.668088,56530.0,96.8,0.011764,1252209,55865.0,rep7,Sp#2 (n=2688),-54.613277,22.59522,4,Marginal_Zone_B
mSp_rep7_289,0.944486,0.14375,0.751386,25980.0,97.2,0.026905,513133,25281.0,rep7,Sp#2 (n=2688),4.5383244,-16.542223,1,Follicular_B
mSp_rep7_195,0.948984,0.158545,0.763628,28745.0,97.56,0.019864,611018,28174.0,rep7,Sp#2 (n=2688),-11.72389,-12.09042,1,Follicular_B
mSp_rep7_171,0.946473,0.229127,0.665259,47825.0,96.91,0.016247,975718,47048.0,rep7,Sp#2 (n=2688),-14.628813,22.703465,7,Transitional_B
mSp_rep7_202,0.9505,0.160761,0.737568,28495.0,97.15,0.016354,633287,28029.0,rep7,Sp#2 (n=2688),43.667564,15.444044,6,Naive_CD8_T
mSp_rep7_099,0.946933,0.176927,0.742518,32647.0,96.61,0.018838,679765,32032.0,rep7,Sp#2 (n=2688),-34.426525,-12.89848,1,Follicular_B
mSp_rep7_003,0.950426,0.17776,0.756109,32574.0,97.03,0.020937,718968,31892.0,rep7,Sp#2 (n=2688),-27.831114,2.0715942,1,Follicular_B
