cell	dup_level
c1_K562_chip1_01	0.924489
c1_K562_chip1_02	0.937314
c1_K562_chip1_03	0.930837
c1_K562_chip1_04	0.948506
c1_K562_chip1_05	0.910091
c1_K562_chip1_06	0.937548
c1_K562_chip1_07	0.95088
c1_K562_chip1_08	0.904273
c1_K562_chip1_09	0.951184
c1_K562_chip1_10	0.905045
c1_K562_chip1_11	0.94803
c1_K562_chip1_12	0.725098
c1_K562_chip1_13	0.979915
c1_K562_chip1_14	0.966734
c1_K562_chip1_15	0.967887
c1_K562_chip1_16	0.942586
c1_K562_chip1_17	0.970781
c1_K562_chip1_18	0.968232
c1_K562_chip1_19	0.97183
c1_K562_chip1_20	0.950914
c1_K562_chip1_21	0.968092
c1_K562_chip1_22	0.912185
c1_K562_chip1_23	0.976267
c1_K562_chip1_24	0.969423
c1_K562_chip1_25	0.94194
c1_K562_chip1_26	0.950144
c1_K562_chip1_27	0.668383
c1_K562_chip1_28	0.94877
c1_K562_chip1_29	0.896117
c1_K562_chip1_30	0.925821
c1_K562_chip1_31	0.92179
c1_K562_chip1_32	0.92721
c1_K562_chip1_33	0.930455
c1_K562_chip1_34	0.904062
c1_K562_chip1_35	0.903732
c1_K562_chip1_36	0.926486
c1_K562_chip1_37	0.953523
c1_K562_chip1_38	0.97206
c1_K562_chip1_39	0.934646
c1_K562_chip1_40	0.964259
c1_K562_chip1_41	0.938236
c1_K562_chip1_42	0.964445
c1_K562_chip1_43	0.918627
c1_K562_chip1_44	0.957408
c1_K562_chip1_45	0.957622
c1_K562_chip1_46	0.950853
c1_K562_chip1_47	0.956982
c1_K562_chip1_48	0.936829
c1_K562_chip1_49	0.933326
c1_K562_chip1_50	0.9389
c1_K562_chip1_51	0.922514
c1_K562_chip1_52	0.952823
c1_K562_chip1_53	0.93625
c1_K562_chip1_54	0.951751
c1_K562_chip1_55	0.941057
c1_K562_chip1_56	0.899451
c1_K562_chip1_57	0.950483
c1_K562_chip1_58	0.916668
c1_K562_chip1_59	0.905105
c1_K562_chip1_60	0.862898
c1_K562_chip1_61	0.941015
c1_K562_chip1_62	0.970855
c1_K562_chip1_63	0.942329
c1_K562_chip1_64	0.974313
c1_K562_chip1_65	0.945173
c1_K562_chip1_66	0.961732
c1_K562_chip1_67	0.959172
c1_K562_chip1_68	0.964522
c1_K562_chip1_69	0.966254
c1_K562_chip1_70	0.935666
c1_K562_chip1_71	0.954163
c1_K562_chip1_72	0.952705
c1_K562_chip1_73	0.932992
c1_K562_chip1_74	0.93998
c1_K562_chip1_75	0.920857
c1_K562_chip1_76	0.944328
c1_K562_chip1_77	0.88864
c1_K562_chip1_78	0.947144
c1_K562_chip1_79	0.953167
c1_K562_chip1_80	0.91054
c1_K562_chip1_81	0.936856
c1_K562_chip1_82	0.884685
c1_K562_chip1_83	0.896974
c1_K562_chip1_84	0.89587
c1_K562_chip1_85	0.929736
c1_K562_chip1_86	0.942465
c1_K562_chip1_87	0.962265
c1_K562_chip1_88	0.960155
c1_K562_chip1_89	0.918945
c1_K562_chip1_90	0.962286
c1_K562_chip1_91	0.967262
c1_K562_chip1_92	0.960685
c1_K562_chip1_93	0.956934
c1_K562_chip1_94	0.961139
c1_K562_chip1_95	0.965403
c1_K562_chip1_96	0.965663
c1_K562_chip2_01	0.886239
c1_K562_chip2_02	0.937058
c1_K562_chip2_03	0.898202
c1_K562_chip2_04	0.938879
c1_K562_chip2_05	0.930841
c1_K562_chip2_06	0.940597
c1_K562_chip2_07	0.947317
c1_K562_chip2_08	0.90883
c1_K562_chip2_09	0.905373
c1_K562_chip2_10	0.930317
c1_K562_chip2_11	0.948498
c1_K562_chip2_12	0.945941
c1_K562_chip2_13	0.9261
c1_K562_chip2_14	0.959402
c1_K562_chip2_15	0.971568
c1_K562_chip2_16	0.954715
c1_K562_chip2_17	0.966349
