cell	frac_open
c1_K562_chip1_01	0.042205
c1_K562_chip1_02	0.444229
c1_K562_chip1_03	0.139535
c1_K562_chip1_04	0.023256
c1_K562_chip1_05	0.018303
c1_K562_chip1_06	0.040698
c1_K562_chip1_07	0.043282
c1_K562_chip1_08	0.057709
c1_K562_chip1_09	0.235142
c1_K562_chip1_10	0.067183
c1_K562_chip1_11	0.328165
c1_K562_chip1_12	0.025840
c1_K562_chip1_13	0.050818
c1_K562_chip1_14	0.172481
c1_K562_chip1_15	0.059432
c1_K562_chip1_16	0.049096
c1_K562_chip1_17	0.017011
c1_K562_chip1_18	0.081395
c1_K562_chip1_19	0.202627
c1_K562_chip1_20	0.084625
c1_K562_chip1_21	0.113695
c1_K562_chip1_22	0.011413
c1_K562_chip1_23	0.096469
c1_K562_chip1_24	0.270887
c1_K562_chip1_25	0.031223
c1_K562_chip1_26	0.244832
c1_K562_chip1_27	0.012705
c1_K562_chip1_28	0.447028
c1_K562_chip1_29	0.021102
c1_K562_chip1_30	0.130706
c1_K562_chip1_31	0.076012
c1_K562_chip1_32	0.188630
c1_K562_chip1_33	0.091301
c1_K562_chip1_34	0.009044
c1_K562_chip1_35	0.122093
c1_K562_chip1_36	0.146641
c1_K562_chip1_37	0.012920
c1_K562_chip1_38	0.102498
c1_K562_chip1_39	0.006891
c1_K562_chip1_40	0.032300
c1_K562_chip1_41	0.014643
c1_K562_chip1_42	0.186693
c1_K562_chip1_43	0.086133
c1_K562_chip1_44	0.008829
c1_K562_chip1_45	0.124892
c1_K562_chip1_46	0.011413
c1_K562_chip1_47	0.181525
c1_K562_chip1_48	0.012920
c1_K562_chip1_49	0.012705
c1_K562_chip1_50	0.023902
c1_K562_chip1_51	0.011843
c1_K562_chip1_52	0.090655
c1_K562_chip1_53	0.012705
c1_K562_chip1_54	0.057063
c1_K562_chip1_55	0.052326
c1_K562_chip1_56	0.010767
c1_K562_chip1_57	0.049096
c1_K562_chip1_58	0.020241
c1_K562_chip1_59	0.066753
c1_K562_chip1_60	0.031654
c1_K562_chip1_61	0.015504
c1_K562_chip1_62	0.037468
c1_K562_chip1_63	0.012920
c1_K562_chip1_64	0.148579
c1_K562_chip1_65	0.013997
c1_K562_chip1_66	0.174203
c1_K562_chip1_67	0.108527
c1_K562_chip1_68	0.080749
c1_K562_chip1_69	0.147933
c1_K562_chip1_70	0.023902
c1_K562_chip1_71	0.148363
c1_K562_chip1_72	0.026916
c1_K562_chip1_73	0.164729
c1_K562_chip1_74	0.056202
c1_K562_chip1_75	0.022394
c1_K562_chip1_76	0.289621
c1_K562_chip1_77	0.030362
c1_K562_chip1_78	0.083549
c1_K562_chip1_79	0.026486
c1_K562_chip1_80	0.067829
c1_K562_chip1_81	0.023471
c1_K562_chip1_82	0.022394
c1_K562_chip1_83	0.032946
c1_K562_chip1_84	0.017657
c1_K562_chip1_85	0.009044
c1_K562_chip1_86	0.013781
c1_K562_chip1_87	0.015719
c1_K562_chip1_88	0.014858
c1_K562_chip1_89	0.009905
c1_K562_chip1_90	0.152670
c1_K562_chip1_91	0.050388
c1_K562_chip1_92	0.155900
c1_K562_chip1_93	0.055340
c1_K562_chip1_94	0.580534
c1_K562_chip1_95	0.075366
c1_K562_chip1_96	0.024332
c1_K562_chip2_01	0.009044
c1_K562_chip2_02	0.081611
c1_K562_chip2_03	0.007967
c1_K562_chip2_04	0.238372
c1_K562_chip2_05	0.205642
c1_K562_chip2_06	0.031008
c1_K562_chip2_07	0.055771
c1_K562_chip2_08	0.175711
c1_K562_chip2_09	0.056848
c1_K562_chip2_10	0.007752
c1_K562_chip2_11	0.051034
c1_K562_chip2_12	0.181740
c1_K562_chip2_13	0.009905
c1_K562_chip2_14	0.041559
c1_K562_chip2_15	0.011413
c1_K562_chip2_16	0.063523
c1_K562_chip2_17	0.011843
c1_K562_chip2_18	0.098837
c1_K562_chip2_19	0.146856
c1_K562_chip2_20	0.013997
c1_K562_chip2_21	0.051249
c1_K562_chip2_22	0.010767
c1_K562_chip2_23	0.187984
c1_K562_chip2_24	0.009475
c1_K562_chip2_25	0.017657
c1_K562_chip2_26	0.020672
c1_K562_chip2_27	0.021318
c1_K562_chip2_28	0.049957
c1_K562_chip2_29	0.002799
c1_K562_chip2_30	0.124892
c1_K562_chip2_31	0.153101
c1_K562_chip2_32	0.021748
c1_K562_chip2_33	0.041344
c1_K562_chip2_34	0.011197
c1_K562_chip2_35	0.030792
c1_K562_chip2_36	0.006675
c1_K562_chip2_37	0.012920
c1_K562_chip2_38	0.108096
c1_K562_chip2_39	0.011197
c1_K562_chip2_40	0.223514
c1_K562_chip2_41	0.013135
c1_K562_chip2_42	0.244832
c1_K562_chip2_43	0.053833
c1_K562_chip2_44	0.026055
c1_K562_chip2_45	0.020887
c1_K562_chip2_46	0.015289
c1_K562_chip2_47	0.011843
c1_K562_chip2_48	0.009475
c1_K562_chip2_49	0.290052
c1_K562_chip2_50	0.049742
c1_K562_chip2_51	0.011197
c1_K562_chip2_52	0.022610
c1_K562_chip2_53	0.045004
c1_K562_chip2_54	0.103575
c1_K562_chip2_55	0.009690
c1_K562_chip2_56	0.005383
c1_K562_chip2_57	0.032300
c1_K562_chip2_58	0.006675
c1_K562_chip2_59	0.033807
c1_K562_chip2_60	0.007106
c1_K562_chip2_61	0.010121
c1_K562_chip2_62	0.019165
c1_K562_chip2_63	0.009905
c1_K562_chip2_64	0.353790
c1_K562_chip2_65	0.014212
c1_K562_chip2_66	0.020672
c1_K562_chip2_67	0.139535
c1_K562_chip2_68	0.017227
c1_K562_chip2_69	0.054048
c1_K562_chip2_70	0.014643
c1_K562_chip2_71	0.061370
c1_K562_chip2_72	0.159776
c1_K562_chip2_73	0.008398
c1_K562_chip2_74	0.089147
c1_K562_chip2_75	0.006675
c1_K562_chip2_76	0.246770
c1_K562_chip2_77	0.005814
c1_K562_chip2_78	0.126830
c1_K562_chip2_79	0.073213
c1_K562_chip2_80	0.233635
c1_K562_chip2_81	0.383936
