cell	frip
c1_K562_chip1_01	0.517288
c1_K562_chip1_02	0.123374
c1_K562_chip1_03	0.156416
c1_K562_chip1_04	0.677422
c1_K562_chip1_05	0.416036
c1_K562_chip1_06	0.615971
c1_K562_chip1_07	0.731837
c1_K562_chip1_08	0.359366
c1_K562_chip1_09	0.525984
c1_K562_chip1_10	0.309461
c1_K562_chip1_11	0.074498
c1_K562_chip1_12	0.126270
c1_K562_chip1_13	0.763127
c1_K562_chip1_14	0.128871
c1_K562_chip1_15	0.558307
c1_K562_chip1_16	0.155047
c1_K562_chip1_17	0.715155
c1_K562_chip1_18	0.476184
c1_K562_chip1_19	0.523206
c1_K562_chip1_20	0.172403
c1_K562_chip1_21	0.384879
c1_K562_chip1_22	0.286775
c1_K562_chip1_23	0.601924
c1_K562_chip1_24	0.185903
c1_K562_chip1_25	0.642235
c1_K562_chip1_26	0.180623
c1_K562_chip1_27	0.221134
c1_K562_chip1_28	0.164843
c1_K562_chip1_29	0.321107
c1_K562_chip1_30	0.301178
c1_K562_chip1_31	0.314424
c1_K562_chip1_32	0.104382
c1_K562_chip1_33	0.331300
c1_K562_chip1_34	0.473058
c1_K562_chip1_35	0.254307
c1_K562_chip1_36	0.152630
c1_K562_chip1_37	0.521046
c1_K562_chip1_38	0.273389
c1_K562_chip1_39	0.586081
c1_K562_chip1_40	0.688655
c1_K562_chip1_41	0.360104
c1_K562_chip1_42	0.316074
c1_K562_chip1_43	0.168008
c1_K562_chip1_44	0.608663
c1_K562_chip1_45	0.202550
c1_K562_chip1_46	0.441529
c1_K562_chip1_47	0.145087
c1_K562_chip1_48	0.269931
c1_K562_chip1_49	0.404889
c1_K562_chip1_50	0.677783
c1_K562_chip1_51	0.466425
c1_K562_chip1_52	0.016677
c1_K562_chip1_53	0.541741
c1_K562_chip1_54	0.506277
c1_K562_chip1_55	0.502804
c1_K562_chip1_56	0.506067
c1_K562_chip1_57	0.098649
c1_K562_chip1_58	0.509545
c1_K562_chip1_59	0.279158
c1_K562_chip1_60	0.247046
c1_K562_chip1_61	0.418689
c1_K562_chip1_62	0.684449
c1_K562_chip1_63	0.449275
c1_K562_chip1_64	0.553084
c1_K562_chip1_65	0.277983
c1_K562_chip1_66	0.186793
c1_K562_chip1_67	0.110958
c1_K562_chip1_68	0.438437
c1_K562_chip1_69	0.333906
c1_K562_chip1_70	0.172149
c1_K562_chip1_71	0.171644
c1_K562_chip1_72	0.316748
c1_K562_chip1_73	0.126079
c1_K562_chip1_74	0.461855
c1_K562_chip1_75	0.550932
c1_K562_chip1_76	0.211281
c1_K562_chip1_77	0.326449
c1_K562_chip1_78	0.546710
c1_K562_chip1_79	0.729404
c1_K562_chip1_80	0.568101
c1_K562_chip1_81	0.553877
c1_K562_chip1_82	0.375656
c1_K562_chip1_83	0.278073
c1_K562_chip1_84	0.512813
c1_K562_chip1_85	0.316097
