cell	library_size
c1_K562_chip1_01	7693
c1_K562_chip1_02	50363
c1_K562_chip1_03	7544
c1_K562_chip1_04	19138
c1_K562_chip1_05	5818
c1_K562_chip1_06	27205
c1_K562_chip1_07	39737
c1_K562_chip1_08	5365
c1_K562_chip1_09	29518
c1_K562_chip1_10	12092
c1_K562_chip1_11	225543
c1_K562_chip1_12	7505
c1_K562_chip1_13	53592
c1_K562_chip1_14	14014
c1_K562_chip1_15	6037
c1_K562_chip1_16	3170
c1_K562_chip1_17	9040
c1_K562_chip1_18	7054
c1_K562_chip1_19	30983
c1_K562_chip1_20	4736
c1_K562_chip1_21	10211
c1_K562_chip1_22	1414
c1_K562_chip1_23	13775
c1_K562_chip1_24	18741
c1_K562_chip1_25	9421
c1_K562_chip1_26	191202
c1_K562_chip1_27	1572
c1_K562_chip1_28	279669
c1_K562_chip1_29	7879
c1_K562_chip1_30	10102
c1_K562_chip1_31	4839
c1_K562_chip1_32	12689
c1_K562_chip1_33	6722
c1_K562_chip1_34	2858
c1_K562_chip1_35	19679
c1_K562_chip1_36	10627
c1_K562_chip1_37	1568
c1_K562_chip1_38	42328
c1_K562_chip1_39	1092
c1_K562_chip1_40	8391
c1_K562_chip1_41	1737
c1_K562_chip1_42	8971
c1_K562_chip1_43	3107
c1_K562_chip1_44	1997
c1_K562_chip1_45	5648
c1_K562_chip1_46	2001
c1_K562_chip1_47	10604
c1_K562_chip1_48	1154
c1_K562_chip1_49	2986
c1_K562_chip1_50	8651
c1_K562_chip1_51	2755
c1_K562_chip1_52	219079
c1_K562_chip1_53	3366
c1_K562_chip1_54	14657
c1_K562_chip1_55	6598
c1_K562_chip1_56	1978
c1_K562_chip1_57	84775
c1_K562_chip1_58	5448
c1_K562_chip1_59	6722
c1_K562_chip1_60	5166
c1_K562_chip1_61	1525
c1_K562_chip1_62	10694
c1_K562_chip1_63	1380
c1_K562_chip1_64	16992
c1_K562_chip1_65	1626
c1_K562_chip1_66	6542
c1_K562_chip1_67	7602
c1_K562_chip1_68	8609
c1_K562_chip1_69	9597
c1_K562_chip1_70	1885
c1_K562_chip1_71	6831
c1_K562_chip1_72	2060
c1_K562_chip1_73	9962
c1_K562_chip1_74	8625
c1_K562_chip1_75	4398
c1_K562_chip1_76	142805
c1_K562_chip1_77	5762
c1_K562_chip1_78	15821
c1_K562_chip1_79	16994
c1_K562_chip1_80	6439
c1_K562_chip1_81	4269
c1_K562_chip1_82	4383
c1_K562_chip1_83	4702
c1_K562_chip1_84	5385
c1_K562_chip1_85	1112
c1_K562_chip1_86	1534
c1_K562_chip1_87	2564
c1_K562_chip1_88	2699
c1_K562_chip1_89	1091
c1_K562_chip1_90	10212
c1_K562_chip1_91	6753
c1_K562_chip1_92	13540
c1_K562_chip1_93	3318
c1_K562_chip1_94	308166
c1_K562_chip1_95	4583
c1_K562_chip1_96	4644
c1_K562_chip2_01	1407
c1_K562_chip2_02	7141
c1_K562_chip2_03	2050
c1_K562_chip2_04	59223
c1_K562_chip2_05	15768
c1_K562_chip2_06	8975
c1_K562_chip2_07	8907
c1_K562_chip2_08	9513
c1_K562_chip2_09	4373
c1_K562_chip2_10	2466
c1_K562_chip2_11	21302
c1_K562_chip2_12	73785
c1_K562_chip2_13	741
c1_K562_chip2_14	2517
c1_K562_chip2_15	2448
c1_K562_chip2_16	3128
c1_K562_chip2_17	2578
c1_K562_chip2_18	5014
c1_K562_chip2_19	7570
c1_K562_chip2_20	3394
c1_K562_chip2_21	3021
c1_K562_chip2_22	1842
c1_K562_chip2_23	9889
c1_K562_chip2_24	2012
c1_K562_chip2_25	3688
c1_K562_chip2_26	2681
c1_K562_chip2_27	4174
c1_K562_chip2_28	2529
c1_K562_chip2_29	598
c1_K562_chip2_30	17689
c1_K562_chip2_31	7395
c1_K562_chip2_32	3281
c1_K562_chip2_33	8778
c1_K562_chip2_34	3090
c1_K562_chip2_35	9300
c1_K562_chip2_36	1976
c1_K562_chip2_37	1823
c1_K562_chip2_38	5211
c1_K562_chip2_39	1954
c1_K562_chip2_40	30387
c1_K562_chip2_41	2500
c1_K562_chip2_42	30901
c1_K562_chip2_43	3253
c1_K562_chip2_44	1464
c1_K562_chip2_45	955
c1_K562_chip2_46	4425
c1_K562_chip2_47	1871
c1_K562_chip2_48	1106
c1_K562_chip2_49	96423
c1_K562_chip2_50	5045
c1_K562_chip2_51	2971
c1_K562_chip2_52	6083
c1_K562_chip2_53	2572
c1_K562_chip2_54	6122
c1_K562_chip2_55	8820
c1_K562_chip2_56	795
c1_K562_chip2_57	2216
c1_K562_chip2_58	2652
c1_K562_chip2_59	51466
c1_K562_chip2_60	1353
c1_K562_chip2_61	826
c1_K562_chip2_62	1366
c1_K562_chip2_63	1073
c1_K562_chip2_64	226027
c1_K562_chip2_65	2454
c1_K562_chip2_66	1988
c1_K562_chip2_67	8459
c1_K562_chip2_68	3997
c1_K562_chip2_69	3385
c1_K562_chip2_70	2311
c1_K562_chip2_71	6568
c1_K562_chip2_72	31343
c1_K562_chip2_73	2008
c1_K562_chip2_74	14752
c1_K562_chip2_75	2239
c1_K562_chip2_76	152917
c1_K562_chip2_77	1538
c1_K562_chip2_78	13683
c1_K562_chip2_79	8810
c1_K562_chip2_80	15953
c1_K562_chip2_81	42849
c1_K562_chip2_82	1942
c1_K562_chip2_83	113684
c1_K562_chip2_84	3035
c1_K562_chip2_85	866
c1_K562_chip2_86	3026
c1_K562_chip2_87	2005
c1_K562_chip2_88	2874
c1_K562_chip2_89	2764
c1_K562_chip2_90	8683
c1_K562_chip2_91	1241
c1_K562_chip2_92	767
c1_K562_chip2_93	563
c1_K562_chip2_94	3215
c1_K562_chip2_95	3449
c1_K562_chip2_96	1955
