cell	mapping_rate
c1_K562_chip1_01	94.01
c1_K562_chip1_02	95.61
c1_K562_chip1_03	93.89
c1_K562_chip1_04	96.22
c1_K562_chip1_05	92.04
c1_K562_chip1_06	96.55
c1_K562_chip1_07	96.76
c1_K562_chip1_08	92.90
c1_K562_chip1_09	96.38
c1_K562_chip1_10	94.34
c1_K562_chip1_11	95.53
c1_K562_chip1_12	85.03
c1_K562_chip1_13	96.90
c1_K562_chip1_14	94.66
c1_K562_chip1_15	94.00
c1_K562_chip1_16	88.31
c1_K562_chip1_17	95.47
c1_K562_chip1_18	94.36
c1_K562_chip1_19	96.12
c1_K562_chip1_20	91.92
c1_K562_chip1_21	94.50
c1_K562_chip1_22	71.57
c1_K562_chip1_23	96.19
c1_K562_chip1_24	95.62
c1_K562_chip1_25	95.62
c1_K562_chip1_26	95.64
c1_K562_chip1_27	70.59
c1_K562_chip1_28	95.19
c1_K562_chip1_29	94.07
c1_K562_chip1_30	94.30
c1_K562_chip1_31	91.23
c1_K562_chip1_32	95.24
c1_K562_chip1_33	94.23
c1_K562_chip1_34	88.91
c1_K562_chip1_35	95.13
c1_K562_chip1_36	95.07
c1_K562_chip1_37	80.95
c1_K562_chip1_38	94.16
c1_K562_chip1_39	73.82
c1_K562_chip1_40	95.90
c1_K562_chip1_41	81.76
c1_K562_chip1_42	94.81
c1_K562_chip1_43	82.90
c1_K562_chip1_44	85.79
c1_K562_chip1_45	91.70
c1_K562_chip1_46	85.76
c1_K562_chip1_47	95.27
c1_K562_chip1_48	77.58
c1_K562_chip1_49	92.14
c1_K562_chip1_50	95.46
c1_K562_chip1_51	91.16
c1_K562_chip1_52	91.47
c1_K562_chip1_53	92.05
c1_K562_chip1_54	95.68
c1_K562_chip1_55	94.75
c1_K562_chip1_56	88.54
c1_K562_chip1_57	94.85
c1_K562_chip1_58	83.54
c1_K562_chip1_59	91.95
c1_K562_chip1_60	89.48
c1_K562_chip1_61	78.12
c1_K562_chip1_62	95.60
c1_K562_chip1_63	78.34
c1_K562_chip1_64	96.42
c1_K562_chip1_65	79.29
c1_K562_chip1_66	93.79
c1_K562_chip1_67	92.46
c1_K562_chip1_68	94.51
c1_K562_chip1_69	94.00
c1_K562_chip1_70	83.68
c1_K562_chip1_71	93.48
c1_K562_chip1_72	89.36
c1_K562_chip1_73	94.92
c1_K562_chip1_74	95.16
c1_K562_chip1_75	92.39
c1_K562_chip1_76	95.75
c1_K562_chip1_77	92.14
c1_K562_chip1_78	95.99
c1_K562_chip1_79	96.37
c1_K562_chip1_80	94.62
c1_K562_chip1_81	93.77
c1_K562_chip1_82	90.54
c1_K562_chip1_83	90.51
c1_K562_chip1_84	91.54
c1_K562_chip1_85	63.13
c1_K562_chip1_86	73.19
c1_K562_chip1_87	87.23
c1_K562_chip1_88	89.99
c1_K562_chip1_89	71.11
c1_K562_chip1_90	94.73
c1_K562_chip1_91	93.09
c1_K562_chip1_92	94.43
c1_K562_chip1_93	87.60
c1_K562_chip1_94	94.21
c1_K562_chip1_95	91.33
c1_K562_chip1_96	92.65
c1_K562_chip2_01	84.17
c1_K562_chip2_02	94.39
c1_K562_chip2_03	88.06
c1_K562_chip2_04	95.08
c1_K562_chip2_05	95.73
c1_K562_chip2_06	95.29
c1_K562_chip2_07	95.75
c1_K562_chip2_08	94.75
c1_K562_chip2_09	91.69
c1_K562_chip2_10	90.48
c1_K562_chip2_11	96.46
c1_K562_chip2_12	95.80
c1_K562_chip2_13	52.72
c1_K562_chip2_14	84.63
c1_K562_chip2_15	87.02
c1_K562_chip2_16	90.11
c1_K562_chip2_17	90.50
c1_K562_chip2_18	92.58
c1_K562_chip2_19	91.27
c1_K562_chip2_20	90.05
c1_K562_chip2_21	83.94
c1_K562_chip2_22	88.41
c1_K562_chip2_23	94.64
c1_K562_chip2_24	86.89
c1_K562_chip2_25	90.71
c1_K562_chip2_26	73.54
c1_K562_chip2_27	91.66
c1_K562_chip2_28	87.37
c1_K562_chip2_29	69.69
c1_K562_chip2_30	95.75
c1_K562_chip2_31	91.82
c1_K562_chip2_32	88.34
c1_K562_chip2_33	94.87
c1_K562_chip2_34	91.11
c1_K562_chip2_35	95.04
c1_K562_chip2_36	87.18
c1_K562_chip2_37	80.82
c1_K562_chip2_38	86.88
c1_K562_chip2_39	79.76
c1_K562_chip2_40	95.74
c1_K562_chip2_41	89.79
c1_K562_chip2_42	95.58
c1_K562_chip2_43	82.47
c1_K562_chip2_44	71.09
c1_K562_chip2_45	61.99
c1_K562_chip2_46	92.35
c1_K562_chip2_47	87.38
c1_K562_chip2_48	81.26
c1_K562_chip2_49	95.96
c1_K562_chip2_50	93.20
c1_K562_chip2_51	92.56
c1_K562_chip2_52	94.75
c1_K562_chip2_53	90.64
c1_K562_chip2_54	93.97
c1_K562_chip2_55	95.58
c1_K562_chip2_56	67.41
c1_K562_chip2_57	87.57
c1_K562_chip2_58	91.47
c1_K562_chip2_59	96.64
c1_K562_chip2_60	85.37
c1_K562_chip2_61	49.64
c1_K562_chip2_62	70.11
c1_K562_chip2_63	59.86
c1_K562_chip2_64	95.85
c1_K562_chip2_65	88.99
c1_K562_chip2_66	87.49
c1_K562_chip2_67	90.16
c1_K562_chip2_68	89.25
c1_K562_chip2_69	85.65
c1_K562_chip2_70	84.34
c1_K562_chip2_71	94.78
c1_K562_chip2_72	95.26
c1_K562_chip2_73	89.23
c1_K562_chip2_74	95.74
c1_K562_chip2_75	89.97
c1_K562_chip2_76	95.86
c1_K562_chip2_77	86.71
c1_K562_chip2_78	96.04
c1_K562_chip2_79	94.90
c1_K562_chip2_80	95.40
c1_K562_chip2_81	95.90
c1_K562_chip2_82	89.71
c1_K562_chip2_83	95.63
c1_K562_chip2_84	91.60
c1_K562_chip2_85	56.67
c1_K562_chip2_86	85.45
c1_K562_chip2_87	80.94
c1_K562_chip2_88	90.85
c1_K562_chip2_89	87.83
c1_K562_chip2_90	94.35
c1_K562_chip2_91	72.21
c1_K562_chip2_92	66.03
c1_K562_chip2_93	68.27
c1_K562_chip2_94	90.76
c1_K562_chip2_95	89.47
c1_K562_chip2_96	87.73
