cell	mt_content
c1_K562_chip1_01	0.620694
c1_K562_chip1_02	0.058714
c1_K562_chip1_03	0.077678
c1_K562_chip1_04	0.836399
c1_K562_chip1_05	0.491750
c1_K562_chip1_06	0.755266
c1_K562_chip1_07	0.902786
c1_K562_chip1_08	0.393849
c1_K562_chip1_09	0.598889
c1_K562_chip1_10	0.351720
c1_K562_chip1_11	0.079794
c1_K562_chip1_12	0.139720
c1_K562_chip1_13	0.951467
c1_K562_chip1_14	0.078992
c1_K562_chip1_15	0.633758
c1_K562_chip1_16	0.106309
c1_K562_chip1_17	0.875664
c1_K562_chip1_18	0.535583
c1_K562_chip1_19	0.608850
c1_K562_chip1_20	0.128801
c1_K562_chip1_21	0.394574
c1_K562_chip1_22	0.318246
c1_K562_chip1_23	0.713466
c1_K562_chip1_24	0.116056
c1_K562_chip1_25	0.768071
c1_K562_chip1_26	0.213879
c1_K562_chip1_27	0.256583
c1_K562_chip1_28	0.187797
c1_K562_chip1_29	0.385709
c1_K562_chip1_30	0.291823
c1_K562_chip1_31	0.301095
c1_K562_chip1_32	0.029396
c1_K562_chip1_33	0.328920
c1_K562_chip1_34	0.575227
c1_K562_chip1_35	0.278622
c1_K562_chip1_36	0.089113
c1_K562_chip1_37	0.617347
c1_K562_chip1_38	0.319836
c1_K562_chip1_39	0.704212
c1_K562_chip1_40	0.850554
c1_K562_chip1_41	0.432355
c1_K562_chip1_42	0.253706
c1_K562_chip1_43	0.044094
c1_K562_chip1_44	0.721082
c1_K562_chip1_45	0.110482
c1_K562_chip1_46	0.532234
c1_K562_chip1_47	0.059694
c1_K562_chip1_48	0.281629
c1_K562_chip1_49	0.480576
c1_K562_chip1_50	0.812507
c1_K562_chip1_51	0.552087
c1_K562_chip1_52	0.013128
c1_K562_chip1_53	0.650624
c1_K562_chip1_54	0.607287
c1_K562_chip1_55	0.571537
c1_K562_chip1_56	0.587462
c1_K562_chip1_57	0.118136
c1_K562_chip1_58	0.604258
c1_K562_chip1_59	0.283695
c1_K562_chip1_60	0.269998
c1_K562_chip1_61	0.468197
c1_K562_chip1_62	0.829344
c1_K562_chip1_63	0.518116
c1_K562_chip1_64	0.638124
c1_K562_chip1_65	0.319188
c1_K562_chip1_66	0.072149
c1_K562_chip1_67	0.061431
c1_K562_chip1_68	0.478801
c1_K562_chip1_69	0.319266
c1_K562_chip1_70	0.158090
c1_K562_chip1_71	0.074660
c1_K562_chip1_72	0.326214
c1_K562_chip1_73	0.050492
c1_K562_chip1_74	0.542145
c1_K562_chip1_75	0.651887
c1_K562_chip1_76	0.246308
c1_K562_chip1_77	0.370878
c1_K562_chip1_78	0.647367
c1_K562_chip1_79	0.892433
c1_K562_chip1_80	0.624476
c1_K562_chip1_81	0.649098
c1_K562_chip1_82	0.438512
c1_K562_chip1_83	0.309868
c1_K562_chip1_84	0.606128
c1_K562_chip1_85	0.376799
c1_K562_chip1_86	0.389179
c1_K562_chip1_87	0.643136
c1_K562_chip1_88	0.595776
c1_K562_chip1_89	0.340972
c1_K562_chip1_90	0.315707
c1_K562_chip1_91	0.707241
c1_K562_chip1_92	0.111595
c1_K562_chip1_93	0.550633
c1_K562_chip1_94	0.126919
c1_K562_chip1_95	0.024656
c1_K562_chip1_96	0.429587
c1_K562_chip2_01	0.452736
c1_K562_chip2_02	0.495169
c1_K562_chip2_03	0.644390
c1_K562_chip2_04	0.130574
c1_K562_chip2_05	0.023212
c1_K562_chip2_06	0.677660
c1_K562_chip2_07	0.672393
c1_K562_chip2_08	0.051614
c1_K562_chip2_09	0.171964
c1_K562_chip2_10	0.729927
c1_K562_chip2_11	0.869965
c1_K562_chip2_12	0.150464
c1_K562_chip2_13	0.306343
c1_K562_chip2_14	0.470401
c1_K562_chip2_15	0.732435
c1_K562_chip2_16	0.045716
c1_K562_chip2_17	0.265710
c1_K562_chip2_18	0.097726
c1_K562_chip2_19	0.129194
c1_K562_chip2_20	0.784325
c1_K562_chip2_21	0.119828
c1_K562_chip2_22	0.056460
c1_K562_chip2_23	0.080190
c1_K562_chip2_24	0.240557
c1_K562_chip2_25	0.425163
c1_K562_chip2_26	0.053469
c1_K562_chip2_27	0.425593
c1_K562_chip2_28	0.150257
c1_K562_chip2_29	0.254181
c1_K562_chip2_30	0.675448
c1_K562_chip2_31	0.200541
c1_K562_chip2_32	0.360123
c1_K562_chip2_33	0.618820
c1_K562_chip2_34	0.763430
c1_K562_chip2_35	0.823763
c1_K562_chip2_36	0.646761
c1_K562_chip2_37	0.615469
c1_K562_chip2_38	0.114565
c1_K562_chip2_39	0.734391
c1_K562_chip2_40	0.011847
c1_K562_chip2_41	0.146400
c1_K562_chip2_42	0.170998
c1_K562_chip2_43	0.245927
c1_K562_chip2_44	0.086066
c1_K562_chip2_45	0.188482
c1_K562_chip2_46	0.595028
c1_K562_chip2_47	0.115446
c1_K562_chip2_48	0.228752
c1_K562_chip2_49	0.114890
c1_K562_chip2_50	0.400000
c1_K562_chip2_51	0.714238
c1_K562_chip2_52	0.780865
c1_K562_chip2_53	0.379082
c1_K562_chip2_54	0.378634
c1_K562_chip2_55	0.875057
c1_K562_chip2_56	0.121212
c1_K562_chip2_57	0.363267
c1_K562_chip2_58	0.786199
c1_K562_chip2_59	0.738254
c1_K562_chip2_60	0.570584
c1_K562_chip2_61	0.377724
c1_K562_chip2_62	0.349927
c1_K562_chip2_63	0.259087
c1_K562_chip2_64	0.088228
c1_K562_chip2_65	0.334963
c1_K562_chip2_66	0.152414
c1_K562_chip2_67	0.102258
c1_K562_chip2_68	0.788842
c1_K562_chip2_69	0.387001
c1_K562_chip2_70	0.184768
c1_K562_chip2_71	0.590591
c1_K562_chip2_72	0.185815
c1_K562_chip2_73	0.591135
c1_K562_chip2_74	0.183636
c1_K562_chip2_75	0.759714
c1_K562_chip2_76	0.142463
c1_K562_chip2_77	0.518856
c1_K562_chip2_78	0.348389
c1_K562_chip2_79	0.572077
c1_K562_chip2_80	0.173760
c1_K562_chip2_81	0.030176
c1_K562_chip2_82	0.707003
c1_K562_chip2_83	0.223215
c1_K562_chip2_84	0.768040
c1_K562_chip2_85	0.324480
c1_K562_chip2_86	0.165235
c1_K562_chip2_87	0.174564
c1_K562_chip2_88	0.478079
c1_K562_chip2_89	0.177279
c1_K562_chip2_90	0.361972
c1_K562_chip2_91	0.281225
c1_K562_chip2_92	0.518905
c1_K562_chip2_93	0.223801
c1_K562_chip2_94	0.568274
c1_K562_chip2_95	0.159467
c1_K562_chip2_96	0.142199
