cell	sequencing_depth
c1_K562_chip1_01	123268
c1_K562_chip1_02	904702
c1_K562_chip1_03	125619
c1_K562_chip1_04	431647
c1_K562_chip1_05	80146
c1_K562_chip1_06	509179
c1_K562_chip1_07	941604
c1_K562_chip1_08	66587
c1_K562_chip1_09	692399
c1_K562_chip1_10	148519
c1_K562_chip1_11	4913537
c1_K562_chip1_12	35247
c1_K562_chip1_13	3059672
c1_K562_chip1_14	480450
c1_K562_chip1_15	223500
c1_K562_chip1_16	67626
c1_K562_chip1_17	365372
c1_K562_chip1_18	264835
c1_K562_chip1_19	1266504
c1_K562_chip1_20	113432
c1_K562_chip1_21	373515
c1_K562_chip1_22	25104
c1_K562_chip1_23	673055
c1_K562_chip1_24	691749
c1_K562_chip1_25	190796
c1_K562_chip1_26	4394909
c1_K562_chip1_27	7142
c1_K562_chip1_28	6337100
c1_K562_chip1_29	90306
c1_K562_chip1_30	159465
c1_K562_chip1_31	74762
c1_K562_chip1_32	197110
c1_K562_chip1_33	112711
c1_K562_chip1_34	38471
c1_K562_chip1_35	235373
c1_K562_chip1_36	162997
c1_K562_chip1_37	47270
c1_K562_chip1_38	1778131
c1_K562_chip1_39	25935
c1_K562_chip1_40	275257
c1_K562_chip1_41	39880
c1_K562_chip1_42	291600
c1_K562_chip1_43	50912
c1_K562_chip1_44	61486
c1_K562_chip1_45	158137
c1_K562_chip1_46	52935
c1_K562_chip1_47	277805
c1_K562_chip1_48	26028
c1_K562_chip1_49	54567
c1_K562_chip1_50	167907
c1_K562_chip1_51	44152
c1_K562_chip1_52	5624491
c1_K562_chip1_53	64803
c1_K562_chip1_54	350819
c1_K562_chip1_55	130878
c1_K562_chip1_56	25486
c1_K562_chip1_57	1953142
c1_K562_chip1_58	89373
c1_K562_chip1_59	84702
c1_K562_chip1_60	46429
c1_K562_chip1_61	39738
c1_K562_chip1_62	430370
c1_K562_chip1_63	35720
c1_K562_chip1_64	760005
c1_K562_chip1_65	41638
c1_K562_chip1_66	198900
c1_K562_chip1_67	218172
c1_K562_chip1_68	289262
c1_K562_chip1_69	333793
c1_K562_chip1_70	38202
c1_K562_chip1_71	172610
c1_K562_chip1_72	55097
c1_K562_chip1_73	167716
c1_K562_chip1_74	167212
c1_K562_chip1_75	69535
c1_K562_chip1_76	2926943
c1_K562_chip1_77	62523
c1_K562_chip1_78	345696
c1_K562_chip1_79	422014
c1_K562_chip1_80	86656
c1_K562_chip1_81	80967
c1_K562_chip1_82	48596
c1_K562_chip1_83	56516
c1_K562_chip1_84	65030
c1_K562_chip1_85	27917
c1_K562_chip1_86	40627
c1_K562_chip1_87	89186
c1_K562_chip1_88	86180
c1_K562_chip1_89	21426
c1_K562_chip1_90	314158
c1_K562_chip1_91	252803
c1_K562_chip1_92	394052
c1_K562_chip1_93	97666
c1_K562_chip1_94	9351113
c1_K562_chip1_95	157558
c1_K562_chip1_96	165366
c1_K562_chip2_01	16798
c1_K562_chip2_02	133689
c1_K562_chip2_03	26743
c1_K562_chip2_04	1110792
c1_K562_chip2_05	253121
c1_K562_chip2_06	177255
c1_K562_chip2_07	198034
c1_K562_chip2_08	117652
c1_K562_chip2_09	54961
c1_K562_chip2_10	45243
c1_K562_chip2_11	478683
c1_K562_chip2_12	1543753
c1_K562_chip2_13	21648
c1_K562_chip2_14	81023
c1_K562_chip2_15	111034
