cell	uniq_frags
c1_K562_chip1_01	2918.000000
c1_K562_chip1_02	47406.000000
c1_K562_chip1_03	6958.000000
c1_K562_chip1_04	3131.000000
c1_K562_chip1_05	2957.000000
c1_K562_chip1_06	6658.000000
c1_K562_chip1_07	3863.000000
c1_K562_chip1_08	3252.000000
c1_K562_chip1_09	11840.000000
c1_K562_chip1_10	7839.000000
c1_K562_chip1_11	207546.000000
c1_K562_chip1_12	6268.000000
c1_K562_chip1_13	2601.000000
c1_K562_chip1_14	12907.000000
c1_K562_chip1_15	2211.000000
c1_K562_chip1_16	2833.000000
c1_K562_chip1_17	1124.000000
c1_K562_chip1_18	3276.000000
c1_K562_chip1_19	12119.000000
c1_K562_chip1_20	4126.000000
c1_K562_chip1_21	6182.000000
c1_K562_chip1_22	964.000000
c1_K562_chip1_23	3947.000000
c1_K562_chip1_24	16566.000000
c1_K562_chip1_25	2185.000000
c1_K562_chip1_26	150308.000000
c1_K562_chip1_27	1101.000000
c1_K562_chip1_28	227148.000000
c1_K562_chip1_29	4840.000000
c1_K562_chip1_30	7154.000000
c1_K562_chip1_31	3382.000000
c1_K562_chip1_32	12316.000000
c1_K562_chip1_33	4511.000000
c1_K562_chip1_34	1214.000000
c1_K562_chip1_35	14196.000000
c1_K562_chip1_36	9680.000000
c1_K562_chip1_37	600.000000
c1_K562_chip1_38	28790.000000
c1_K562_chip1_39	323.000000
c1_K562_chip1_40	1254.000000
c1_K562_chip1_41	986.000000
c1_K562_chip1_42	6695.000000
c1_K562_chip1_43	2970.000000
c1_K562_chip1_44	557.000000
c1_K562_chip1_45	5024.000000
c1_K562_chip1_46	936.000000
c1_K562_chip1_47	9971.000000
c1_K562_chip1_48	829.000000
c1_K562_chip1_49	1551.000000
c1_K562_chip1_50	1622.000000
c1_K562_chip1_51	1234.000000
c1_K562_chip1_52	216203.000000
c1_K562_chip1_53	1176.000000
c1_K562_chip1_54	5756.000000
c1_K562_chip1_55	2827.000000
c1_K562_chip1_56	816.000000
c1_K562_chip1_57	74760.000000
c1_K562_chip1_58	2156.000000
c1_K562_chip1_59	4815.000000
c1_K562_chip1_60	3769.000000
