cell	dup_level
c1_mESC_chip1_01	0.875915
c1_mESC_chip1_02	0.891665
c1_mESC_chip1_03	0.882618
c1_mESC_chip1_04	0.897636
c1_mESC_chip1_05	0.897827
c1_mESC_chip1_06	0.903836
c1_mESC_chip1_07	0.836811
c1_mESC_chip1_08	0.850929
c1_mESC_chip1_09	0.905257
c1_mESC_chip1_10	0.880231
c1_mESC_chip1_11	0.908875
c1_mESC_chip1_12	0.889977
c1_mESC_chip1_13	0.927368
c1_mESC_chip1_14	0.918052
c1_mESC_chip1_15	0.926401
c1_mESC_chip1_16	0
c1_mESC_chip1_17	0.887049
c1_mESC_chip1_18	0.930002
c1_mESC_chip1_19	0.910746
c1_mESC_chip1_20	0.92137
c1_mESC_chip1_21	0.866723
c1_mESC_chip1_22	0.84239
c1_mESC_chip1_23	0.915585
c1_mESC_chip1_24	0.77753
c1_mESC_chip1_25	0.880657
c1_mESC_chip1_26	0.898594
c1_mESC_chip1_27	0.871649
c1_mESC_chip1_28	0.879886
c1_mESC_chip1_29	0.89845
c1_mESC_chip1_30	0.880877
c1_mESC_chip1_31	0.881397
c1_mESC_chip1_32	0.871488
c1_mESC_chip1_33	0.860525
c1_mESC_chip1_34	0.876036
c1_mESC_chip1_35	0.902686
c1_mESC_chip1_36	0.916138
c1_mESC_chip1_37	0.901602
c1_mESC_chip1_38	0.876656
c1_mESC_chip1_39	0.92028
c1_mESC_chip1_40	0.893555
c1_mESC_chip1_41	0.878712
c1_mESC_chip1_42	0.802447
c1_mESC_chip1_43	0.927064
c1_mESC_chip1_44	0.883534
c1_mESC_chip1_45	0.929778
c1_mESC_chip1_46	0.910949
c1_mESC_chip1_47	0.917184
c1_mESC_chip1_48	0
c1_mESC_chip1_49	0.889077
c1_mESC_chip1_50	0.89689
c1_mESC_chip1_51	0.862007
c1_mESC_chip1_52	0.898774
c1_mESC_chip1_53	0.886036
c1_mESC_chip1_54	0.828267
c1_mESC_chip1_55	0.862542
c1_mESC_chip1_56	0.89116
c1_mESC_chip1_57	0.90179
c1_mESC_chip1_58	0.887028
c1_mESC_chip1_59	0.849322
c1_mESC_chip1_60	0.869933
c1_mESC_chip1_61	0.918556
c1_mESC_chip1_62	0.858923
c1_mESC_chip1_63	0.89013
c1_mESC_chip1_64	0.92087
c1_mESC_chip1_65	0.913072
c1_mESC_chip1_66	0.90826
c1_mESC_chip1_67	0.907352
c1_mESC_chip1_68	0.9045
c1_mESC_chip1_69	0.928287
c1_mESC_chip1_70	0.897575
c1_mESC_chip1_71	0.905647
c1_mESC_chip1_72	0.908911
c1_mESC_chip1_73	0.864693
c1_mESC_chip1_74	0.881296
c1_mESC_chip1_75	0.901217
c1_mESC_chip1_76	0.881058
c1_mESC_chip1_77	0.887973
c1_mESC_chip1_78	0.885262
c1_mESC_chip1_79	0.8163
c1_mESC_chip1_80	0.84426
c1_mESC_chip1_81	0.843676
c1_mESC_chip1_82	0.89828
c1_mESC_chip1_83	0.876891
c1_mESC_chip1_84	0.901466
c1_mESC_chip1_85	0.91475
c1_mESC_chip1_86	0.901068
c1_mESC_chip1_87	0.909825
c1_mESC_chip1_88	0.918847
c1_mESC_chip1_89	0.851152
c1_mESC_chip1_90	0.884031
c1_mESC_chip1_91	0.930377
c1_mESC_chip1_92	0.910428
c1_mESC_chip1_93	0.915996
c1_mESC_chip1_94	0.90844
c1_mESC_chip1_95	0.912542
c1_mESC_chip1_96	0.912647
c1_mESC_chip2_01	0.881063
c1_mESC_chip2_02	0.856723
c1_mESC_chip2_03	0.865854
c1_mESC_chip2_04	0.907175
c1_mESC_chip2_05	0.892382
c1_mESC_chip2_06	0.881837
c1_mESC_chip2_07	0.821589
c1_mESC_chip2_08	0.861415
c1_mESC_chip2_09	0.901819
c1_mESC_chip2_10	0.891207
c1_mESC_chip2_11	0.908091
c1_mESC_chip2_12	0.912921
c1_mESC_chip2_13	0.901828
c1_mESC_chip2_14	0.912465
c1_mESC_chip2_15	0.892446
c1_mESC_chip2_16	0.928613
c1_mESC_chip2_17	0.893355
c1_mESC_chip2_18	0.906275
c1_mESC_chip2_19	0.943311
c1_mESC_chip2_20	0.915515
c1_mESC_chip2_21	0.912572
c1_mESC_chip2_22	0.919292
c1_mESC_chip2_23	0.816615
c1_mESC_chip2_24	0.90936
c1_mESC_chip2_25	0.893881
c1_mESC_chip2_26	0.895219
c1_mESC_chip2_27	0.897858
