cell	frac_open
c1_mESC_chip1_01	0.135335
c1_mESC_chip1_02	0.275720
c1_mESC_chip1_03	0.169007
c1_mESC_chip1_04	0.190034
c1_mESC_chip1_05	0.076659
c1_mESC_chip1_06	0.316306
c1_mESC_chip1_07	0.076981
c1_mESC_chip1_08	0.217832
c1_mESC_chip1_09	0.337477
c1_mESC_chip1_10	0.073291
c1_mESC_chip1_11	0.285929
c1_mESC_chip1_12	0.052443
c1_mESC_chip1_13	0.049541
c1_mESC_chip1_14	0.159908
c1_mESC_chip1_15	0.375376
c1_mESC_chip1_16	0.001146
c1_mESC_chip1_17	0.063978
c1_mESC_chip1_18	0.148481
c1_mESC_chip1_19	0.163490
c1_mESC_chip1_20	0.172518
c1_mESC_chip1_21	0.041983
c1_mESC_chip1_22	0.026293
c1_mESC_chip1_23	0.105531
c1_mESC_chip1_24	0.021601
c1_mESC_chip1_25	0.057888
c1_mESC_chip1_26	0.228794
c1_mESC_chip1_27	0.120612
c1_mESC_chip1_28	0.030198
c1_mESC_chip1_29	0.088516
c1_mESC_chip1_30	0.058783
c1_mESC_chip1_31	0.492119
c1_mESC_chip1_32	0.136624
c1_mESC_chip1_33	0.193151
c1_mESC_chip1_34	0.051297
c1_mESC_chip1_35	0.093208
c1_mESC_chip1_36	0.095358
c1_mESC_chip1_37	0.090772
c1_mESC_chip1_38	0.050652
c1_mESC_chip1_39	0.195694
c1_mESC_chip1_40	0.113483
c1_mESC_chip1_41	0.061327
c1_mESC_chip1_42	0.042664
c1_mESC_chip1_43	0.400129
c1_mESC_chip1_44	0.079345
c1_mESC_chip1_45	0.062796
c1_mESC_chip1_46	0.140851
c1_mESC_chip1_47	0.128528
c1_mESC_chip1_48	0.000537
c1_mESC_chip1_49	0.134009
c1_mESC_chip1_50	0.162093
c1_mESC_chip1_51	0.095501
c1_mESC_chip1_52	0.146189
c1_mESC_chip1_53	0.120075
c1_mESC_chip1_54	0.080277
c1_mESC_chip1_55	0.119286
c1_mESC_chip1_56	0.260102
c1_mESC_chip1_57	0.245630
c1_mESC_chip1_58	0.090128
c1_mESC_chip1_59	0.013075
c1_mESC_chip1_60	0.078091
c1_mESC_chip1_61	0.138236
c1_mESC_chip1_62	0.036717
c1_mESC_chip1_63	0.078199
c1_mESC_chip1_64	0.184984
c1_mESC_chip1_65	0.187670
c1_mESC_chip1_66	0.119000
c1_mESC_chip1_67	0.150380
c1_mESC_chip1_68	0.099011
c1_mESC_chip1_69	0.118140
c1_mESC_chip1_70	0.143824
c1_mESC_chip1_71	0.085614
c1_mESC_chip1_72	0.106498
c1_mESC_chip1_73	0.105352
c1_mESC_chip1_74	0.314193
c1_mESC_chip1_75	0.208160
c1_mESC_chip1_76	0.034102
c1_mESC_chip1_77	0.085184
c1_mESC_chip1_78	0.099871
c1_mESC_chip1_79	0.057960
c1_mESC_chip1_80	0.128170
c1_mESC_chip1_81	0.087548
c1_mESC_chip1_82	0.163383
c1_mESC_chip1_83	0.079524
c1_mESC_chip1_84	0.078521
c1_mESC_chip1_85	0.221593
c1_mESC_chip1_86	0.086832
c1_mESC_chip1_87	0.113340
c1_mESC_chip1_88	0.248066
c1_mESC_chip1_89	0.103955
c1_mESC_chip1_90	0.110367
c1_mESC_chip1_91	0.071035
c1_mESC_chip1_92	0.102916
c1_mESC_chip1_93	0.134976
c1_mESC_chip1_94	0.166929
c1_mESC_chip1_95	0.228937
c1_mESC_chip1_96	0.198309
c1_mESC_chip2_01	0.161843
c1_mESC_chip2_02	0.098796
c1_mESC_chip2_03	0.072754
c1_mESC_chip2_04	0.126487
c1_mESC_chip2_05	0.126128
c1_mESC_chip2_06	0.116886
c1_mESC_chip2_07	0.048718
c1_mESC_chip2_08	0.079954
