cell	frip
c1_mESC_chip1_01	0.261296
c1_mESC_chip1_02	0.156166
c1_mESC_chip1_03	0.242936
c1_mESC_chip1_04	0.246101
c1_mESC_chip1_05	0.193413
c1_mESC_chip1_06	0.212182
c1_mESC_chip1_07	0.173038
c1_mESC_chip1_08	0.270447
c1_mESC_chip1_09	0.117092
c1_mESC_chip1_10	0.235191
c1_mESC_chip1_11	0.055253
c1_mESC_chip1_12	0.263666
c1_mESC_chip1_13	0.549226
c1_mESC_chip1_14	0.364285
c1_mESC_chip1_15	0.191049
c1_mESC_chip1_16	0.221154
c1_mESC_chip1_17	0.186611
c1_mESC_chip1_18	0.465640
c1_mESC_chip1_19	0.187976
c1_mESC_chip1_20	0.257682
c1_mESC_chip1_21	0.306594
c1_mESC_chip1_22	0.327843
c1_mESC_chip1_23	0.266138
c1_mESC_chip1_24	0.302742
c1_mESC_chip1_25	0.341924
c1_mESC_chip1_26	0.117984
c1_mESC_chip1_27	0.214306
c1_mESC_chip1_28	0.194401
c1_mESC_chip1_29	0.362540
c1_mESC_chip1_30	0.167669
c1_mESC_chip1_31	0.073437
c1_mESC_chip1_32	0.232835
c1_mESC_chip1_33	0.285227
c1_mESC_chip1_34	0.198615
c1_mESC_chip1_35	0.275755
c1_mESC_chip1_36	0.261384
c1_mESC_chip1_37	0.240347
c1_mESC_chip1_38	0.221878
c1_mESC_chip1_39	0.244259
c1_mESC_chip1_40	0.301347
c1_mESC_chip1_41	0.226250
c1_mESC_chip1_42	0.234867
c1_mESC_chip1_43	0.129753
c1_mESC_chip1_44	0.205291
c1_mESC_chip1_45	0.120034
c1_mESC_chip1_46	0.219131
c1_mESC_chip1_47	0.275411
c1_mESC_chip1_48	0.195238
c1_mESC_chip1_49	0.237926
c1_mESC_chip1_50	0.287094
c1_mESC_chip1_51	0.280091
c1_mESC_chip1_52	0.182054
c1_mESC_chip1_53	0.218126
c1_mESC_chip1_54	0.281295
c1_mESC_chip1_55	0.193869
c1_mESC_chip1_56	0.232529
c1_mESC_chip1_57	0.163768
c1_mESC_chip1_58	0.178379
c1_mESC_chip1_59	0.231299
c1_mESC_chip1_60	0.229645
c1_mESC_chip1_61	0.201519
c1_mESC_chip1_62	0.222507
c1_mESC_chip1_63	0.227774
c1_mESC_chip1_64	0.228666
c1_mESC_chip1_65	0.196873
c1_mESC_chip1_66	0.155752
c1_mESC_chip1_67	0.243208
c1_mESC_chip1_68	0.172420
c1_mESC_chip1_69	0.358836
