cell	library_size
c1_mESC_chip1_01	28072
c1_mESC_chip1_02	107024
c1_mESC_chip1_03	30195
c1_mESC_chip1_04	50528
c1_mESC_chip1_05	16943
c1_mESC_chip1_06	92128
c1_mESC_chip1_07	16254
c1_mESC_chip1_08	32256
c1_mESC_chip1_09	166395
c1_mESC_chip1_10	13643
c1_mESC_chip1_11	273833
c1_mESC_chip1_12	9642
c1_mESC_chip1_13	17440
c1_mESC_chip1_14	39933
c1_mESC_chip1_15	115023
c1_mESC_chip1_16	
c1_mESC_chip1_17	13146
c1_mESC_chip1_18	40861
c1_mESC_chip1_19	34273
c1_mESC_chip1_20	41720
c1_mESC_chip1_21	9984
c1_mESC_chip1_22	6386
c1_mESC_chip1_23	25049
c1_mESC_chip1_24	4945
c1_mESC_chip1_25	12632
c1_mESC_chip1_26	82439
c1_mESC_chip1_27	21188
c1_mESC_chip1_28	7699
c1_mESC_chip1_29	19454
c1_mESC_chip1_30	11474
c1_mESC_chip1_31	513164
c1_mESC_chip1_32	21870
c1_mESC_chip1_33	30397
c1_mESC_chip1_34	10186
c1_mESC_chip1_35	18074
c1_mESC_chip1_36	18052
c1_mESC_chip1_37	16886
c1_mESC_chip1_38	10022
c1_mESC_chip1_39	36928
c1_mESC_chip1_40	23381
c1_mESC_chip1_41	12719
c1_mESC_chip1_42	7965
c1_mESC_chip1_43	259975
c1_mESC_chip1_44	13590
c1_mESC_chip1_45	37631
c1_mESC_chip1_46	24636
c1_mESC_chip1_47	28472
c1_mESC_chip1_48	
c1_mESC_chip1_49	23854
c1_mESC_chip1_50	40837
c1_mESC_chip1_51	16652
c1_mESC_chip1_52	31596
c1_mESC_chip1_53	21376
c1_mESC_chip1_54	13196
c1_mESC_chip1_55	32103
c1_mESC_chip1_56	59863
c1_mESC_chip1_57	70892
c1_mESC_chip1_58	16694
c1_mESC_chip1_59	3560
c1_mESC_chip1_60	16330
c1_mESC_chip1_61	31203
c1_mESC_chip1_62	8600
c1_mESC_chip1_63	13319
c1_mESC_chip1_64	46452
c1_mESC_chip1_65	35081
c1_mESC_chip1_66	38128
c1_mESC_chip1_67	28305
c1_mESC_chip1_68	20801
c1_mESC_chip1_69	31559
c1_mESC_chip1_70	25634
c1_mESC_chip1_71	17278
c1_mESC_chip1_72	19817
c1_mESC_chip1_73	20740
c1_mESC_chip1_74	399690
c1_mESC_chip1_75	51035
c1_mESC_chip1_76	10556
c1_mESC_chip1_77	17600
c1_mESC_chip1_78	21699
c1_mESC_chip1_79	13335
c1_mESC_chip1_80	24196
c1_mESC_chip1_81	18677
c1_mESC_chip1_82	26267
c1_mESC_chip1_83	14595
c1_mESC_chip1_84	15973
c1_mESC_chip1_85	41207
c1_mESC_chip1_86	18691
c1_mESC_chip1_87	21652
c1_mESC_chip1_88	76707
c1_mESC_chip1_89	16585
c1_mESC_chip1_90	22986
c1_mESC_chip1_91	33571
c1_mESC_chip1_92	22779
c1_mESC_chip1_93	45822
c1_mESC_chip1_94	40651
c1_mESC_chip1_95	53456
c1_mESC_chip1_96	44513
c1_mESC_chip2_01	33044
c1_mESC_chip2_02	20561
c1_mESC_chip2_03	16413
c1_mESC_chip2_04	28343
c1_mESC_chip2_05	27731
c1_mESC_chip2_06	31630
c1_mESC_chip2_07	11095
c1_mESC_chip2_08	13944
c1_mESC_chip2_09	119785
c1_mESC_chip2_10	17872
c1_mESC_chip2_11	160306
c1_mESC_chip2_12	24034
c1_mESC_chip2_13	16366
c1_mESC_chip2_14	37366
c1_mESC_chip2_15	14017
c1_mESC_chip2_16	34044
c1_mESC_chip2_17	43175
c1_mESC_chip2_18	51938
c1_mESC_chip2_19	48338
c1_mESC_chip2_20	33041
c1_mESC_chip2_21	24753
c1_mESC_chip2_22	124984
c1_mESC_chip2_23	12815
c1_mESC_chip2_24	38267
c1_mESC_chip2_25	28430
c1_mESC_chip2_26	36925
c1_mESC_chip2_27	34320
c1_mESC_chip2_28	20437
c1_mESC_chip2_29	39402
c1_mESC_chip2_30	12118
c1_mESC_chip2_31	287069
c1_mESC_chip2_32	15410
c1_mESC_chip2_33	21524
c1_mESC_chip2_34	14868
c1_mESC_chip2_35	52208
c1_mESC_chip2_36	132738
c1_mESC_chip2_37	100330
c1_mESC_chip2_38	98294
c1_mESC_chip2_39	34983
c1_mESC_chip2_40	14125
c1_mESC_chip2_41	83308
c1_mESC_chip2_42	87396
c1_mESC_chip2_43	191722
c1_mESC_chip2_44	20273
c1_mESC_chip2_45	53087
c1_mESC_chip2_46	7840
c1_mESC_chip2_47	25722
c1_mESC_chip2_48	11779
c1_mESC_chip2_49	143469
c1_mESC_chip2_50	61344
c1_mESC_chip2_51	58369
c1_mESC_chip2_52	18756
c1_mESC_chip2_53	16082
c1_mESC_chip2_54	65928
c1_mESC_chip2_55	20205
c1_mESC_chip2_56	23420
c1_mESC_chip2_57	20566
c1_mESC_chip2_58	18534
c1_mESC_chip2_59	25238
c1_mESC_chip2_60	47851
c1_mESC_chip2_61	29405
c1_mESC_chip2_62	47615
c1_mESC_chip2_63	19064
c1_mESC_chip2_64	23946
c1_mESC_chip2_65	25071
c1_mESC_chip2_66	8131
c1_mESC_chip2_67	17600
c1_mESC_chip2_68	40824
c1_mESC_chip2_69	8622
c1_mESC_chip2_70	41293
c1_mESC_chip2_71	36865
c1_mESC_chip2_72	18928
c1_mESC_chip2_73	32473
c1_mESC_chip2_74	14506
c1_mESC_chip2_75	44695
c1_mESC_chip2_76	14488
c1_mESC_chip2_77	17421
c1_mESC_chip2_78	136608
c1_mESC_chip2_79	471367
c1_mESC_chip2_80	23510
c1_mESC_chip2_81	105286
c1_mESC_chip2_82	10825
c1_mESC_chip2_83	2296
c1_mESC_chip2_84	21897
c1_mESC_chip2_85	26390
c1_mESC_chip2_86	241188
c1_mESC_chip2_87	22521
c1_mESC_chip2_88	8549
c1_mESC_chip2_89	20859
c1_mESC_chip2_90	16552
c1_mESC_chip2_91	8577
c1_mESC_chip2_92	21690
c1_mESC_chip2_93	81532
c1_mESC_chip2_94	15235
c1_mESC_chip2_95	5670
c1_mESC_chip2_96	16637
