cell	mapping_rate
c1_mESC_chip1_01	92.53
c1_mESC_chip1_02	93.36
c1_mESC_chip1_03	92.75
c1_mESC_chip1_04	93.67
c1_mESC_chip1_05	92.36
c1_mESC_chip1_06	91.32
c1_mESC_chip1_07	90.49
c1_mESC_chip1_08	91.33
c1_mESC_chip1_09	91.79
c1_mESC_chip1_10	91.51
c1_mESC_chip1_11	92.05
c1_mESC_chip1_12	90.22
c1_mESC_chip1_13	95.94
c1_mESC_chip1_14	93.75
c1_mESC_chip1_15	91.46
c1_mESC_chip1_16	65.25
c1_mESC_chip1_17	90.95
c1_mESC_chip1_18	95.03
c1_mESC_chip1_19	92.11
c1_mESC_chip1_20	92.32
c1_mESC_chip1_21	92.04
c1_mESC_chip1_22	91.97
c1_mESC_chip1_23	93.67
c1_mESC_chip1_24	90.12
c1_mESC_chip1_25	93.32
c1_mESC_chip1_26	90.84
c1_mESC_chip1_27	91.04
c1_mESC_chip1_28	90.49
c1_mESC_chip1_29	92.90
c1_mESC_chip1_30	90.24
c1_mESC_chip1_31	90.67
c1_mESC_chip1_32	91.73
c1_mESC_chip1_33	87.22
c1_mESC_chip1_34	90.54
c1_mESC_chip1_35	92.12
c1_mESC_chip1_36	90.33
c1_mESC_chip1_37	91.26
c1_mESC_chip1_38	91.61
c1_mESC_chip1_39	92.01
c1_mESC_chip1_40	92.69
c1_mESC_chip1_41	90.33
c1_mESC_chip1_42	86.87
c1_mESC_chip1_43	92.60
c1_mESC_chip1_44	90.74
c1_mESC_chip1_45	86.80
c1_mESC_chip1_46	91.25
c1_mESC_chip1_47	92.68
c1_mESC_chip1_48	57.50
c1_mESC_chip1_49	91.80
c1_mESC_chip1_50	92.27
c1_mESC_chip1_51	91.83
c1_mESC_chip1_52	89.98
c1_mESC_chip1_53	91.16
c1_mESC_chip1_54	90.44
c1_mESC_chip1_55	92.26
c1_mESC_chip1_56	92.38
c1_mESC_chip1_57	92.06
c1_mESC_chip1_58	91.18
c1_mESC_chip1_59	85.10
c1_mESC_chip1_60	90.92
c1_mESC_chip1_61	92.26
c1_mESC_chip1_62	89.64
c1_mESC_chip1_63	90.06
c1_mESC_chip1_64	90.66
c1_mESC_chip1_65	90.32
c1_mESC_chip1_66	91.64
c1_mESC_chip1_67	92.33
c1_mESC_chip1_68	90.75
c1_mESC_chip1_69	94.31
c1_mESC_chip1_70	91.30
c1_mESC_chip1_71	93.13
c1_mESC_chip1_72	91.70
c1_mESC_chip1_73	90.33
c1_mESC_chip1_74	89.10
c1_mESC_chip1_75	92.04
c1_mESC_chip1_76	93.11
c1_mESC_chip1_77	90.34
c1_mESC_chip1_78	91.16
c1_mESC_chip1_79	88.01
c1_mESC_chip1_80	90.19
c1_mESC_chip1_81	90.59
c1_mESC_chip1_82	90.96
c1_mESC_chip1_83	90.66
c1_mESC_chip1_84	90.18
c1_mESC_chip1_85	91.15
c1_mESC_chip1_86	91.23
c1_mESC_chip1_87	91.48
c1_mESC_chip1_88	92.49
c1_mESC_chip1_89	89.80
c1_mESC_chip1_90	91.76
c1_mESC_chip1_91	95.31
c1_mESC_chip1_92	90.89
c1_mESC_chip1_93	90.83
c1_mESC_chip1_94	86.68
c1_mESC_chip1_95	92.47
c1_mESC_chip1_96	91.68
c1_mESC_chip2_01	91.55
c1_mESC_chip2_02	89.80
c1_mESC_chip2_03	88.97
c1_mESC_chip2_04	93.74
c1_mESC_chip2_05	91.79
c1_mESC_chip2_06	92.80
c1_mESC_chip2_07	88.62
c1_mESC_chip2_08	90.52
c1_mESC_chip2_09	91.85
c1_mESC_chip2_10	91.43
c1_mESC_chip2_11	91.18
c1_mESC_chip2_12	88.85
c1_mESC_chip2_13	91.49
c1_mESC_chip2_14	92.34
c1_mESC_chip2_15	91.47
c1_mESC_chip2_16	96.36
c1_mESC_chip2_17	92.30
c1_mESC_chip2_18	91.81
c1_mESC_chip2_19	93.28
c1_mESC_chip2_20	91.37
c1_mESC_chip2_21	90.83
c1_mESC_chip2_22	90.88
c1_mESC_chip2_23	91.77
c1_mESC_chip2_24	91.62
c1_mESC_chip2_25	91.45
c1_mESC_chip2_26	88.85
c1_mESC_chip2_27	91.30
c1_mESC_chip2_28	91.38
c1_mESC_chip2_29	92.58
c1_mESC_chip2_30	90.49
c1_mESC_chip2_31	88.67
c1_mESC_chip2_32	90.61
c1_mESC_chip2_33	91.11
c1_mESC_chip2_34	91.36
c1_mESC_chip2_35	90.50
c1_mESC_chip2_36	91.89
c1_mESC_chip2_37	91.14
c1_mESC_chip2_38	90.65
c1_mESC_chip2_39	91.70
c1_mESC_chip2_40	90.23
c1_mESC_chip2_41	90.92
c1_mESC_chip2_42	90.95
c1_mESC_chip2_43	90.66
c1_mESC_chip2_44	90.51
c1_mESC_chip2_45	91.37
c1_mESC_chip2_46	89.40
c1_mESC_chip2_47	89.83
c1_mESC_chip2_48	89.23
c1_mESC_chip2_49	91.24
c1_mESC_chip2_50	91.49
c1_mESC_chip2_51	90.94
c1_mESC_chip2_52	90.92
c1_mESC_chip2_53	91.60
c1_mESC_chip2_54	90.62
c1_mESC_chip2_55	91.21
c1_mESC_chip2_56	91.63
c1_mESC_chip2_57	93.97
c1_mESC_chip2_58	90.97
c1_mESC_chip2_59	92.32
c1_mESC_chip2_60	92.44
c1_mESC_chip2_61	91.22
c1_mESC_chip2_62	92.41
c1_mESC_chip2_63	91.14
c1_mESC_chip2_64	91.09
c1_mESC_chip2_65	92.89
c1_mESC_chip2_66	92.95
c1_mESC_chip2_67	92.02
c1_mESC_chip2_68	91.51
c1_mESC_chip2_69	90.22
c1_mESC_chip2_70	48.11
c1_mESC_chip2_71	92.19
c1_mESC_chip2_72	91.00
c1_mESC_chip2_73	91.43
c1_mESC_chip2_74	90.55
c1_mESC_chip2_75	91.10
c1_mESC_chip2_76	92.46
c1_mESC_chip2_77	93.70
c1_mESC_chip2_78	85.62
c1_mESC_chip2_79	91.09
c1_mESC_chip2_80	90.57
c1_mESC_chip2_81	92.24
c1_mESC_chip2_82	90.48
c1_mESC_chip2_83	83.82
c1_mESC_chip2_84	91.02
c1_mESC_chip2_85	92.22
c1_mESC_chip2_86	89.92
c1_mESC_chip2_87	90.42
c1_mESC_chip2_88	92.71
c1_mESC_chip2_89	89.43
c1_mESC_chip2_90	85.78
c1_mESC_chip2_91	92.46
c1_mESC_chip2_92	91.62
c1_mESC_chip2_93	90.89
c1_mESC_chip2_94	91.77
c1_mESC_chip2_95	91.13
c1_mESC_chip2_96	91.58
