cell	mt_content
c1_mESC_chip1_01	0.126817
c1_mESC_chip1_02	0.056301
c1_mESC_chip1_03	0.080725
c1_mESC_chip1_04	0.106698
c1_mESC_chip1_05	0.062091
c1_mESC_chip1_06	0.072520
c1_mESC_chip1_07	0.046119
c1_mESC_chip1_08	0.035509
c1_mESC_chip1_09	0.034605
c1_mESC_chip1_10	0.093182
c1_mESC_chip1_11	0.016145
c1_mESC_chip1_12	0.114511
c1_mESC_chip1_13	0.472305
c1_mESC_chip1_14	0.228733
c1_mESC_chip1_15	0.044539
c1_mESC_chip1_16	0.091346
c1_mESC_chip1_17	0.059490
c1_mESC_chip1_18	0.355743
c1_mESC_chip1_19	0.038864
c1_mESC_chip1_20	0.118193
c1_mESC_chip1_21	0.197114
c1_mESC_chip1_22	0.223373
c1_mESC_chip1_23	0.140365
c1_mESC_chip1_24	0.192142
c1_mESC_chip1_25	0.220348
c1_mESC_chip1_26	0.016122
c1_mESC_chip1_27	0.045845
c1_mESC_chip1_28	0.090413
c1_mESC_chip1_29	0.226392
c1_mESC_chip1_30	0.030945
c1_mESC_chip1_31	0.022538
c1_mESC_chip1_32	0.045378
c1_mESC_chip1_33	0.015507
c1_mESC_chip1_34	0.065796
c1_mESC_chip1_35	0.118623
c1_mESC_chip1_36	0.095834
c1_mESC_chip1_37	0.080362
c1_mESC_chip1_38	0.092424
c1_mESC_chip1_39	0.060442
c1_mESC_chip1_40	0.144397
c1_mESC_chip1_41	0.095628
c1_mESC_chip1_42	0.096171
c1_mESC_chip1_43	0.056532
c1_mESC_chip1_44	0.046880
c1_mESC_chip1_45	0.042465
c1_mESC_chip1_46	0.044731
c1_mESC_chip1_47	0.142737
c1_mESC_chip1_48	0.076190
c1_mESC_chip1_49	0.082928
c1_mESC_chip1_50	0.151267
c1_mESC_chip1_51	0.103780
c1_mESC_chip1_52	0.020225
c1_mESC_chip1_53	0.048847
c1_mESC_chip1_54	0.083302
c1_mESC_chip1_55	0.053490
c1_mESC_chip1_56	0.064353
c1_mESC_chip1_57	0.029821
c1_mESC_chip1_58	0.026060
c1_mESC_chip1_59	0.133858
c1_mESC_chip1_60	0.091834
c1_mESC_chip1_61	0.065923
c1_mESC_chip1_62	0.116490
c1_mESC_chip1_63	0.071707
c1_mESC_chip1_64	0.090846
c1_mESC_chip1_65	0.026881
c1_mESC_chip1_66	0.059536
c1_mESC_chip1_67	0.064653
c1_mESC_chip1_68	0.038796
c1_mESC_chip1_69	0.248360
c1_mESC_chip1_70	0.059884
c1_mESC_chip1_71	0.232608
c1_mESC_chip1_72	0.096786
c1_mESC_chip1_73	0.059147
c1_mESC_chip1_74	0.014114
c1_mESC_chip1_75	0.053005
c1_mESC_chip1_76	0.310498
c1_mESC_chip1_77	0.036197
c1_mESC_chip1_78	0.049041
c1_mESC_chip1_79	0.041202
c1_mESC_chip1_80	0.026493
c1_mESC_chip1_81	0.052773
c1_mESC_chip1_82	0.055852
c1_mESC_chip1_83	0.099993
c1_mESC_chip1_84	0.063795
c1_mESC_chip1_85	0.051035
c1_mESC_chip1_86	0.099888
c1_mESC_chip1_87	0.037595
c1_mESC_chip1_88	0.112245
c1_mESC_chip1_89	0.050770
c1_mESC_chip1_90	0.107998
c1_mESC_chip1_91	0.544339
c1_mESC_chip1_92	0.070460
c1_mESC_chip1_93	0.036074
c1_mESC_chip1_94	0.107820
c1_mESC_chip1_95	0.112653
c1_mESC_chip1_96	0.069193
c1_mESC_chip2_01	0.036414
c1_mESC_chip2_02	0.052867
c1_mESC_chip2_03	0.062302
c1_mESC_chip2_04	0.236002
c1_mESC_chip2_05	0.071369
c1_mESC_chip2_06	0.043005
c1_mESC_chip2_07	0.060973
c1_mESC_chip2_08	0.047438
c1_mESC_chip2_09	0.043020
c1_mESC_chip2_10	0.021767
c1_mESC_chip2_11	0.002994
c1_mESC_chip2_12	0.021345
c1_mESC_chip2_13	0.061469
c1_mESC_chip2_14	0.135872
c1_mESC_chip2_15	0.109946
c1_mESC_chip2_16	0.550112
c1_mESC_chip2_17	0.022885
c1_mESC_chip2_18	0.032077
c1_mESC_chip2_19	0.635028
c1_mESC_chip2_20	0.019794
c1_mESC_chip2_21	0.031996
c1_mESC_chip2_22	0.008585
c1_mESC_chip2_23	0.110510
c1_mESC_chip2_24	0.030653
c1_mESC_chip2_25	0.024061
c1_mESC_chip2_26	0.051811
c1_mESC_chip2_27	0.084181
c1_mESC_chip2_28	0.138152
c1_mESC_chip2_29	0.064849
c1_mESC_chip2_30	0.072478
c1_mESC_chip2_31	0.009399
c1_mESC_chip2_32	0.050413
c1_mESC_chip2_33	0.063525
c1_mESC_chip2_34	0.037196
c1_mESC_chip2_35	0.071155
c1_mESC_chip2_36	0.014088
c1_mESC_chip2_37	0.016645
c1_mESC_chip2_38	0.080982
c1_mESC_chip2_39	0.057113
c1_mESC_chip2_40	0.042198
c1_mESC_chip2_41	0.019482
c1_mESC_chip2_42	0.020756
c1_mESC_chip2_43	0.054595
c1_mESC_chip2_44	0.031766
c1_mESC_chip2_45	0.036073
c1_mESC_chip2_46	0.129514
c1_mESC_chip2_47	0.018622
c1_mESC_chip2_48	0.050008
c1_mESC_chip2_49	0.020827
c1_mESC_chip2_50	0.159594
c1_mESC_chip2_51	0.008875
c1_mESC_chip2_52	0.041431
c1_mESC_chip2_53	0.048191
c1_mESC_chip2_54	0.022085
c1_mESC_chip2_55	0.083696
c1_mESC_chip2_56	0.081063
c1_mESC_chip2_57	0.171756
c1_mESC_chip2_58	0.020558
c1_mESC_chip2_59	0.038555
c1_mESC_chip2_60	0.081733
c1_mESC_chip2_61	0.033430
c1_mESC_chip2_62	0.062879
c1_mESC_chip2_63	0.044377
c1_mESC_chip2_64	0.037585
c1_mESC_chip2_65	0.106218
c1_mESC_chip2_66	0.179806
