cell	sequencing_depth
c1_mESC_chip1_01	292700
c1_mESC_chip1_02	1171613
c1_mESC_chip1_03	316419
c1_mESC_chip1_04	601955
c1_mESC_chip1_05	201890
c1_mESC_chip1_06	1190281
c1_mESC_chip1_07	124266
c1_mESC_chip1_08	264437
c1_mESC_chip1_09	2136430
c1_mESC_chip1_10	143916
c1_mESC_chip1_11	3578903
c1_mESC_chip1_12	114688
c1_mESC_chip1_13	336911
c1_mESC_chip1_14	637094
c1_mESC_chip1_15	1913451
c1_mESC_chip1_16	446
c1_mESC_chip1_17	142935
c1_mESC_chip1_18	780975
c1_mESC_chip1_19	462232
c1_mESC_chip1_20	667514
c1_mESC_chip1_21	102065
c1_mESC_chip1_22	55382
c1_mESC_chip1_23	371198
c1_mESC_chip1_24	31236
c1_mESC_chip1_25	142067
c1_mESC_chip1_26	989263
c1_mESC_chip1_27	204567
c1_mESC_chip1_28	80945
c1_mESC_chip1_29	252149
c1_mESC_chip1_30	119274
c1_mESC_chip1_31	5317335
c1_mESC_chip1_32	208700
c1_mESC_chip1_33	278579
c1_mESC_chip1_34	101797
c1_mESC_chip1_35	233561
c1_mESC_chip1_36	275837
c1_mESC_chip1_37	212684
c1_mESC_chip1_38	101235
c1_mESC_chip1_39	564289
c1_mESC_chip1_40	276494
c1_mESC_chip1_41	131765
c1_mESC_chip1_42	53310
c1_mESC_chip1_43	4277612
c1_mESC_chip1_44	143279
c1_mESC_chip1_45	718577
c1_mESC_chip1_46	336474
c1_mESC_chip1_47	438393
c1_mESC_chip1_48	380
c1_mESC_chip1_49	265759
c1_mESC_chip1_50	504698
c1_mESC_chip1_51	152822
c1_mESC_chip1_52	387121
c1_mESC_chip1_53	234806
c1_mESC_chip1_54	97281
c1_mESC_chip1_55	279326
c1_mESC_chip1_56	667716
c1_mESC_chip1_57	862768
c1_mESC_chip1_58	178791
c1_mESC_chip1_59	33238
c1_mESC_chip1_60	161252
c1_mESC_chip1_61	462870
c1_mESC_chip1_62	80099
c1_mESC_chip1_63	153185
c1_mESC_chip1_64	773633
c1_mESC_chip1_65	498747
c1_mESC_chip1_66	510660
c1_mESC_chip1_67	371841
c1_mESC_chip1_68	268168
c1_mESC_chip1_69	575070
c1_mESC_chip1_70	307703
c1_mESC_chip1_71	244317
c1_mESC_chip1_72	269641
c1_mESC_chip1_73	193222
c1_mESC_chip1_74	4330498
c1_mESC_chip1_75	630660
c1_mESC_chip1_76	120479
c1_mESC_chip1_77	195454
c1_mESC_chip1_78	235045
c1_mESC_chip1_79	94933
c1_mESC_chip1_80	193356
c1_mESC_chip1_81	149818
c1_mESC_chip1_82	322454
c1_mESC_chip1_83	152427
c1_mESC_chip1_84	206058
c1_mESC_chip1_85	600306
c1_mESC_chip1_86	239924
c1_mESC_chip1_87	291429
c1_mESC_chip1_88	1179079
c1_mESC_chip1_89	140486
c1_mESC_chip1_90	254154
c1_mESC_chip1_91	686005
c1_mESC_chip1_92	316024
c1_mESC_chip1_93	667593
c1_mESC_chip1_94	620205
c1_mESC_chip1_95	771743
c1_mESC_chip1_96	632502
c1_mESC_chip2_01	337545
c1_mESC_chip2_02	180405
c1_mESC_chip2_03	155437
c1_mESC_chip2_04	398683
c1_mESC_chip2_05	320654
c1_mESC_chip2_06	319072
c1_mESC_chip2_07	79276
c1_mESC_chip2_08	125511
c1_mESC_chip2_09	1469464
c1_mESC_chip2_10	196657
c1_mESC_chip2_11	2092023
c1_mESC_chip2_12	354859
c1_mESC_chip2_13	203387
c1_mESC_chip2_14	538037
c1_mESC_chip2_15	165080
c1_mESC_chip2_16	688509
c1_mESC_chip2_17	478983
c1_mESC_chip2_18	669397
c1_mESC_chip2_19	1263760
c1_mESC_chip2_20	471442
c1_mESC_chip2_21	347583
c1_mESC_chip2_22	1872069
c1_mESC_chip2_23	92206
c1_mESC_chip2_24	508050
c1_mESC_chip2_25	323458
c1_mESC_chip2_26	454561
c1_mESC_chip2_27	422839
c1_mESC_chip2_28	230575
c1_mESC_chip2_29	451272
c1_mESC_chip2_30	121508
c1_mESC_chip2_31	3469652
c1_mESC_chip2_32	131853
c1_mESC_chip2_33	221425
c1_mESC_chip2_34	163853
c1_mESC_chip2_35	477803
c1_mESC_chip2_36	1708881
c1_mESC_chip2_37	1628183
c1_mESC_chip2_38	1568778
c1_mESC_chip2_39	549272
c1_mESC_chip2_40	164490
c1_mESC_chip2_41	1173125
c1_mESC_chip2_42	1547462
c1_mESC_chip2_43	2689303
c1_mESC_chip2_44	300918
c1_mESC_chip2_45	871254
c1_mESC_chip2_46	78314
c1_mESC_chip2_47	370530
c1_mESC_chip2_48	136159
c1_mESC_chip2_49	2033737
c1_mESC_chip2_50	864812
c1_mESC_chip2_51	770415
c1_mESC_chip2_52	152193
c1_mESC_chip2_53	198339
c1_mESC_chip2_54	852150
c1_mESC_chip2_55	245789
c1_mESC_chip2_56	238024
c1_mESC_chip2_57	232483
c1_mESC_chip2_58	213117
c1_mESC_chip2_59	305073
c1_mESC_chip2_60	655635
c1_mESC_chip2_61	429217
c1_mESC_chip2_62	694312
c1_mESC_chip2_63	259132
c1_mESC_chip2_64	335790
c1_mESC_chip2_65	345623
c1_mESC_chip2_66	98359
c1_mESC_chip2_67	192619
c1_mESC_chip2_68	637180
c1_mESC_chip2_69	116668
c1_mESC_chip2_70	1144377
c1_mESC_chip2_71	496865
c1_mESC_chip2_72	225233
c1_mESC_chip2_73	403594
c1_mESC_chip2_74	108218
c1_mESC_chip2_75	543033
c1_mESC_chip2_76	178961
c1_mESC_chip2_77	243262
c1_mESC_chip2_78	2525720
c1_mESC_chip2_79	4688880
c1_mESC_chip2_80	255859
c1_mESC_chip2_81	1417527
c1_mESC_chip2_82	117644
c1_mESC_chip2_83	14310
c1_mESC_chip2_84	241658
c1_mESC_chip2_85	348756
c1_mESC_chip2_86	3789291
c1_mESC_chip2_87	342101
c1_mESC_chip2_88	107199
c1_mESC_chip2_89	272590
c1_mESC_chip2_90	204161
c1_mESC_chip2_91	103580
c1_mESC_chip2_92	361239
c1_mESC_chip2_93	1276157
c1_mESC_chip2_94	219950
c1_mESC_chip2_95	64091
c1_mESC_chip2_96	235922
