cell	uniq_frags
c1_mESC_chip1_01	24505.000000
c1_mESC_chip1_02	100989.000000
c1_mESC_chip1_03	27752.000000
c1_mESC_chip1_04	45135.000000
c1_mESC_chip1_05	15891.000000
c1_mESC_chip1_06	85445.000000
c1_mESC_chip1_07	15471.000000
c1_mESC_chip1_08	31073.000000
c1_mESC_chip1_09	160633.000000
c1_mESC_chip1_10	12369.000000
c1_mESC_chip1_11	269408.000000
c1_mESC_chip1_12	8537.000000
c1_mESC_chip1_13	9203.000000
c1_mESC_chip1_14	30799.000000
c1_mESC_chip1_15	109900.000000
c1_mESC_chip1_16	189.000000
c1_mESC_chip1_17	12363.000000
c1_mESC_chip1_18	26325.000000
c1_mESC_chip1_19	32941.000000
c1_mESC_chip1_20	36789.000000
c1_mESC_chip1_21	8012.000000
c1_mESC_chip1_22	4951.000000
c1_mESC_chip1_23	21533.000000
c1_mESC_chip1_24	3948.000000
c1_mESC_chip1_25	9847.000000
c1_mESC_chip1_26	81106.000000
c1_mESC_chip1_27	20209.000000
c1_mESC_chip1_28	7002.000000
c1_mESC_chip1_29	15049.000000
c1_mESC_chip1_30	11117.000000
c1_mESC_chip1_31	501489.000000
c1_mESC_chip1_32	20869.000000
c1_mESC_chip1_33	29903.000000
c1_mESC_chip1_34	9513.000000
c1_mESC_chip1_35	15930.000000
c1_mESC_chip1_36	16322.000000
c1_mESC_chip1_37	15529.000000
c1_mESC_chip1_38	9093.000000
c1_mESC_chip1_39	34696.000000
c1_mESC_chip1_40	20004.000000
c1_mESC_chip1_41	11500.000000
c1_mESC_chip1_42	7152.000000
c1_mESC_chip1_43	245278.000000
c1_mESC_chip1_44	12951.000000
c1_mESC_chip1_45	36033.000000
c1_mESC_chip1_46	23534.000000
c1_mESC_chip1_47	24408.000000
c1_mESC_chip1_48	97.000000
c1_mESC_chip1_49	21874.000000
c1_mESC_chip1_50	34658.000000
c1_mESC_chip1_51	14914.000000
c1_mESC_chip1_52	30956.000000
c1_mESC_chip1_53	20329.000000
c1_mESC_chip1_54	12061.000000
c1_mESC_chip1_55	30365.000000
c1_mESC_chip1_56	56005.000000
c1_mESC_chip1_57	68776.000000
c1_mESC_chip1_58	16257.000000
c1_mESC_chip1_59	3080.000000
c1_mESC_chip1_60	14824.000000
c1_mESC_chip1_61	29146.000000
c1_mESC_chip1_62	7592.000000
c1_mESC_chip1_63	12363.000000
c1_mESC_chip1_64	42232.000000
c1_mESC_chip1_65	34138.000000
c1_mESC_chip1_66	35858.000000
c1_mESC_chip1_67	26475.000000
c1_mESC_chip1_68	19994.000000
c1_mESC_chip1_69	23721.000000
c1_mESC_chip1_70	24098.000000
c1_mESC_chip1_71	13259.000000
c1_mESC_chip1_72	17899.000000
c1_mESC_chip1_73	19502.000000
c1_mESC_chip1_74	393963.000000
c1_mESC_chip1_75	48328.000000
c1_mESC_chip1_76	7277.000000
c1_mESC_chip1_77	16961.000000
c1_mESC_chip1_78	20632.000000
c1_mESC_chip1_79	12729.000000
c1_mESC_chip1_80	23517.000000
c1_mESC_chip1_81	17662.000000
c1_mESC_chip1_82	24799.000000
c1_mESC_chip1_83	13132.000000
c1_mESC_chip1_84	14954.000000
c1_mESC_chip1_85	39104.000000
c1_mESC_chip1_86	16824.000000
c1_mESC_chip1_87	20838.000000
c1_mESC_chip1_88	68097.000000
c1_mESC_chip1_89	15724.000000
c1_mESC_chip1_90	20500.000000
c1_mESC_chip1_91	15297.000000
c1_mESC_chip1_92	21174.000000
c1_mESC_chip1_93	44169.000000
c1_mESC_chip1_94	36268.000000
c1_mESC_chip1_95	47434.000000
c1_mESC_chip1_96	41433.000000
c1_mESC_chip2_01	31834.000000
c1_mESC_chip2_02	19456.000000
c1_mESC_chip2_03	15382.000000
c1_mESC_chip2_04	21654.000000
c1_mESC_chip2_05	25750.000000
c1_mESC_chip2_06	30264.000000
c1_mESC_chip2_07	10380.000000
c1_mESC_chip2_08	13273.000000
c1_mESC_chip2_09	114628.000000
c1_mESC_chip2_10	17482.000000
c1_mESC_chip2_11	159823.000000
c1_mESC_chip2_12	23521.000000
c1_mESC_chip2_13	15360.000000
c1_mESC_chip2_14	32289.000000
c1_mESC_chip2_15	12475.000000
c1_mESC_chip2_16	15316.000000
c1_mESC_chip2_17	42184.000000
c1_mESC_chip2_18	50271.000000
c1_mESC_chip2_19	17642.000000
c1_mESC_chip2_20	32387.000000
c1_mESC_chip2_21	23961.000000
c1_mESC_chip2_22	123911.000000
c1_mESC_chip2_23	11349.000000
c1_mESC_chip2_24	37094.000000
c1_mESC_chip2_25	27744.000000
c1_mESC_chip2_26	35010.000000
c1_mESC_chip2_27	31430.000000
c1_mESC_chip2_28	17611.000000
c1_mESC_chip2_29	36844.000000
c1_mESC_chip2_30	11236.000000
c1_mESC_chip2_31	284354.000000
c1_mESC_chip2_32	14617.000000
c1_mESC_chip2_33	20152.000000
c1_mESC_chip2_34	14314.000000
c1_mESC_chip2_35	48456.000000
c1_mESC_chip2_36	130866.000000
c1_mESC_chip2_37	98660.000000
c1_mESC_chip2_38	90334.000000
c1_mESC_chip2_39	32985.000000
c1_mESC_chip2_40	13528.000000
c1_mESC_chip2_41	81685.000000
c1_mESC_chip2_42	85582.000000
c1_mESC_chip2_43	181253.000000
c1_mESC_chip2_44	19629.000000
c1_mESC_chip2_45	51172.000000
c1_mESC_chip2_46	6822.000000
c1_mESC_chip2_47	25243.000000
c1_mESC_chip2_48	11189.000000
c1_mESC_chip2_49	140480.000000
