cell	dup_level
cd4_sorttag_100	0.947332
cd4_sorttag_101	0.96067
cd4_sorttag_102	0.961471
cd4_sorttag_103	0.963546
cd4_sorttag_104	0.960137
cd4_sorttag_105	0.961337
cd4_sorttag_106	0.962005
cd4_sorttag_107	0.964486
cd4_sorttag_108	0.962368
cd4_sorttag_109	0.961116
cd4_sorttag_10	0.961005
cd4_sorttag_110	0.961461
cd4_sorttag_111	0.963007
cd4_sorttag_112	0.959574
cd4_sorttag_113	0.960834
cd4_sorttag_114	0.960334
cd4_sorttag_115	0.96149
cd4_sorttag_116	0.96158
cd4_sorttag_117	0.962306
cd4_sorttag_118	0.964562
cd4_sorttag_119	0.961506
cd4_sorttag_11	0.961214
cd4_sorttag_120	0.961425
cd4_sorttag_121	0.959682
cd4_sorttag_122	0.961589
cd4_sorttag_123	0.963634
cd4_sorttag_124	0.961643
cd4_sorttag_125	0.961865
cd4_sorttag_126	0.961254
cd4_sorttag_127	0.96312
cd4_sorttag_128	0.961048
cd4_sorttag_129	0.959709
cd4_sorttag_12	0.960883
cd4_sorttag_130	0.962159
cd4_sorttag_131	0.964475
cd4_sorttag_132	0.96199
cd4_sorttag_133	0.960879
cd4_sorttag_134	0.959637
cd4_sorttag_135	0.961719
cd4_sorttag_136	0.958284
cd4_sorttag_137	0.959122
cd4_sorttag_138	0.958646
cd4_sorttag_139	0.95951
cd4_sorttag_13	0.960006
cd4_sorttag_140	0.959904
cd4_sorttag_141	0.960936
cd4_sorttag_142	0.96282
cd4_sorttag_143	0.961038
cd4_sorttag_144	0.961754
cd4_sorttag_145	0.959913
cd4_sorttag_146	0.959625
cd4_sorttag_147	0.960439
cd4_sorttag_148	0.958058
cd4_sorttag_149	0.958504
cd4_sorttag_14	0.959472
cd4_sorttag_150	0.959769
cd4_sorttag_151	0.961569
cd4_sorttag_152	0.957358
cd4_sorttag_153	0.958787
cd4_sorttag_154	0.959783
cd4_sorttag_155	0.961712
cd4_sorttag_156	0.95985
cd4_sorttag_157	0.957339
cd4_sorttag_158	0.956933
cd4_sorttag_159	0.959503
cd4_sorttag_15	0.962192
cd4_sorttag_160	0.958043
cd4_sorttag_161	0.954831
cd4_sorttag_162	0.955022
cd4_sorttag_163	0.958617
cd4_sorttag_164	0.956157
cd4_sorttag_165	0.957363
cd4_sorttag_166	0.959828
cd4_sorttag_167	0.958453
cd4_sorttag_168	0.957338
cd4_sorttag_169	0.958508
cd4_sorttag_16	0.959814
cd4_sorttag_170	0.95942
cd4_sorttag_171	0.960773
cd4_sorttag_172	0.959031
cd4_sorttag_173	0.959229
cd4_sorttag_174	0.958577
cd4_sorttag_175	0.960451
cd4_sorttag_176	0.959155
cd4_sorttag_177	0.958156
cd4_sorttag_178	0.960012
cd4_sorttag_179	0.959725
cd4_sorttag_17	0.959121
cd4_sorttag_180	0.958638
cd4_sorttag_181	0.958222
cd4_sorttag_182	0.95655
cd4_sorttag_183	0.959228
cd4_sorttag_184	0.956089
cd4_sorttag_185	0.958174
cd4_sorttag_186	0.956873
cd4_sorttag_187	0.95908
cd4_sorttag_188	0.957191
cd4_sorttag_189	0.959944
cd4_sorttag_18	0.960139
cd4_sorttag_190	0.960845
cd4_sorttag_191	0.960104
cd4_sorttag_192	0.957129
cd4_sorttag_193	0.959022
cd4_sorttag_194	0.960137
cd4_sorttag_195	0.962045
cd4_sorttag_196	0.957906
cd4_sorttag_197	0.958689
cd4_sorttag_198	0.9599
cd4_sorttag_199	0.96167
cd4_sorttag_19	0.961511
cd4_sorttag_1	0.959426
cd4_sorttag_200	0.957533
cd4_sorttag_201	0.959591
cd4_sorttag_202	0.961687
cd4_sorttag_203	0.96294
cd4_sorttag_204	0.960635
cd4_sorttag_205	0.95894
cd4_sorttag_206	0.958309
cd4_sorttag_207	0.96073
cd4_sorttag_208	0.95794
cd4_sorttag_209	0.958936
cd4_sorttag_20	0.961195
cd4_sorttag_210	0.957447
cd4_sorttag_211	0.957788
cd4_sorttag_212	0.958335
cd4_sorttag_213	0.958363
cd4_sorttag_214	0.961357
cd4_sorttag_215	0.958591
cd4_sorttag_216	0.958606
cd4_sorttag_217	0.960016
cd4_sorttag_218	0.960083
cd4_sorttag_219	0.961249
cd4_sorttag_21	0.961774
cd4_sorttag_220	0.95917
cd4_sorttag_221	0.959441
cd4_sorttag_222	0.960194
cd4_sorttag_223	0.962686
cd4_sorttag_224	0.959064
cd4_sorttag_225	0.956544
cd4_sorttag_226	0.961466
cd4_sorttag_227	0.9636
cd4_sorttag_228	0.960351
cd4_sorttag_229	0.960041
cd4_sorttag_22	0.963464
cd4_sorttag_230	0.958449
cd4_sorttag_231	0.962396
cd4_sorttag_232	0.960783
cd4_sorttag_233	0.959008
cd4_sorttag_234	0.958783
cd4_sorttag_235	0.958167
cd4_sorttag_236	0.959935
cd4_sorttag_237	0.958756
cd4_sorttag_238	0.962026
cd4_sorttag_239	0.959506
cd4_sorttag_23	0.961668
cd4_sorttag_240	0.015873
cd4_sorttag_241	0.960191
cd4_sorttag_242	0.958795
cd4_sorttag_243	0.959621
cd4_sorttag_244	0.957896
cd4_sorttag_245	0.957396
cd4_sorttag_246	0.959165
