cell	frac_open
cd4_sorttag_100	0.206862
cd4_sorttag_101	0.255812
cd4_sorttag_102	0.157476
cd4_sorttag_103	0.184464
cd4_sorttag_104	0.296546
cd4_sorttag_105	0.288422
cd4_sorttag_106	0.373723
cd4_sorttag_107	0.250166
cd4_sorttag_108	0.237407
cd4_sorttag_109	0.189421
cd4_sorttag_10	0.285645
cd4_sorttag_110	0.328491
cd4_sorttag_111	0.372071
cd4_sorttag_112	0.228893
cd4_sorttag_113	0.274263
cd4_sorttag_114	0.310889
cd4_sorttag_115	0.254159
cd4_sorttag_116	0.314332
cd4_sorttag_117	0.292094
cd4_sorttag_118	0.291497
cd4_sorttag_119	0.105657
cd4_sorttag_11	0.230706
cd4_sorttag_120	0.278692
cd4_sorttag_121	0.324636
cd4_sorttag_122	0.211910
cd4_sorttag_123	0.165026
cd4_sorttag_124	0.320826
cd4_sorttag_125	0.314263
cd4_sorttag_126	0.226024
cd4_sorttag_127	0.293127
cd4_sorttag_128	0.271830
cd4_sorttag_129	0.280620
cd4_sorttag_12	0.304441
cd4_sorttag_130	0.316879
cd4_sorttag_131	0.341044
cd4_sorttag_132	0.205003
cd4_sorttag_133	0.072633
cd4_sorttag_134	0.244521
cd4_sorttag_135	0.312909
cd4_sorttag_136	0.269489
cd4_sorttag_137	0.353024
cd4_sorttag_138	0.311211
cd4_sorttag_139	0.219139
cd4_sorttag_13	0.245829
cd4_sorttag_140	0.177028
cd4_sorttag_141	0.084131
cd4_sorttag_142	0.258244
cd4_sorttag_143	0.175605
cd4_sorttag_144	0.310338
cd4_sorttag_145	0.330281
cd4_sorttag_146	0.271647
cd4_sorttag_147	0.185496
cd4_sorttag_148	0.218015
cd4_sorttag_149	0.452484
cd4_sorttag_14	0.237407
cd4_sorttag_150	0.230797
cd4_sorttag_151	0.329134
cd4_sorttag_152	0.152243
cd4_sorttag_153	0.301090
cd4_sorttag_154	0.238715
cd4_sorttag_155	0.271256
cd4_sorttag_156	0.274722
cd4_sorttag_157	0.276351
cd4_sorttag_158	0.247206
cd4_sorttag_159	0.247367
cd4_sorttag_15	0.262559
cd4_sorttag_160	0.204567
cd4_sorttag_161	0.233046
cd4_sorttag_162	0.169019
cd4_sorttag_163	0.215100
cd4_sorttag_164	0.271991
cd4_sorttag_165	0.198485
cd4_sorttag_166	0.228778
cd4_sorttag_167	0.305749
cd4_sorttag_168	0.350775
cd4_sorttag_169	0.278967
cd4_sorttag_16	0.274010
cd4_sorttag_170	0.254802
cd4_sorttag_171	0.297808
cd4_sorttag_172	0.282869
cd4_sorttag_173	0.093609
cd4_sorttag_174	0.238807
cd4_sorttag_175	0.180516
cd4_sorttag_176	0.307608
cd4_sorttag_177	0.281216
cd4_sorttag_178	0.219989
cd4_sorttag_179	0.298130
cd4_sorttag_17	0.271945
cd4_sorttag_180	0.199908
cd4_sorttag_181	0.253586
cd4_sorttag_182	0.289845
cd4_sorttag_183	0.285600
cd4_sorttag_184	0.335513
cd4_sorttag_185	0.304280
cd4_sorttag_186	0.258520
cd4_sorttag_187	0.338221
cd4_sorttag_188	0.313758
cd4_sorttag_189	0.076879
cd4_sorttag_18	0.249822
cd4_sorttag_190	0.287619
cd4_sorttag_191	0.380493
cd4_sorttag_192	0.312955
cd4_sorttag_193	0.200688
cd4_sorttag_194	0.338589
cd4_sorttag_195	0.309788
cd4_sorttag_196	0.124865
cd4_sorttag_197	0.284016
cd4_sorttag_198	0.328193
cd4_sorttag_199	0.146758
cd4_sorttag_19	0.318095
cd4_sorttag_1	0.310614
cd4_sorttag_200	0.249639
cd4_sorttag_201	0.305382
cd4_sorttag_202	0.234836
cd4_sorttag_203	0.123442
cd4_sorttag_204	0.280941
cd4_sorttag_205	0.284613
cd4_sorttag_206	0.283351
cd4_sorttag_207	0.257281
cd4_sorttag_208	0.188411
cd4_sorttag_209	0.315617
cd4_sorttag_20	0.214986
cd4_sorttag_210	0.302123
cd4_sorttag_211	0.327206
cd4_sorttag_212	0.225014
cd4_sorttag_213	0.229443
cd4_sorttag_214	0.252140
