cell	frip
cd4_sorttag_100	0.723608
cd4_sorttag_101	0.747438
cd4_sorttag_102	0.721423
cd4_sorttag_103	0.742699
cd4_sorttag_104	0.581684
cd4_sorttag_105	0.698298
cd4_sorttag_106	0.650287
cd4_sorttag_107	0.728859
cd4_sorttag_108	0.681214
cd4_sorttag_109	0.736991
cd4_sorttag_10	0.693035
cd4_sorttag_110	0.655914
cd4_sorttag_111	0.668565
cd4_sorttag_112	0.720980
cd4_sorttag_113	0.720810
cd4_sorttag_114	0.671911
cd4_sorttag_115	0.722560
cd4_sorttag_116	0.638030
cd4_sorttag_117	0.710395
cd4_sorttag_118	0.724666
cd4_sorttag_119	0.678970
cd4_sorttag_11	0.725143
cd4_sorttag_120	0.702358
cd4_sorttag_121	0.706317
cd4_sorttag_122	0.732608
cd4_sorttag_123	0.755504
cd4_sorttag_124	0.718744
cd4_sorttag_125	0.700262
cd4_sorttag_126	0.743658
cd4_sorttag_127	0.676801
cd4_sorttag_128	0.711268
cd4_sorttag_129	0.729896
cd4_sorttag_12	0.675565
cd4_sorttag_130	0.701595
cd4_sorttag_131	0.675383
cd4_sorttag_132	0.750753
cd4_sorttag_133	0.622285
cd4_sorttag_134	0.735263
cd4_sorttag_135	0.696301
cd4_sorttag_136	0.673833
cd4_sorttag_137	0.658447
cd4_sorttag_138	0.707232
cd4_sorttag_139	0.719165
cd4_sorttag_13	0.673495
cd4_sorttag_140	0.758977
cd4_sorttag_141	0.682551
cd4_sorttag_142	0.728206
cd4_sorttag_143	0.768992
cd4_sorttag_144	0.686454
cd4_sorttag_145	0.690738
cd4_sorttag_146	0.715576
cd4_sorttag_147	0.726368
cd4_sorttag_148	0.718520
cd4_sorttag_149	0.686575
cd4_sorttag_14	0.726155
cd4_sorttag_150	0.744256
cd4_sorttag_151	0.688187
cd4_sorttag_152	0.727141
cd4_sorttag_153	0.660565
cd4_sorttag_154	0.709963
cd4_sorttag_155	0.722063
cd4_sorttag_156	0.719717
cd4_sorttag_157	0.724692
cd4_sorttag_158	0.746574
cd4_sorttag_159	0.724308
cd4_sorttag_15	0.730879
cd4_sorttag_160	0.764408
cd4_sorttag_161	0.691806
cd4_sorttag_162	0.753561
cd4_sorttag_163	0.710711
cd4_sorttag_164	0.729910
cd4_sorttag_165	0.734491
cd4_sorttag_166	0.715337
cd4_sorttag_167	0.687031
cd4_sorttag_168	0.659707
cd4_sorttag_169	0.720912
cd4_sorttag_16	0.703940
cd4_sorttag_170	0.728384
cd4_sorttag_171	0.731261
cd4_sorttag_172	0.715344
cd4_sorttag_173	0.666139
cd4_sorttag_174	0.722692
cd4_sorttag_175	0.705942
cd4_sorttag_176	0.701940
cd4_sorttag_177	0.729146
cd4_sorttag_178	0.718029
cd4_sorttag_179	0.715344
cd4_sorttag_17	0.719942
cd4_sorttag_180	0.716846
cd4_sorttag_181	0.721401
cd4_sorttag_182	0.743131
cd4_sorttag_183	0.659061
cd4_sorttag_184	0.676825
cd4_sorttag_185	0.712933
cd4_sorttag_186	0.723702
cd4_sorttag_187	0.650586
cd4_sorttag_188	0.710663
cd4_sorttag_189	0.674864
cd4_sorttag_18	0.718222
cd4_sorttag_190	0.673909
cd4_sorttag_191	0.633455
cd4_sorttag_192	0.721299
cd4_sorttag_193	0.752175
cd4_sorttag_194	0.700377
cd4_sorttag_195	0.710905
cd4_sorttag_196	0.734304
cd4_sorttag_197	0.730570
cd4_sorttag_198	0.717194
cd4_sorttag_199	0.756284
cd4_sorttag_19	0.640218
cd4_sorttag_1	0.700424
cd4_sorttag_200	0.737954
cd4_sorttag_201	0.692663
cd4_sorttag_202	0.729115
cd4_sorttag_203	0.774151
cd4_sorttag_204	0.731667
cd4_sorttag_205	0.699219
cd4_sorttag_206	0.731270
cd4_sorttag_207	0.717848
cd4_sorttag_208	0.707110
cd4_sorttag_209	0.701930
cd4_sorttag_20	0.722982
cd4_sorttag_210	0.705367
cd4_sorttag_211	0.672956
cd4_sorttag_212	0.730580
cd4_sorttag_213	0.742771
cd4_sorttag_214	0.720799
cd4_sorttag_215	0.703418
cd4_sorttag_216	0.719986
cd4_sorttag_217	0.717002
cd4_sorttag_218	0.733122
cd4_sorttag_219	0.725768
cd4_sorttag_21	0.714155
cd4_sorttag_220	0.719528
cd4_sorttag_221	0.701449
cd4_sorttag_222	0.733595
cd4_sorttag_223	0.720476
cd4_sorttag_224	0.734470
cd4_sorttag_225	0.730915
cd4_sorttag_226	0.762998
cd4_sorttag_227	0.714542
cd4_sorttag_228	0.696626
cd4_sorttag_229	0.738087
cd4_sorttag_22	0.703230
cd4_sorttag_230	0.762781
cd4_sorttag_231	0.678130
cd4_sorttag_232	0.756718
cd4_sorttag_233	0.743669
cd4_sorttag_234	0.729705
cd4_sorttag_235	0.667763
cd4_sorttag_236	0.789249
cd4_sorttag_237	0.712926
cd4_sorttag_238	0.732276
cd4_sorttag_239	0.637472
cd4_sorttag_23	0.725616
cd4_sorttag_240	0.733871
cd4_sorttag_241	0.711181
cd4_sorttag_242	0.708611
cd4_sorttag_243	0.733643
cd4_sorttag_244	0.698380
cd4_sorttag_245	0.747869
cd4_sorttag_246	0.698318
cd4_sorttag_247	0.697851
cd4_sorttag_248	0.734217
cd4_sorttag_249	0.698480
cd4_sorttag_24	0.684989
cd4_sorttag_250	0.727392
cd4_sorttag_251	0.702610
cd4_sorttag_252	0.695686
cd4_sorttag_253	0.747438
cd4_sorttag_254	0.709030
cd4_sorttag_255	0.579677
cd4_sorttag_256	0.714905
cd4_sorttag_257	0.721191
cd4_sorttag_258	0.651418
cd4_sorttag_259	0.687227
cd4_sorttag_25	0.749847
cd4_sorttag_260	0.721385
cd4_sorttag_261	0.691582
cd4_sorttag_262	0.694753
cd4_sorttag_263	0.628649
cd4_sorttag_264	0.679490
cd4_sorttag_265	0.701803
cd4_sorttag_266	0.714639
cd4_sorttag_267	0.737142
cd4_sorttag_268	0.685449
cd4_sorttag_269	0.705088
cd4_sorttag_26	0.719874
cd4_sorttag_270	0.719777
cd4_sorttag_271	0.753851
cd4_sorttag_272	0.711721
cd4_sorttag_273	0.705565
cd4_sorttag_274	0.664375
cd4_sorttag_275	0.708153
cd4_sorttag_276	0.695468
cd4_sorttag_277	0.688379
cd4_sorttag_278	0.599412
cd4_sorttag_279	0.695310
cd4_sorttag_27	0.723215
cd4_sorttag_280	0.680862
cd4_sorttag_281	0.729556
cd4_sorttag_282	0.725154
cd4_sorttag_283	0.710639
cd4_sorttag_284	0.696216
cd4_sorttag_285	0.720708
cd4_sorttag_286	0.680287
cd4_sorttag_287	0.721733
cd4_sorttag_288	0.717378
cd4_sorttag_289	0.703946
cd4_sorttag_28	0.749594
cd4_sorttag_290	0.708132
cd4_sorttag_291	0.600000
cd4_sorttag_292	0.736143
cd4_sorttag_293	0.696113
cd4_sorttag_294	0.714597
cd4_sorttag_295	0.757274
cd4_sorttag_296	0.749053
cd4_sorttag_297	0.686002
cd4_sorttag_298	0.732309
cd4_sorttag_299	0.735602
cd4_sorttag_29	0.680597
cd4_sorttag_2	0.678092
cd4_sorttag_300	0.726011
cd4_sorttag_301	0.737156
cd4_sorttag_302	0.671342
cd4_sorttag_303	0.763158
cd4_sorttag_304	0.704082
cd4_sorttag_305	0.683099
cd4_sorttag_306	0.657895
cd4_sorttag_307	0.802083
cd4_sorttag_308	0.703218
cd4_sorttag_309	0.735528
cd4_sorttag_30	0.711776
cd4_sorttag_310	0.737506
cd4_sorttag_311	0.745589
cd4_sorttag_312	0.711181
cd4_sorttag_313	0.709077
cd4_sorttag_314	0.682286
cd4_sorttag_315	0.699187
cd4_sorttag_316	0.673374
cd4_sorttag_317	0.733707
cd4_sorttag_318	0.640330
cd4_sorttag_319	0.633193
cd4_sorttag_31	0.726636
cd4_sorttag_320	0.709372
cd4_sorttag_321	0.701216
cd4_sorttag_322	0.707432
cd4_sorttag_323	0.693730
cd4_sorttag_324	0.694332
cd4_sorttag_325	0.744956
cd4_sorttag_326	0.708780
cd4_sorttag_327	0.722434
cd4_sorttag_328	0.705801
cd4_sorttag_329	0.690089
cd4_sorttag_32	0.650869
cd4_sorttag_330	0.647979
cd4_sorttag_331	0.706047
cd4_sorttag_332	0.694790
cd4_sorttag_333	0.686801
cd4_sorttag_334	0.768158
cd4_sorttag_335	0.680774
cd4_sorttag_336	0.735002
cd4_sorttag_337	0.727701
cd4_sorttag_338	0.748964
cd4_sorttag_339	0.734421
cd4_sorttag_33	0.666994
cd4_sorttag_340	0.733874
cd4_sorttag_341	0.705009
cd4_sorttag_342	0.683080
cd4_sorttag_343	0.738065
cd4_sorttag_344	0.732375
cd4_sorttag_345	0.696319
cd4_sorttag_346	0.669977
cd4_sorttag_347	0.728054
cd4_sorttag_348	0.727228
cd4_sorttag_349	0.662637
cd4_sorttag_34	0.722241
cd4_sorttag_350	0.712011
cd4_sorttag_351	0.675437
cd4_sorttag_352	0.705496
cd4_sorttag_353	0.759909
cd4_sorttag_354	0.675773
cd4_sorttag_355	0.804545
cd4_sorttag_356	0.707456
cd4_sorttag_357	0.736953
cd4_sorttag_358	0.707517
cd4_sorttag_359	0.749973
cd4_sorttag_35	0.745356
cd4_sorttag_360	0.740714
cd4_sorttag_361	0.735294
cd4_sorttag_362	0.698102
cd4_sorttag_363	0.708933
cd4_sorttag_364	0.714966
cd4_sorttag_365	0.725259
cd4_sorttag_366	0.741562
cd4_sorttag_367	0.660372
cd4_sorttag_368	0.677892
cd4_sorttag_369	0.720496
cd4_sorttag_36	0.727054
cd4_sorttag_370	0.694904
cd4_sorttag_371	0.672844
cd4_sorttag_372	0.642175
cd4_sorttag_373	0.796820
cd4_sorttag_374	0.878066
cd4_sorttag_375	0.878788
cd4_sorttag_376	0.785714
cd4_sorttag_377	0.685703
cd4_sorttag_378	0.704401
cd4_sorttag_379	0.759757
cd4_sorttag_37	0.733592
cd4_sorttag_380	0.739426
cd4_sorttag_381	0.710402
cd4_sorttag_382	0.695537
cd4_sorttag_383	0.746735
cd4_sorttag_384	0.878788
cd4_sorttag_38	0.685763
cd4_sorttag_39	0.738156
cd4_sorttag_3	0.746960
cd4_sorttag_40	0.716827
cd4_sorttag_41	0.724734
cd4_sorttag_42	0.666419
cd4_sorttag_43	0.637825
cd4_sorttag_44	0.708430
cd4_sorttag_45	0.709247
cd4_sorttag_46	0.695172
cd4_sorttag_47	0.632571
cd4_sorttag_48	0.747453
cd4_sorttag_49	0.743277
cd4_sorttag_4	0.670217
cd4_sorttag_50	0.711823
cd4_sorttag_51	0.686080
cd4_sorttag_52	0.721679
cd4_sorttag_53	0.686034
cd4_sorttag_54	0.725547
cd4_sorttag_55	0.659452
cd4_sorttag_56	0.702767
cd4_sorttag_57	0.740277
cd4_sorttag_58	0.679768
cd4_sorttag_59	0.612550
cd4_sorttag_5	0.702926
cd4_sorttag_60	0.738620
cd4_sorttag_61	0.720881
cd4_sorttag_62	0.728042
cd4_sorttag_63	0.704804
cd4_sorttag_64	0.722684
cd4_sorttag_65	0.744028
cd4_sorttag_66	0.676193
cd4_sorttag_67	0.711121
cd4_sorttag_68	0.695545
cd4_sorttag_69	0.717498
cd4_sorttag_6	0.679885
cd4_sorttag_70	0.706161
cd4_sorttag_71	0.733333
cd4_sorttag_72	0.665761
cd4_sorttag_73	0.564331
cd4_sorttag_74	0.658979
cd4_sorttag_75	0.717645
cd4_sorttag_76	0.766739
cd4_sorttag_77	0.806122
cd4_sorttag_78	0.609963
cd4_sorttag_79	0.698985
cd4_sorttag_7	0.705348
cd4_sorttag_80	0.688301
cd4_sorttag_81	0.721969
cd4_sorttag_82	0.707804
cd4_sorttag_83	0.657319
cd4_sorttag_84	0.705673
cd4_sorttag_85	0.702487
cd4_sorttag_86	0.742990
cd4_sorttag_87	0.712171
cd4_sorttag_88	0.709567
cd4_sorttag_89	0.738418
cd4_sorttag_8	0.732980
cd4_sorttag_90	0.749062
cd4_sorttag_91	0.648073
cd4_sorttag_92	0.727384
cd4_sorttag_93	0.671041
cd4_sorttag_94	0.732574
cd4_sorttag_95	0.737011
cd4_sorttag_96	0.715698
cd4_sorttag_97	0.749924
cd4_sorttag_98	0.714428
cd4_sorttag_99	0.704032
cd4_sorttag_9	0.721099
