cell	library_size
cd4_sorttag_100	17600
cd4_sorttag_101	23905
cd4_sorttag_102	12510
cd4_sorttag_103	15375
cd4_sorttag_104	32436
cd4_sorttag_105	29254
cd4_sorttag_106	44618
cd4_sorttag_107	23923
cd4_sorttag_108	22432
cd4_sorttag_109	15931
cd4_sorttag_10	30580
cd4_sorttag_110	38114
cd4_sorttag_111	43645
cd4_sorttag_112	21063
cd4_sorttag_113	26242
cd4_sorttag_114	35562
cd4_sorttag_115	23387
cd4_sorttag_116	40129
cd4_sorttag_117	28734
cd4_sorttag_118	29101
cd4_sorttag_119	9239
cd4_sorttag_11	20618
cd4_sorttag_120	26122
cd4_sorttag_121	34241
cd4_sorttag_122	18529
cd4_sorttag_123	14080
cd4_sorttag_124	33681
cd4_sorttag_125	32073
cd4_sorttag_126	21169
cd4_sorttag_127	32760
cd4_sorttag_128	25825
cd4_sorttag_129	27184
cd4_sorttag_12	35813
cd4_sorttag_130	32047
cd4_sorttag_131	38738
cd4_sorttag_132	17934
cd4_sorttag_133	8472
cd4_sorttag_134	22698
cd4_sorttag_135	32221
cd4_sorttag_136	28001
cd4_sorttag_137	40348
cd4_sorttag_138	31981
cd4_sorttag_139	18915
cd4_sorttag_13	22796
cd4_sorttag_140	14343
cd4_sorttag_141	7628
cd4_sorttag_142	23917
cd4_sorttag_143	14322
cd4_sorttag_144	33952
cd4_sorttag_145	39583
cd4_sorttag_146	25956
cd4_sorttag_147	15318
cd4_sorttag_148	21220
cd4_sorttag_149	68605
cd4_sorttag_14	21074
cd4_sorttag_150	20151
cd4_sorttag_151	34843
cd4_sorttag_152	12085
cd4_sorttag_153	30919
cd4_sorttag_154	21599
cd4_sorttag_155	26202
cd4_sorttag_156	26525
cd4_sorttag_157	26592
cd4_sorttag_158	23500
cd4_sorttag_159	23198
cd4_sorttag_15	24084
cd4_sorttag_160	18150
cd4_sorttag_161	22309
cd4_sorttag_162	13058
cd4_sorttag_163	18803
cd4_sorttag_164	25062
cd4_sorttag_165	16958
cd4_sorttag_166	22488
cd4_sorttag_167	31877
cd4_sorttag_168	44228
cd4_sorttag_169	27735
cd4_sorttag_16	26118
cd4_sorttag_170	23270
cd4_sorttag_171	30511
cd4_sorttag_172	27391
cd4_sorttag_173	9799
cd4_sorttag_174	23757
cd4_sorttag_175	16138
cd4_sorttag_176	30670
cd4_sorttag_177	27668
cd4_sorttag_178	19901
cd4_sorttag_179	28761
